end_thanks.stopped,finish_train.started,instructions.stopped,mouse_random.midButton,trials.thisIndex,mouse_random.time,mouse_random.corr,surprise_relavent_mouse.rightButton,trials.ran,conf_mouse.leftButton,conf_mouse_irrellevant.midButton,__session,train_mouse.time,mouse_random.leftButton,surprise.started,trial.stopped,trials.thisN,surprise_irrelavent_mouse.leftButton,training.thisIndex,flower_color,train_mouse.clicked_name,train_mouse.leftButton,conf_mouse_irrellevant.x,training.thisRepN,surprise_relavent_mouse.leftButton,conf_mouse.y,surprise_relavent_mouse.clicked_name,trial_mouse.time,prolific_id,surprise_loop.thisRepN,train_mouse.corr,conf_mouse.clicked_name,surprise_relavent_mouse.x,train_mouse.y,surprise_irrelavent_mouse.x,psychopyVersion,done_read_finish_train.duration,surprise_relavent,conf_mouse_irrellevant.clicked_name,__datetime,surprise.stopped,surprise_irrelavent_mouse.midButton,end_thanks.started,date,surprise_irrelavent_mouse.corr,surprise_relavent_mouse.time,response_box_trial.stopped,surprise_relavent_mouse.y,surprise_loop.thisTrialN,pot_image_file,trials.thisRepN,trials.thisTrialN,train.stopped,surprise_loop.thisN,mouse_random.clicked_name,vase_color,done_read_finish_train.rt,confidence_question.started,train.started,wrong_answer_train.stopped,training.thisN,response_box_relavent_surprise.stopped,training.order,trial_mouse.clicked_name,surprise_irrelavent_mouse.rightButton,trial_mouse.midButton,pot_duration,trial_mouse.leftButton,surprise_loop.thisIndex,relevent,trial.started,wrong_answer_train.started,confidence_in_irrelavent.stopped,conf_mouse_irrellevant.y,responce_box_train.started,response_box_surprise.stopped,instructions.started,surprise_relavent_mouse.corr,participant,train_mouse.rightButton,responce_box_train.stopped,surprise_relavent_mouse.midButton,training.ran,expName,OS,confidence_question.stopped,trial_mouse.rightButton,surprise_irrelavent_mouse.y,trial_mouse.y,conf_mouse.time,random_task.started,response_box_surprise.started,__experimentName,conf_mouse.midButton,train_mouse.midButton,surprise_irrelavent_mouse.clicked_name,relevent_train,relevant_object,frameRate,conf_mouse.rightButton,conf_mouse_irrellevant.leftButton,__participant,trial_mouse.corr,language,surprise_loop.ran,train_mouse.x,irrelevent_surprise,done_read_finish_train.keys,conf_mouse.x,surprise_irrelavent_mouse.time,trial_mouse.x,response_box_relavent_surprise.started,training.thisTrialN,confidence_in_irrelavent.started,mouse_random.y,finish_train.stopped,conf_mouse_irrellevant.time,random_task.stopped,response_box_trial.started,mouse_random.x,mouse_random.rightButton,conf_mouse_irrellevant.rightButton
﻿,,15.3003,,,,,,,,,SESSION,,,,,,,,,,,,,,,,,5fd979cd5bc47d2522d06e18,,,,,,,2024.2.4,,,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-04,,292064,,,,,test3103025,Win32,,,,,,,,test,,,,,,147.0588235,,,292064,,English,,,,,,,,,,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[1.3874000000953544],,,,,,9,green,"[""poly_3_train"",""poly_3_train""]",[1],,0,,,,,5fd979cd5bc47d2522d06e18,,[1],,,[-110],,2024.2.4,,poly_2_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/green_purple.jpg,,,17.3132,,,purple,,,15.3131,18.7029,0,,,,,,1,,,poly_3,,18.7026,,,17.3134,,,,292064,[0],18.7025,,1,test3103025,Win32,,,,,,,,test,,[0],,poly_3_train,flower,147.0588235,,,292064,,English,,[310],poly_3_surprise,,,,,,0,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[0.8195999999046393],,,,,,3,lightblue,"[""poly_2_train"",""poly_2_train""]",[1],,0,,,,,5fd979cd5bc47d2522d06e18,,[1],,,[-106],,2024.2.4,,poly_1_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/lightblue_green.jpg,,,20.7004,,,green,,,18.7032,21.5204,1,,,,,,1,,,poly_2,,21.5202,,,20.7005,,,,292064,[0],21.5201,,1,test3103025,Win32,,,,,,,,test,,[0],,poly_2_train,flower,147.0588235,,,292064,,English,,[116],poly_2_surprise,,,,,,1,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[0.6807000002860946],,,,,,6,green,"[""poly_3_train"",""poly_3_train""]",[1],,0,,,,,5fd979cd5bc47d2522d06e18,,[1],,,[-105],,2024.2.4,,poly_0_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/green_orange.jpg,,,23.5193,,,orange,,,21.5205,24.2002,2,,,,,,1,,,poly_3,,24.2001,,,23.5194,,,,292064,[0],24.2001,,1,test3103025,Win32,,,,,,,,test,,[0],,poly_3_train,flower,147.0588235,,,292064,,English,,[293],poly_3_surprise,,,,,,2,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[0.784700000286108],,,,,,5,yellow,"[""poly_1_train"",""poly_1_train""]",[1],,0,,,,,5fd979cd5bc47d2522d06e18,,[1],,,[-90],,2024.2.4,,poly_0_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/yellow_orange.jpg,,,26.2002,,,orange,,,24.2004,26.9851,3,,,,,,1,,,poly_1,,26.9851,,,26.2003,,,,292064,[0],26.985,,1,test3103025,Win32,,,,,,,,test,,[0],,poly_1_train,flower,147.0588235,,,292064,,English,,[-88],poly_1_surprise,,,,,,3,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[],,,,,,4,yellow,[],[],,0,,,,,5fd979cd5bc47d2522d06e18,,[],,,[],,2024.2.4,,poly_3_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/yellow_deepblue.jpg,,,26.9854,,,deepblue,,,26.9854,26.9855,4,,,,,,1,,,poly_1,,26.9854,,,26.9854,,,,292064,[],26.9854,,1,test3103025,Win32,,,,,,,,test,,[],,poly_1_train,flower,147.0588235,,,292064,,English,,[],poly_1_surprise,,,,,,4,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[],,,,,,1,yellow,[],[],,0,,,,,5fd979cd5bc47d2522d06e18,,[],,,[],,2024.2.4,,poly_1_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/yellow_green.jpg,,,26.9858,,,green,,,26.9858,26.9859,5,,,,,,1,,,poly_1,,26.9859,,,26.9858,,,,292064,[],26.9858,,1,test3103025,Win32,,,,,,,,test,,[],,poly_1_train,flower,147.0588235,,,292064,,English,,[],poly_1_surprise,,,,,,5,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[],,,,,,8,red,[],[],,0,,,,,5fd979cd5bc47d2522d06e18,,[],,,[],,2024.2.4,,poly_2_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/red_purple.jpg,,,26.986,,,purple,,,26.986,26.986,6,,,,,,1,,,poly_0,,26.986,,,26.986,,,,292064,[],26.986,,1,test3103025,Win32,,,,,,,,test,,[],,poly_0_train,flower,147.0588235,,,292064,,English,,[],poly_0_surprise,,,,,,6,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[],,,,,,7,yellow,[],[],,0,,,,,5fd979cd5bc47d2522d06e18,,[],,,[],,2024.2.4,,poly_3_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/yellow_deepblue.jpg,,,26.9861,,,deepblue,,,26.9861,26.9862,7,,,,,,1,,,poly_1,,26.9862,,,26.9861,,,,292064,[],26.9861,,1,test3103025,Win32,,,,,,,,test,,[],,poly_1_train,flower,147.0588235,,,292064,,English,,[],poly_1_surprise,,,,,,7,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[],,,,,,0,yellow,[],[],,0,,,,,5fd979cd5bc47d2522d06e18,,[],,,[],,2024.2.4,,poly_0_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/yellow_orange.jpg,,,26.9863,,,orange,,,26.9863,26.9864,8,,,,,,1,,,poly_1,,26.9864,,,26.9864,,,,292064,[],26.9864,,1,test3103025,Win32,,,,,,,,test,,[],,poly_1_train,flower,147.0588235,,,292064,,English,,[],poly_1_surprise,,,,,,8,,,,,,,,,
﻿,,,,,,,,,,,SESSION,[],,,,,,2,lightblue,[],[],,0,,,,,5fd979cd5bc47d2522d06e18,,[],,,[],,2024.2.4,,poly_2_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,resources/pots/lightblue_purple.jpg,,,26.9865,,,purple,,,26.9865,26.9865,9,,,,,,1,,,poly_2,,26.9865,,,26.9865,,,,292064,[],26.9865,,1,test3103025,Win32,,,,,,,,test,,[],,poly_2_train,flower,147.0588235,,,292064,,English,,[],poly_2_surprise,,,,,,9,,,,,,,,,
﻿,26.9866,,,,,,,,,,SESSION,,,,,,,,,,,,,,,,,5fd979cd5bc47d2522d06e18,,,,,,,2024.2.4,,,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,,,,,,,,,,,3.7989,,,,,,,,,,,,,,,,,,,,,,292064,,,,,test3103025,Win32,,,,,,,,test,,,,,,147.0588235,,,292064,,English,,,,space,,,,,,,,30.7982,,,,,,
﻿,,,[],17,[],[],,1,[1],,SESSION,,[],,32.8053,0,,,red,,,,,,[-106],,[0.7976000003814789],5fd979cd5bc47d2522d06e18,,,"[""Memory"",""Memory""]",,,,2024.2.4,,poly_3_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,33.6042,,,resources/pots/red_deepblue.jpg,0,0,,,[],deepblue,,33.6043,,,,,,"[""poly_0"",""poly_0""]",,[0],1,[1],,poly_0,30.8038,,,,,,,,292064,,,,,test3103025,Win32,36.5906,[0],,[-101],[2.98590000009537],32.8054,,test,[0],,,poly_0_train,flower,147.0588235,[0],,292064,[1],English,,,poly_0_surprise,,[-99],,[-287],,,,[],,,32.8057,32.8059,[],[],
﻿,,,[],36,[],[],,1,[],,SESSION,,[],,38.5896,1,,,lightblue,,,,,,[],,[0.6944000000953707],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_1_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,39.2843,,,resources/pots/lightblue_green.jpg,0,1,,,[],green,,39.2843,,,,,,"[""poly_2"",""poly_2""]",,[0],1,[1],,poly_2,36.5908,,,,,,,,292064,,,,,test3103025,Win32,39.2844,[0],,[-103],[],38.5897,,test,[],,,poly_2_train,flower,147.0588235,[],,292064,[1],English,,,poly_2_surprise,,[],,[103],,,,[],,,38.5898,38.5898,[],[],
﻿,,,[],18,[],[],,1,[],,SESSION,,[],,41.2846,2,,,lightblue,,,,,,[],,[0.555499999999995],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_0_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,41.8402,,,resources/pots/lightblue_orange.jpg,0,2,,,[],orange,,41.8402,,,,,,"[""poly_2"",""poly_2""]",,[0],1,[1],,poly_2,39.2846,,,,,,,,292064,,,,,test3103025,Win32,41.8403,[0],,[-104],[],41.2846,,test,[],,,poly_2_train,flower,147.0588235,[],,292064,[1],English,,,poly_2_surprise,,[],,[106],,,,[],,,41.2846,41.2847,[],[],
﻿,,,[],16,[],[],,1,[],,SESSION,,[],,43.8403,3,,,green,,,,,,[],,[0.7012999997138962],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_0_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,44.5419,,,resources/pots/green_orange.jpg,0,3,,,[],orange,,44.5419,,,,,,"[""poly_3"",""poly_3""]",,[0],1,[1],,poly_3,41.8405,,,,,,,,292064,,,,,test3103025,Win32,44.5419,[0],,[-110],[],43.8403,,test,[],,,poly_3_train,flower,147.0588235,[],,292064,[1],English,,,poly_3_surprise,,[],,[323],,,,[],,,43.8404,43.8405,[],[],
﻿,,,[],35,[],[],,1,[1],,SESSION,,[],,46.542,4,,,lightblue,,,,,,[-111],,[0.6665999999046335],5fd979cd5bc47d2522d06e18,,,"[""Memory"",""Memory""]",,,,2024.2.4,,poly_2_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,47.2088,,,resources/pots/lightblue_purple.jpg,0,4,,,[],purple,,47.2089,,,,,,"[""poly_2"",""poly_2""]",,[0],1,[1],,poly_2,44.5422,,,,,,,,292064,,,,,test3103025,Win32,48.5354,[0],,[-110],[1.3264999999999958],46.5421,,test,[0],,,poly_2_train,flower,147.0588235,[0],,292064,[1],English,,,poly_2_surprise,,[-100],,[123],,,,[],,,46.5421,46.5422,[],[],
﻿,,,[],19,[],[],,1,[],,SESSION,,[],,50.5356,5,,,lightblue,,,,,,[],,[0.4999000000953657],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_1_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,51.0357,,,resources/pots/lightblue_green.jpg,0,5,,,[],green,,51.0358,,,,,,"[""poly_2"",""poly_2""]",,[0],1,[1],,poly_2,48.5356,,,,,,,,292064,,,,,test3103025,Win32,51.0358,[0],,[-115],[],50.5356,,test,[],,,poly_2_train,flower,147.0588235,[],,292064,[1],English,,,poly_2_surprise,,[],,[108],,,,[],,,50.5356,50.5358,[],[],
﻿,,,[],29,[],[],,1,[],,SESSION,,[],,53.035,6,,,red,,,,,,[],,[0.6526999998092577],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_3_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,53.688,,,resources/pots/red_deepblue.jpg,0,6,,,[],deepblue,,53.688,,,,,,"[""poly_0"",""poly_0""]",,[0],1,[1],,poly_0,51.036,,,,,,,,292064,,,,,test3103025,Win32,53.688,[0],,[-97],[],53.035,,test,[],,,poly_0_train,flower,147.0588235,[],,292064,[1],English,,,poly_0_surprise,,[],,[-345],,,,[],,,53.035,53.0351,[],[],
﻿,,,[],30,[],[],,1,[1],,SESSION,,[],,55.6871,7,,,red,,,,,,[-102],,[0.4860999999046385],5fd979cd5bc47d2522d06e18,,,"[""Memory"",""Memory""]",,,,2024.2.4,,poly_2_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,56.1734,,,resources/pots/red_purple.jpg,0,7,,,[],purple,,56.1735,,,,,,"[""poly_0"",""poly_0""]",,[0],1,[1],,poly_0,53.6883,,,,,,,,292064,,,,,test3103025,Win32,57.5625,[0],,[-103],[1.3888999996185305],55.6872,,test,[0],,,poly_0_train,flower,147.0588235,[0],,292064,[1],English,,,poly_0_surprise,,[-96],,[-283],,,,[],,,55.6872,55.6873,[],[],
﻿,,,[],9,[],[],,1,[],,SESSION,,[],,59.5627,8,,,green,,,,,,[],,[0.7845999999046427],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_2_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,60.3475,,,resources/pots/green_purple.jpg,0,8,,,[],purple,,60.3476,,,,,,"[""poly_3"",""poly_3""]",,[0],1,[1],,poly_3,57.5628,,,,,,,,292064,,,,,test3103025,Win32,60.3476,[0],,[-104],[],59.5627,,test,[],,,poly_3_train,flower,147.0588235,[],,292064,[1],English,,,poly_3_surprise,,[],,[292],,,,[],,,59.5627,59.5628,[],[],
﻿,,,[],26,[],[],,1,[],,SESSION,,[],,62.3477,9,,,lightblue,,,,,,[],,[0.5416000003814787],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_0_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,62.8895,,,resources/pots/lightblue_orange.jpg,0,9,,,[],orange,,62.8895,,,,,,"[""poly_2"",""poly_2""]",,[0],1,[1],,poly_2,60.3478,,,,,,,,292064,,,,,test3103025,Win32,62.8895,[0],,[-104],[],62.3477,,test,[],,,poly_2_train,flower,147.0588235,[],,292064,[1],English,,,poly_2_surprise,,[],,[131],,,,[],,,62.3478,62.3478,[],[],
﻿,,,[],32,[],[],,1,[],,SESSION,,[],,64.8897,10,,,yellow,,,,,,[],,[0.5350000000000108],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_0_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,65.4248,,,resources/pots/yellow_orange.jpg,0,10,,,[],orange,,65.4248,,,,,,"[""poly_1"",""poly_1""]",,[0],1,[1],,poly_1,62.8898,,,,,,,,292064,,,,,test3103025,Win32,65.4249,[0],,[-98],[],64.8897,,test,[],,,poly_1_train,flower,147.0588235,[],,292064,[1],English,,,poly_1_surprise,,[],,[-84],,,,[],,,64.8898,64.8898,[],[],
﻿,,,[],12,[],[],,1,[],,SESSION,,[],,67.4239,11,,,red,,,,,,[],,[0.770799999713887],5fd979cd5bc47d2522d06e18,,,[],,,,2024.2.4,,poly_1_surprise_relavent,,2025-04-09_21h52.03.816,,,,2025-04-09_21h52.57.245,,,68.1948,,,resources/pots/red_green.jpg,0,11,,,[],green,,68.1949,,,,,,"[""poly_0"",""poly_0""]",,[0],1,[1],,poly_0,65.4251,,,,,,,,292064,,,,,test3103025,Win32,68.1949,[0],,[-96],[],67.4239,,test,[],,,poly_0_train,flower,147.0588235,[],,292064,[1],English,,,poly_0_surprise,,[],,[-280],,,,[],,,67.424,67.424,[],[],
