conf_mouse.y,vase_color,end_thanks.started,relevent,surprise_irrelavent_mouse.leftButton,mouse_random.time,mouse_random.midButton,confidence_question.stopped,__participant,response_box_trial.stopped,responce_box_train.started,trial_mouse.time,trial_mouse.leftButton,mouse_random.clicked_name,relevant_object,train.started,surprise_loop.ran,surprise_relavent_mouse.clicked_name,response_box_trial.started,surprise_irrelavent_mouse.rightButton,flower_color,trial_mouse.corr,mouse_random.corr,done_read_finish_train.keys,surprise_irrelavent_mouse.y,surprise_irrelavent_mouse.x,language,conf_mouse.midButton,conf_mouse_irrellevant.y,surprise.stopped,response_box_relavent_surprise.stopped,conf_mouse.clicked_name,instructions.started,__session,responce_box_train.stopped,trials.thisIndex,done_read_finish_train.duration,conf_mouse_irrellevant.leftButton,trial_mouse.y,instructions.stopped,surprise_loop.thisIndex,surprise_relavent_mouse.corr,frameRate,conf_mouse_irrellevant.clicked_name,trials.thisTrialN,mouse_random.y,surprise_irrelavent_mouse.clicked_name,surprise_relavent_mouse.rightButton,training.thisN,trial_mouse.rightButton,confidence_question.started,conf_mouse_irrellevant.x,training.thisTrialN,training.ran,surprise_relavent_mouse.time,trial_mouse.midButton,mouse_random.rightButton,trials.ran,conf_mouse_irrellevant.midButton,__datetime,train_mouse.midButton,done_read_finish_train.rt,random_task.started,conf_mouse.leftButton,surprise_loop.thisN,finish_train.stopped,participant,mouse_random.x,train_mouse.time,conf_mouse.x,random_task.stopped,surprise_loop.thisRepN,surprise.started,trials.thisN,pot_duration,confidence_in_irrelavent.stopped,trials.thisRepN,prolific_id,training.thisIndex,wrong_answer_train.started,trial_mouse.x,surprise_loop.thisTrialN,training.thisRepN,psychopyVersion,train_mouse.corr,OS,train_mouse.leftButton,expName,surprise_irrelavent_mouse.midButton,pot_image_file,finish_train.started,conf_mouse_irrellevant.time,surprise_relavent_mouse.x,conf_mouse.rightButton,trial.started,conf_mouse.time,ori,surprise_irrelavent_mouse.time,trial.stopped,response_box_relavent_surprise.started,surprise_relavent_mouse.y,response_box_surprise.stopped,train_mouse.rightButton,surprise_relavent_mouse.midButton,irrelevent_surprise,confidence_in_irrelavent.started,date,train_mouse.clicked_name,response_box_surprise.started,surprise_relavent,trial_mouse.clicked_name,__experimentName,conf_mouse_irrellevant.rightButton,relevent_train,train_mouse.x,surprise_irrelavent_mouse.corr,end_thanks.stopped,train_mouse.y,surprise_relavent_mouse.leftButton,mouse_random.leftButton,train.stopped,wrong_answer_train.stopped
﻿,,,,,,,,247697,,,,,,,,,,,,,,,,,,English,,,,,,0.0006,SESSION,,,,,,14.8665,,,60.24096386,,,,,,,,,,,,,,,,,2025-05-05_02h10.08.842,,,,,,,247697,,,,,,,,,,,67e97d506e0dfa7ff0b407c5,,,,,,2024.2.4,,Win32,,test3103025,,,,,,,,,,,,,,,,,,,2025-05-05_02h10.49.333,,,,,rotating_iia,,,,,,,,,,
﻿,orange,,poly_0,,,,,247697,,16.9307,,,,vase,14.9262,,,,,green,,,,,,English,,,,,,,SESSION,19.1811,,,,,,,,60.24096386,,,,,,0,,,,0,1,,,,,,2025-05-05_02h10.08.842,[0],,,,,,247697,,[2.2450000000000045],,,,,,1,,,67e97d506e0dfa7ff0b407c5,1,19.1823,,,0,2024.2.4,[0],Win32,[1],test3103025,,resources/pots/green_orange.jpg,,,,,,,90,,,,,,[0],,poly_0_surprise,,2025-05-05_02h10.49.333,"[""poly_1_train"",""poly_1_train""]",,poly_3_surprise_relavent,,rotating_iia,,poly_0_train,[-67],,,[-107],,,16.9287,24.3445
﻿,orange,,poly_0,,,,,247697,,26.3435,,,,vase,24.3478,,,,,yellow,,,,,,English,,,,,,,SESSION,28.2442,,,,,,,,60.24096386,,,,,,1,,,,1,1,,,,,,2025-05-05_02h10.08.842,[0],,,,,,247697,,[1.9000999999940404],,,,,,1,,,67e97d506e0dfa7ff0b407c5,5,28.2465,,,0,2024.2.4,[1],Win32,[1],test3103025,,resources/pots/yellow_orange.jpg,,,,,,,180,,,,,,[0],,poly_0_surprise,,2025-05-05_02h10.49.333,"[""poly_0_train"",""poly_0_train""]",,poly_1_surprise_relavent,,rotating_iia,,poly_0_train,[-282],,,[-85],,,26.343,28.2469
﻿,deepblue,,poly_3,,,,,247697,,30.2432,,,,vase,28.2484,,,,,red,,,,,,English,,,,,,,SESSION,31.3428,,,,,,,,60.24096386,,,,,,2,,,,2,1,,,,,,2025-05-05_02h10.08.842,[0],,,,,,247697,,[1.0988999999910618],,,,,,1,,,67e97d506e0dfa7ff0b407c5,7,31.3432,,,0,2024.2.4,[1],Win32,[1],test3103025,,resources/pots/red_deepblue.jpg,,,,,,,270,,,,,,[0],,poly_3_surprise,,2025-05-05_02h10.49.333,"[""poly_3_train"",""poly_3_train""]",,poly_0_surprise_relavent,,rotating_iia,,poly_3_train,[272],,,[-118],,,30.2428,31.3434
﻿,deepblue,,poly_3,,,,,247697,,33.3427,,,,vase,31.3459,,,,,yellow,,,,,,English,,,,,,,SESSION,33.9433,,,,,,,,60.24096386,,,,,,3,,,,3,1,,,,,,2025-05-05_02h10.08.842,[0],,,,,,247697,,[0.5999999999999943],,,,,,1,,,67e97d506e0dfa7ff0b407c5,3,33.944,,,0,2024.2.4,[1],Win32,[1],test3103025,,resources/pots/yellow_deepblue.jpg,,,,,,,45,,,,,,[0],,poly_3_surprise,,2025-05-05_02h10.49.333,"[""poly_3_train"",""poly_3_train""]",,poly_1_surprise_relavent,,rotating_iia,,poly_3_train,[269],,,[-115],,,33.3423,33.9446
﻿,green,,poly_1,,,,,247697,,35.9436,,,,vase,33.9465,,,,,lightblue,,,,,,English,,,,,,,SESSION,36.7108,,,,,,,,60.24096386,,,,,,4,,,,4,1,,,,,,2025-05-05_02h10.08.842,[0],,,,,,247697,,[0.7665000000000077],,,,,,1,,,67e97d506e0dfa7ff0b407c5,2,36.7124,,,0,2024.2.4,[1],Win32,[1],test3103025,,resources/pots/lightblue_green.jpg,,,,,,,45,,,,,,[0],,poly_1_surprise,,2025-05-05_02h10.49.333,"[""poly_1_train"",""poly_1_train""]",,poly_2_surprise_relavent,,rotating_iia,,poly_1_train,[-98],,,[-111],,,35.9431,36.7128
﻿,purple,,poly_2,,,,,247697,,36.7144,,,,vase,36.714,,,,,lightblue,,,,,,English,,,,,,,SESSION,36.7148,,,,,,,,60.24096386,,,,,,5,,,,5,1,,,,,,2025-05-05_02h10.08.842,[],,,,,,247697,,[],,,,,,1,,,67e97d506e0dfa7ff0b407c5,8,36.7151,,,0,2024.2.4,[],Win32,[],test3103025,,resources/pots/lightblue_purple.jpg,,,,,,,270,,,,,,[],,poly_2_surprise,,2025-05-05_02h10.49.333,[],,poly_2_surprise_relavent,,rotating_iia,,poly_2_train,[],,,[],,,36.7141,36.7152
﻿,deepblue,,poly_3,,,,,247697,,36.7167,,,,vase,36.7164,,,,,green,,,,,,English,,,,,,,SESSION,36.7169,,,,,,,,60.24096386,,,,,,6,,,,6,1,,,,,,2025-05-05_02h10.08.842,[],,,,,,247697,,[],,,,,,1,,,67e97d506e0dfa7ff0b407c5,4,36.7171,,,0,2024.2.4,[],Win32,[],test3103025,,resources/pots/green_deepblue.jpg,,,,,,,0,,,,,,[],,poly_3_surprise,,2025-05-05_02h10.49.333,[],,poly_3_surprise_relavent,,rotating_iia,,poly_3_train,[],,,[],,,36.7164,36.7174
﻿,green,,poly_1,,,,,247697,,36.7191,,,,vase,36.7186,,,,,red,,,,,,English,,,,,,,SESSION,36.7193,,,,,,,,60.24096386,,,,,,7,,,,7,1,,,,,,2025-05-05_02h10.08.842,[],,,,,,247697,,[],,,,,,1,,,67e97d506e0dfa7ff0b407c5,6,36.7196,,,0,2024.2.4,[],Win32,[],test3103025,,resources/pots/red_green.jpg,,,,,,,225,,,,,,[],,poly_1_surprise,,2025-05-05_02h10.49.333,[],,poly_0_surprise_relavent,,rotating_iia,,poly_1_train,[],,,[],,,36.7187,36.7198
﻿,green,,poly_1,,,,,247697,,36.7215,,,,vase,36.7211,,,,,yellow,,,,,,English,,,,,,,SESSION,36.7218,,,,,,,,60.24096386,,,,,,8,,,,8,1,,,,,,2025-05-05_02h10.08.842,[],,,,,,247697,,[],,,,,,1,,,67e97d506e0dfa7ff0b407c5,9,36.722,,,0,2024.2.4,[],Win32,[],test3103025,,resources/pots/yellow_green.jpg,,,,,,,270,,,,,,[],,poly_1_surprise,,2025-05-05_02h10.49.333,[],,poly_1_surprise_relavent,,rotating_iia,,poly_1_train,[],,,[],,,36.7212,36.722
