vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
deepblue,,flower,yellow,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.9329999999999998,1,train
green,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.9499999999999993,1,train
green,,flower,yellow,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.6000000000000014,1,train
purple,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.8170000000000002,1,train
deepblue,,flower,green,,English,Memory,417982,563f734bcbd4c60005dc9442,2.8149999999999977,,2025-05-05_08h43.59.675,,2025-05-05,1.3489999999999966,1,trial
purple,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.9329999999999998,1,trial
green,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.4819999999999993,1,trial
green,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.6169999999999973,1,trial
orange,,flower,yellow,,English,Memory,417982,563f734bcbd4c60005dc9442,1.3179999999999978,,2025-05-05_08h43.59.675,,2025-05-05,0.9979999999999976,1,trial
orange,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5660000000000025,1,trial
purple,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.4660000000000011,1,trial
orange,,flower,lightblue,,English,Memory,417982,563f734bcbd4c60005dc9442,1.2489999999999952,,2025-05-05_08h43.59.675,,2025-05-05,0.482999999999997,1,trial
green,,flower,yellow,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,1.149000000000001,1,trial
purple,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.3990000000000009,1,trial
orange,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.75,1,trial
orange,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5840000000000032,1,trial
deepblue,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.4339999999999975,1,trial
purple,,flower,red,,English,Memory,417982,563f734bcbd4c60005dc9442,1.2319999999999993,,2025-05-05_08h43.59.675,,2025-05-05,0.8309999999999889,1,trial
green,,flower,yellow,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.4480000000000075,1,trial
orange,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.38299999999999557,1,trial
purple,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5999999999999943,1,trial
purple,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5319999999999965,1,trial
deepblue,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,1.0499999999999972,1,trial
purple,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.7819999999999965,1,trial
orange,,flower,yellow,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,1.051000000000002,1,trial
orange,1.3569999999999993,flower,yellow,1,English,Memory,417982,563f734bcbd4c60005dc9442,1.1159999999999997,,2025-05-05_08h43.59.675,,2025-05-05,1.6670000000000016,1,trial
deepblue,,flower,yellow,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,1.2319999999999993,1,trial
deepblue,,flower,yellow,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.45000000000000284,1,trial
orange,,flower,yellow,,English,Memory,417982,563f734bcbd4c60005dc9442,1.416000000000011,,2025-05-05_08h43.59.675,,2025-05-05,0.4159999999999968,1,trial
deepblue,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.41500000000000625,1,trial
purple,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5160000000000053,1,trial
deepblue,,flower,yellow,,English,Memory,417982,563f734bcbd4c60005dc9442,0.75,,2025-05-05_08h43.59.675,,2025-05-05,0.7330000000000041,1,trial
green,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.6820000000000022,1,trial
deepblue,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5489999999999924,1,trial
green,,flower,yellow,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.9660000000000224,1,trial
orange,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.7179999999999893,1,trial
orange,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.7479999999999905,1,trial
green,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.532999999999987,1,trial
green,,flower,red,,English,Memory,417982,563f734bcbd4c60005dc9442,1.3170000000000073,,2025-05-05_08h43.59.675,,2025-05-05,0.5819999999999936,1,trial
purple,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.6659999999999968,1,trial
purple,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.4650000000000034,1,trial
green,,flower,lightblue,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5,1,trial
green,,flower,red,,English,Memory,417982,563f734bcbd4c60005dc9442,1.1989999999999839,,2025-05-05_08h43.59.675,,2025-05-05,0.45000000000001705,1,trial
purple,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5010000000000048,1,trial
purple,,flower,green,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.8329999999999984,1,trial
deepblue,,flower,red,,English,,417982,563f734bcbd4c60005dc9442,,,2025-05-05_08h43.59.675,,2025-05-05,0.5169999999999959,1,trial
green,,vase,yellow,,English,Memory,417982,563f734bcbd4c60005dc9442,1.5320000000000107,2.5490000000000066,2025-05-05_08h43.59.675,1,2025-05-05,3.3319999999999936,1,surprise
green,,vase,red,,English,Memory,417982,563f734bcbd4c60005dc9442,1.5649999999999977,1.1989999999999839,2025-05-05_08h43.59.675,1,2025-05-05,1.25,1,surprise
green,,vase,red,,English,Memory,417982,563f734bcbd4c60005dc9442,1.8149999999999977,0.8659999999999854,2025-05-05_08h43.59.675,1,2025-05-05,1.1330000000000098,1,surprise
deepblue,,vase,green,,English,Memory,417982,563f734bcbd4c60005dc9442,1.382000000000005,1.5829999999999984,2025-05-05_08h43.59.675,1,2025-05-05,0.9669999999999845,1,surprise
