vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,3.3281999999880725,1,train
orange,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.1321999999880816,1,train
purple,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,0.9119000000059572,1,train
orange,,flower,green,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,2.1603000000119224,1,train
green,,flower,red,,English,Memory,214088,571a78f06a1c6300114b8d80,4.729400000005953,,2025-05-05_11h11.09.835,,2025-05-05,2.564699999988079,1,trial
green,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,2.2680999999940497,1,trial
orange,,flower,green,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,0.9374000000059652,1,trial
deepblue,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.088000000000008,1,trial
green,,flower,lightblue,,English,Memory,214088,571a78f06a1c6300114b8d80,1.6632000000178806,,2025-05-05_11h11.09.835,,2025-05-05,0.8894999999999982,1,trial
purple,,flower,green,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,0.9714999999999918,1,trial
green,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,2.263900000005961,1,trial
green,,flower,lightblue,,English,Memory,214088,571a78f06a1c6300114b8d80,1.3584000000059717,,2025-05-05_11h11.09.835,,2025-05-05,1.7383000000119182,1,trial
deepblue,,flower,green,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.2769999999999868,1,trial
orange,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,2.8236999999880794,1,trial
orange,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,0.7241999999880733,1,trial
green,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,2.357400000005967,1,trial
orange,,flower,green,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.114099999994039,1,trial
deepblue,,flower,green,,English,Memory,214088,571a78f06a1c6300114b8d80,2.7262999999821034,,2025-05-05_11h11.09.835,,2025-05-05,0.9994000000059486,1,trial
orange,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,3.0155999999940377,1,trial
purple,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,0.8277999999821191,1,trial
deepblue,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.6281999999880838,1,trial
deepblue,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,0.9020000000000152,1,trial
deepblue,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.093299999982122,1,trial
purple,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,6.72799999999998,1,trial
orange,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.0124000000059539,1,trial
orange,3.7628000000119073,flower,green,1,English,Memory,214088,571a78f06a1c6300114b8d80,3.414500000000004,,2025-05-05_11h11.09.835,,2025-05-05,2.843999999999994,1,trial
orange,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,4.060000000000002,1,trial
green,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.3708000000119114,1,trial
purple,,flower,lightblue,,English,Memory,214088,571a78f06a1c6300114b8d80,2.0715999999940493,,2025-05-05_11h11.09.835,,2025-05-05,0.9609999999999843,1,trial
purple,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.9973000000119043,1,trial
purple,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,2.2524000000059345,1,trial
orange,,flower,lightblue,,English,Intuition,214088,571a78f06a1c6300114b8d80,0.4031999999880611,,2025-05-05_11h11.09.835,,2025-05-05,1.112200000017907,1,trial
purple,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.361700000017862,1,trial
purple,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,2.514499999999998,1,trial
orange,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.0050000000000239,1,trial
green,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,0.9459000000059632,1,trial
purple,,flower,green,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.5773000000119453,1,trial
green,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.469799999982115,1,trial
purple,,flower,green,,English,Memory,214088,571a78f06a1c6300114b8d80,1.8477000000178805,,2025-05-05_11h11.09.835,,2025-05-05,2.030299999982134,1,trial
deepblue,,flower,green,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.6220999999940489,1,trial
deepblue,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.4170000000000016,1,trial
green,,flower,red,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,0.7873000000119248,1,trial
orange,,flower,green,,English,Memory,214088,571a78f06a1c6300114b8d80,1.5999000000059596,,2025-05-05_11h11.09.835,,2025-05-05,1.6300000000000239,1,trial
green,,flower,lightblue,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.044599999994034,1,trial
deepblue,,flower,green,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,2.814800000011928,1,trial
green,,flower,yellow,,English,,214088,571a78f06a1c6300114b8d80,,,2025-05-05_11h11.09.835,,2025-05-05,1.3571000000238485,1,trial
green,,vase,yellow,,English,Guess,214088,571a78f06a1c6300114b8d80,5.197499999999991,7.469800000011901,2025-05-05_11h11.09.835,0,2025-05-05,2.3520000000000323,1,surprise
green,,vase,yellow,,English,Memory,214088,571a78f06a1c6300114b8d80,2.35929999998217,2.2179000000060114,2025-05-05_11h11.09.835,1,2025-05-05,1.217999999999961,1,surprise
purple,,vase,red,,English,Memory,214088,571a78f06a1c6300114b8d80,2.6323000000119237,3.7618999999761513,2025-05-05_11h11.09.835,1,2025-05-05,1.3362000000178682,1,surprise
orange,,vase,lightblue,,English,Memory,214088,571a78f06a1c6300114b8d80,1.3273000000119168,2.636799999982088,2025-05-05_11h11.09.835,1,2025-05-05,1.5625,1,surprise
