random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.8989000000059626,1,train
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,1.0111000000014911,1,train
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.7000000000000028,1,train
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.40000000000000213,1,train
,,lightblue,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,,orange,784549,4.7287999999970225,vase,English,,2025-04-09,0.7032999999970215,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,orange,784549,,vase,English,,2025-04-09,0.7538999999985094,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.7457999999970184,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.4572999999970193,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,,deepblue,784549,1.2147999999970196,vase,English,,2025-04-09,0.4602999999970194,1,trial
,,red,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.49989999999851165,1,trial
,,red,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.41410000000148983,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,,orange,784549,1.333299999997017,vase,English,,2025-04-09,0.4164999999999992,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.3500000000000085,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.6000000000000085,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.5666000000014861,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,orange,784549,,vase,English,,2025-04-09,0.5331000000014967,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.4165000000000134,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,,orange,784549,0.9166999999955294,vase,English,,2025-04-09,0.44720000000297944,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.49989999999851875,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.343299999997015,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.38319999999554,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.3185000000000002,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,orange,784549,,vase,English,,2025-04-09,0.7332000000029808,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,orange,784549,,vase,English,,2025-04-09,0.45000000000000284,1,trial
,,red,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.3168999999985118,1,trial
0.7608999999985144,1,red,57aa0bdb9ff3e900014135d9,Guess,2025-04-09_10h37.21.559,,deepblue,784549,2.9168000000044714,vase,English,,2025-04-09,2.75,1,trial
,,red,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.46649999999999636,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.40010000000148693,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,,orange,784549,1.0666000000014861,vase,English,,2025-04-09,0.6333999999985025,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.3998999999985102,1,trial
,,red,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,purple,784549,,vase,English,,2025-04-09,0.3831999999955258,1,trial
,,red,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,,green,784549,1.1500000000000057,vase,English,,2025-04-09,0.5501000000014784,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.4499000000059681,1,trial
,,red,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.26670000000297023,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,orange,784549,,vase,English,,2025-04-09,0.39980000000446125,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.4333000000044933,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.38330000000448194,1,trial
,,red,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.43320000000298364,1,trial
,,red,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,,green,784549,0.9664999999999964,vase,English,,2025-04-09,0.3666000000014833,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,orange,784549,,vase,English,,2025-04-09,0.416499999999985,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.3664000000059673,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.350100000001504,1,trial
,,green,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,,purple,784549,0.8998999999985244,vase,English,,2025-04-09,0.39979999999701477,1,trial
,,yellow,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,orange,784549,,vase,English,,2025-04-09,0.5832000000029893,1,trial
,,lightblue,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,green,784549,,vase,English,,2025-04-09,0.6479000000059614,1,trial
,,green,57aa0bdb9ff3e900014135d9,,2025-04-09_10h37.21.559,,deepblue,784549,,vase,English,,2025-04-09,0.3499999999999943,1,trial
,,red,57aa0bdb9ff3e900014135d9,Guess,2025-04-09_10h37.21.559,0,purple,784549,1.216300000004452,flower,English,3.3001000000014926,2025-04-09,1.549399999998485,1,surprise
,,yellow,57aa0bdb9ff3e900014135d9,Guess,2025-04-09_10h37.21.559,0,deepblue,784549,0.7832999999970127,flower,English,2.9000000000000057,2025-04-09,1.9667000000029873,0,surprise
,,lightblue,57aa0bdb9ff3e900014135d9,Guess,2025-04-09_10h37.21.559,1,purple,784549,0.966600000001506,flower,English,1.9166999999955294,2025-04-09,2.300200000002974,0,surprise
,,yellow,57aa0bdb9ff3e900014135d9,Memory,2025-04-09_10h37.21.559,1,deepblue,784549,1.6333999999985167,flower,English,0.8000000000000114,2025-04-09,0.6332999999970355,1,surprise
