random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,1.1330000000000098,1,train
,,green,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,2.4819999999999993,1,train
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.7000000000000028,1,train
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,0.6979999999999933,1,train
,,red,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,,purple,853495,2.747,vase,English,,2025-04-09,1.0279999999999916,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,purple,853495,,vase,English,,2025-04-09,1.1000000000000085,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.6830000000000069,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.7329999999999899,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,,purple,853495,1.8829999999999956,vase,English,,2025-04-09,0.9500000000000028,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,1.2980000000000018,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,1.3640000000000043,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,,purple,853495,1.1999999999999886,vase,English,,2025-04-09,0.882000000000005,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,purple,853495,,vase,English,,2025-04-09,0.8310000000000031,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.563999999999993,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,purple,853495,,vase,English,,2025-04-09,0.9159999999999968,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,0.5649999999999977,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,purple,853495,,vase,English,,2025-04-09,0.5330000000000013,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,,green,853495,0.882000000000005,vase,English,,2025-04-09,0.38299999999999557,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.546999999999997,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.48299999999997567,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,0.8830000000000098,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,0.914999999999992,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.5979999999999848,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,0.9139999999999873,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,0.6639999999999873,1,trial
1.7399999999999807,1,green,5c7ceda01d2afc0001f4ad1d,Guess,2025-04-09_14h04.25.152,,deepblue,853495,2.848000000000013,vase,English,,2025-04-09,3.9989999999999952,0,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,0.9839999999999804,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.6840000000000259,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,,deepblue,853495,2.681999999999988,vase,English,,2025-04-09,0.7470000000000141,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,0.5970000000000084,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,0.8650000000000091,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,,purple,853495,1.414999999999992,vase,English,,2025-04-09,0.7319999999999993,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,0.681999999999988,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.599000000000018,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,0.5829999999999984,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.5620000000000118,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,0.4660000000000082,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.5320000000000107,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,,purple,853495,0.9510000000000218,vase,English,,2025-04-09,0.7319999999999993,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,deepblue,853495,,vase,English,,2025-04-09,0.6310000000000002,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,0.7479999999999905,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,0.5480000000000018,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,,purple,853495,1.0819999999999936,vase,English,,2025-04-09,0.5319999999999823,1,trial
,,red,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,purple,853495,,vase,English,,2025-04-09,0.599000000000018,1,trial
,,lightblue,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,green,853495,,vase,English,,2025-04-09,0.4480000000000075,1,trial
,,yellow,5c7ceda01d2afc0001f4ad1d,,2025-04-09_14h04.25.152,,orange,853495,,vase,English,,2025-04-09,0.5319999999999823,1,trial
,,green,5c7ceda01d2afc0001f4ad1d,Guess,2025-04-09_14h04.25.152,0,deepblue,853495,7.13300000000001,flower,English,10.149000000000001,2025-04-09,4.114000000000004,0,surprise
,,yellow,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,1,green,853495,1.8819999999999766,flower,English,1.6829999999999927,2025-04-09,2.765000000000015,0,surprise
,,red,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,1,green,853495,1.2830000000000155,flower,English,1.497000000000014,2025-04-09,1.399000000000001,1,surprise
,,red,5c7ceda01d2afc0001f4ad1d,Memory,2025-04-09_14h04.25.152,1,deepblue,853495,1.8000000000000114,flower,English,1.6659999999999968,2025-04-09,1.4159999999999684,1,surprise
