random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,orange,695837,,vase,English,,2025-04-09,3.4630000000000045,0,train
,,yellow,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,orange,695837,,vase,English,,2025-04-09,1.4822999999523176,1,train
,,yellow,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,deepblue,695837,,vase,English,,2025-04-09,1.0826000000238452,1,train
,,lightblue,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,orange,695837,,vase,English,,2025-04-09,1.130500000000005,1,train
,,green,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,purple,695837,,vase,English,,2025-04-09,0.6662999999523151,1,train
,,red,5caa534a19731a00190bb935,Memory,2025-04-09_12h42.31.814,,purple,695837,6.564300000071519,vase,English,,2025-04-09,0.7649000000953734,1,trial
,,yellow,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,green,695837,,vase,English,,2025-04-09,0.6663999999761501,1,trial
,,lightblue,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,orange,695837,,vase,English,,2025-04-09,1.1823000000715354,1,trial
,,lightblue,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,green,695837,,vase,English,,2025-04-09,0.6495000000000033,1,trial
,,green,5caa534a19731a00190bb935,Memory,2025-04-09_12h42.31.814,,purple,695837,2.8825000000000074,vase,English,,2025-04-09,0.7163999999761614,1,trial
,,lightblue,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,orange,695837,,vase,English,,2025-04-09,0.9023999999761543,1,trial
,,yellow,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,orange,695837,,vase,English,,2025-04-09,0.8308999999761539,1,trial
,,lightblue,5caa534a19731a00190bb935,Memory,2025-04-09_12h42.31.814,,purple,695837,2.2496000000238467,vase,English,,2025-04-09,0.9495000000000005,1,trial
,,red,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,deepblue,695837,,vase,English,,2025-04-09,1.2329000000953698,1,trial
,,green,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,deepblue,695837,,vase,English,,2025-04-09,0.5499000000953629,1,trial
,,green,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,purple,695837,,vase,English,,2025-04-09,1.0322999999523148,1,trial
,,yellow,5caa534a19731a00190bb935,,2025-04-09_12h42.31.814,,green,695837,,vase,English,,2025-04-09,1.8519999999999897,1,trial
