random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,orange,208007,,vase,English,,2025-04-09,2.2768000000007476,0,train
,,yellow,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,orange,208007,,vase,English,,2025-04-09,0.7824999999999989,1,train
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.4159999999999968,1,train
,,lightblue,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,orange,208007,,vase,English,,2025-04-09,0.9823000000007482,1,train
,,lightblue,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.44950000000000045,1,train
,,yellow,5cc30b098ad9bf0001a3e445,Memory,2025-04-09_11h16.59.328,,deepblue,208007,4.3799999999999955,vase,English,,2025-04-09,0.6119999999999948,1,trial
,,green,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.4828000000007364,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,deepblue,208007,,vase,English,,2025-04-09,0.8156000000014956,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,orange,208007,,vase,English,,2025-04-09,0.5165000000000077,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,Memory,2025-04-09_11h16.59.328,,orange,208007,4.913999999999987,vase,English,,2025-04-09,7.715900000002236,1,trial
,,green,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,deepblue,208007,,vase,English,,2025-04-09,0.7994999999999948,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,deepblue,208007,,vase,English,,2025-04-09,0.4838000000007412,1,trial
,,green,5cc30b098ad9bf0001a3e445,Memory,2025-04-09_11h16.59.328,,purple,208007,1.9313999999985185,vase,English,,2025-04-09,0.4511999999992611,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.6329999999999814,1,trial
,,lightblue,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.4161999999992645,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.35030000000074324,1,trial
,,green,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.3329999999999984,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.45139999999852876,1,trial
,,lightblue,5cc30b098ad9bf0001a3e445,Memory,2025-04-09_11h16.59.328,,purple,208007,0.983300000000753,vase,English,,2025-04-09,0.41499999999999204,1,trial
,,lightblue,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,orange,208007,,vase,English,,2025-04-09,0.7163999999985151,1,trial
,,lightblue,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.5158000000007519,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.5163000000007401,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.36730000000073915,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,deepblue,208007,,vase,English,,2025-04-09,0.5486000000014997,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,deepblue,208007,,vase,English,,2025-04-09,0.31629999999699976,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.43479999999701135,1,trial
1.0139000000022236,1,green,5cc30b098ad9bf0001a3e445,Guess,2025-04-09_11h16.59.328,,deepblue,208007,1.382300000000754,vase,English,,2025-04-09,2.98040000000222,1,trial
,,lightblue,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.5677000000029864,1,trial
,,lightblue,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.7495000000000118,1,trial
,,green,5cc30b098ad9bf0001a3e445,Memory,2025-04-09_11h16.59.328,,orange,208007,1.5656000000014956,vase,English,,2025-04-09,1.500399999998507,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.3667999999970277,1,trial
,,green,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,orange,208007,,vase,English,,2025-04-09,0.4641000000014799,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,Memory,2025-04-09_11h16.59.328,,green,208007,1.1163999999984924,vase,English,,2025-04-09,0.49959999999776983,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,deepblue,208007,,vase,English,,2025-04-09,0.7009999999999934,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.5658999999985213,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,purple,208007,,vase,English,,2025-04-09,0.3326999999992495,1,trial
,,red,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,deepblue,208007,,vase,English,,2025-04-09,0.3311000000014701,1,trial
,,lightblue,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.4658999999984985,1,trial
,,green,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,orange,208007,,vase,English,,2025-04-09,0.38340000000223995,1,trial
,,green,5cc30b098ad9bf0001a3e445,Memory,2025-04-09_11h16.59.328,,purple,208007,1.0985000000000014,vase,English,,2025-04-09,0.35089999999851784,1,trial
,,yellow,5cc30b098ad9bf0001a3e445,,2025-04-09_11h16.59.328,,green,208007,,vase,English,,2025-04-09,0.5653000000007466,1,trial
