random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.8499999999999979,1,train
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.6849999999999952,1,train
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,1.3149999999999977,1,train
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.6099999999999994,1,train
,,lightblue,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,green,559850,3.5990000000000038,flower,English,,2025-04-09,0.7610000000000028,1,trial
,,green,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,orange,559850,,flower,English,,2025-04-09,0.7070000000000007,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,orange,559850,,flower,English,,2025-04-09,0.5,1,trial
,,green,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.7909999999999968,1,trial
,,green,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,purple,559850,1.5789999999999935,flower,English,,2025-04-09,0.5460000000000065,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,orange,559850,,flower,English,,2025-04-09,0.45400000000000773,1,trial
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,purple,559850,,flower,English,,2025-04-09,1.073999999999998,1,trial
,,green,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,orange,559850,2.075000000000003,flower,English,,2025-04-09,0.5240000000000009,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.43599999999999284,1,trial
,,green,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,purple,559850,,flower,English,,2025-04-09,0.4099999999999966,1,trial
,,green,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.4930000000000092,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.4829999999999899,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,purple,559850,,flower,English,,2025-04-09,1.0049999999999955,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,orange,559850,0.9249999999999972,flower,English,,2025-04-09,0.42500000000001137,1,trial
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.9320000000000022,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,orange,559850,,flower,English,,2025-04-09,0.4579999999999984,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.34900000000000375,1,trial
,,green,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.36299999999999955,1,trial
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.41500000000000625,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.3499999999999943,1,trial
,,green,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,purple,559850,,flower,English,,2025-04-09,0.6080000000000041,1,trial
1.5210000000000008,1,yellow,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,orange,559850,1.3359999999999985,flower,English,,2025-04-09,1.8259999999999934,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.578000000000003,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.44899999999999807,1,trial
,,green,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,orange,559850,1.1610000000000014,flower,English,,2025-04-09,0.347999999999999,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,orange,559850,,flower,English,,2025-04-09,0.534000000000006,1,trial
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,1.7579999999999956,1,trial
,,green,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,orange,559850,1.0699999999999932,flower,English,,2025-04-09,0.974000000000018,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,orange,559850,,flower,English,,2025-04-09,0.4819999999999993,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.9449999999999932,1,trial
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,purple,559850,,flower,English,,2025-04-09,0.6670000000000016,1,trial
,,green,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,3.7280000000000086,0,trial
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.710000000000008,1,trial
,,red,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.382000000000005,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,green,559850,1.1730000000000018,flower,English,,2025-04-09,0.6349999999999909,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,green,559850,,flower,English,,2025-04-09,0.7849999999999966,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.34899999999998954,1,trial
,,yellow,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,deepblue,559850,,flower,English,,2025-04-09,0.3269999999999982,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,Memory,2025-04-09_14h48.09.056,,orange,559850,1.049999999999983,flower,English,,2025-04-09,0.375,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,purple,559850,,flower,English,,2025-04-09,0.4399999999999977,1,trial
,,lightblue,5e3ad23a0491d4000d7da108,,2025-04-09_14h48.09.056,,purple,559850,,flower,English,,2025-04-09,0.7960000000000207,1,trial
