random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,3.244500000000002,0,train
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,1.1524999999999999,1,train
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.8433000000007453,1,train
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.5703000000007457,1,train
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.47310000000148733,1,train
,,yellow,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,green,414909,2.6811000000014857,vase,English,,2025-04-09,0.556900000002237,1,trial
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.6248000000007465,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.4913000000007415,1,trial
,,lightblue,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.36999999999999744,1,trial
,,green,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,purple,414909,1.0675000000000026,vase,English,,2025-04-09,0.539900000002234,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,purple,414909,,vase,English,,2025-04-09,0.49119999999926023,1,trial
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.4973000000007417,1,trial
,,red,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,purple,414909,1.8804999999999978,vase,English,,2025-04-09,0.503399999998507,1,trial
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.5884000000022382,1,trial
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.424500000000009,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.4003000000007404,1,trial
,,lightblue,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.4671999999992522,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.40029999999701715,1,trial
,,lightblue,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,green,414909,2.29319999999926,vase,English,,2025-04-09,0.46089999999850306,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.4426000000014909,1,trial
,,lightblue,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,purple,414909,,vase,English,,2025-04-09,0.4913999999985208,1,trial
,,lightblue,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.8918000000007424,1,trial
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,purple,414909,,vase,English,,2025-04-09,0.49130000000073437,1,trial
,,lightblue,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,purple,414909,,vase,English,,2025-04-09,0.33369999999925426,1,trial
,,lightblue,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.3881999999992587,1,trial
,,lightblue,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,purple,414909,,vase,English,,2025-04-09,0.4307000000029859,1,trial
1.7261999999992526,1,green,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,purple,414909,0.8796000000014885,vase,English,,2025-04-09,0.9751000000014898,1,trial
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.4913000000007486,1,trial
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,purple,414909,,vase,English,,2025-04-09,0.41849999999999454,1,trial
,,yellow,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,deepblue,414909,0.8494000000022339,vase,English,,2025-04-09,0.47319999999925244,1,trial
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.5035000000000025,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.3941999999992589,1,trial
,,yellow,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,green,414909,0.7643000000007447,vase,English,,2025-04-09,0.31539999999850465,1,trial
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.32750000000000057,1,trial
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.37599999999999056,1,trial
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.3881000000014865,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,purple,414909,,vase,English,,2025-04-09,0.509600000001484,1,trial
,,yellow,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.35169999999925494,1,trial
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.44279999999702113,1,trial
,,green,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,orange,414909,0.9037999999970339,vase,English,,2025-04-09,0.5033999999985213,1,trial
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.44879999999702136,1,trial
,,lightblue,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,green,414909,,vase,English,,2025-04-09,0.4911999999992531,1,trial
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.35179999999701295,1,trial
,,lightblue,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,,orange,414909,0.7764999999999986,vase,English,,2025-04-09,0.47930000000076234,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.382000000000005,1,trial
,,red,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,deepblue,414909,,vase,English,,2025-04-09,0.4306999999992627,1,trial
,,green,5e3b48fcc202a4360445283d,,2025-04-09_11h59.00.111,,orange,414909,,vase,English,,2025-04-09,0.594300000000743,1,trial
,,lightblue,5e3b48fcc202a4360445283d,Guess,2025-04-09_11h59.00.111,1,orange,414909,3.1603000000007455,flower,English,2.6209000000022513,2025-04-09,1.3459000000022456,1,surprise
,,green,5e3b48fcc202a4360445283d,Memory,2025-04-09_11h59.00.111,1,deepblue,414909,1.0191000000014867,flower,English,1.5533999999985042,2025-04-09,0.7398999999985278,1,surprise
