random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,purple,351990,,flower,English,,2025-04-09,5.181800000004472,1,train
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,orange,351990,,flower,English,,2025-04-09,0.6830999999940275,1,train
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.785100000001492,1,train
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.41689999999852034,1,train
,,red,5e47a5ae418f6125620ee944,Intuition,2025-04-09_21h53.34.434,,purple,351990,6.5660000000000025,flower,English,,2025-04-09,0.5317999999970198,1,trial
,,green,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.8167000000029816,1,trial
,,green,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,orange,351990,,flower,English,,2025-04-09,0.49939999999851636,1,trial
,,green,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.3501000000014898,1,trial
,,green,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,,orange,351990,5.200000000000003,flower,English,,2025-04-09,0.45159999999404477,1,trial
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.6648999999985108,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.5333999999985082,1,trial
,,lightblue,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,,green,351990,0.9994999999999976,flower,English,,2025-04-09,0.6845999999940489,1,trial
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,purple,351990,,flower,English,,2025-04-09,0.6502000000029824,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.6007999999970224,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.4667000000029873,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.31680000000446285,1,trial
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.5663999999985094,1,trial
,,green,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,,orange,351990,1.766200000002982,flower,English,,2025-04-09,0.8166999999955351,1,trial
,,green,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,purple,351990,,flower,English,,2025-04-09,1.0171000000014772,1,trial
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,purple,351990,,flower,English,,2025-04-09,0.45069999999552124,1,trial
,,green,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,orange,351990,,flower,English,,2025-04-09,0.4824999999999875,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.5833999999985053,1,trial
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,1.0161999999955356,1,trial
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,purple,351990,,flower,English,,2025-04-09,1.050299999997037,1,trial
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.5187000000029798,1,trial
2.6919000000059725,1,lightblue,5e47a5ae418f6125620ee944,Guess,2025-04-09_21h53.34.434,,orange,351990,1.766399999998498,flower,English,,2025-04-09,5.633299999997007,0,trial
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.7300999999940245,1,trial
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.633499999999998,1,trial
,,green,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,,purple,351990,1.9506000000014865,flower,English,,2025-04-09,0.783200000002978,1,trial
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.6665000000000134,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,orange,351990,,flower,English,,2025-04-09,0.4333000000044649,1,trial
,,green,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,,purple,351990,1.3338999999984935,flower,English,,2025-04-09,0.5167000000029986,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.6014000000059809,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,orange,351990,,flower,English,,2025-04-09,0.39959999999405227,1,trial
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.44830000000447967,1,trial
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.4497000000029914,1,trial
,,green,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,purple,351990,,flower,English,,2025-04-09,0.4331000000015024,1,trial
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,green,351990,,flower,English,,2025-04-09,0.46629999999703386,1,trial
,,lightblue,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,,orange,351990,1.1665000000000134,flower,English,,2025-04-09,0.38329999999703546,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,orange,351990,,flower,English,,2025-04-09,0.43320000000298364,1,trial
,,yellow,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.333500000000015,1,trial
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,purple,351990,,flower,English,,2025-04-09,0.3863999999985026,1,trial
,,red,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,,purple,351990,1.4648999999985222,flower,English,,2025-04-09,0.8271000000015079,1,trial
,,red,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.4501000000014699,1,trial
,,green,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,deepblue,351990,,flower,English,,2025-04-09,0.9010000000000105,1,trial
,,lightblue,5e47a5ae418f6125620ee944,,2025-04-09_21h53.34.434,,orange,351990,,flower,English,,2025-04-09,0.4338000000044815,1,trial
,,lightblue,5e47a5ae418f6125620ee944,Other,2025-04-09_21h53.34.434,1,purple,351990,8.716999999999985,vase,English,0.26689999999851466,2025-04-09,3.849299999997015,1,surprise
,,green,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,0,deepblue,351990,3.3316999999955215,vase,English,2.9331999999955087,2025-04-09,2.6333999999985167,1,surprise
,,lightblue,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,1,orange,351990,1.6649000000059573,vase,English,1.7003999999984956,2025-04-09,1.4668000000044685,1,surprise
,,green,5e47a5ae418f6125620ee944,Memory,2025-04-09_21h53.34.434,1,orange,351990,1.0000999999940063,vase,English,1.4668999999985033,2025-04-09,0.9664999999999964,1,surprise
