random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,green,823632,,flower,English,,2025-04-09,0.6988000000715289,1,train
,,yellow,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,green,823632,,flower,English,,2025-04-09,0.4661999999284703,1,train
,,yellow,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,green,823632,,flower,English,,2025-04-09,0.3338000000715269,1,train
,,green,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,purple,823632,,flower,English,,2025-04-09,0.7495999999046319,1,train
,,red,5e5a96f5a2f2c528edf70f6e,Memory,2025-04-09_11h27.46.345,,purple,823632,2.983000000000004,flower,English,,2025-04-09,0.6319999999999979,1,trial
,,red,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,purple,823632,,flower,English,,2025-04-09,0.4830000000000041,1,trial
,,yellow,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,orange,823632,,flower,English,,2025-04-09,0.33320000004768957,1,trial
,,lightblue,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,purple,823632,,flower,English,,2025-04-09,0.33310000002384044,1,trial
,,lightblue,5e5a96f5a2f2c528edf70f6e,Memory,2025-04-09_11h27.46.345,,orange,823632,0.9327999999523158,flower,English,,2025-04-09,0.38289999997616064,1,trial
,,lightblue,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,green,823632,,flower,English,,2025-04-09,0.3164999999999907,1,trial
,,red,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,green,823632,,flower,English,,2025-04-09,0.33290000009536413,1,trial
,,lightblue,5e5a96f5a2f2c528edf70f6e,Memory,2025-04-09_11h27.46.345,,orange,823632,0.9997000000476959,flower,English,,2025-04-09,0.5161999999284745,1,trial
,,green,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,deepblue,823632,,flower,English,,2025-04-09,0.5,1,trial
,,red,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,green,823632,,flower,English,,2025-04-09,0.36650000000000205,1,trial
,,red,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,purple,823632,,flower,English,,2025-04-09,0.7831999999284704,1,trial
,,yellow,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,orange,823632,,flower,English,,2025-04-09,0.3166000000238398,1,trial
,,yellow,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,deepblue,823632,,flower,English,,2025-04-09,0.25020000004768406,1,trial
,,green,5e5a96f5a2f2c528edf70f6e,Memory,2025-04-09_11h27.46.345,,deepblue,823632,0.9328999999761578,flower,English,,2025-04-09,0.7667000000476776,1,trial
,,green,5e5a96f5a2f2c528edf70f6e,,2025-04-09_11h27.46.345,,orange,823632,,flower,English,,2025-04-09,0.43329999995232527,1,trial
