random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,deepblue,886824,,flower,English,,2025-04-09,2.6945000000000032,1,train
,,red,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,purple,886824,,flower,English,,2025-04-09,1.0827999997138988,1,train
,,yellow,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,deepblue,886824,,flower,English,,2025-04-09,0.7322000002861024,1,train
,,yellow,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,green,886824,,flower,English,,2025-04-09,0.4319000000953679,1,train
,,lightblue,5e92178e8ee4fe54b65b7c39,Memory,2025-04-09_16h44.15.788,,green,886824,5.148599999904633,flower,English,,2025-04-09,0.8305999999046314,1,trial
,,green,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,purple,886824,,flower,English,,2025-04-09,0.899400000095369,1,trial
,,lightblue,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,orange,886824,,flower,English,,2025-04-09,0.882799999713896,1,trial
,,red,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,purple,886824,,flower,English,,2025-04-09,2.2331000003814694,1,trial
,,lightblue,5e92178e8ee4fe54b65b7c39,Memory,2025-04-09_16h44.15.788,,purple,886824,1.6997000002861,flower,English,,2025-04-09,1.016300000190732,1,trial
,,yellow,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,orange,886824,,flower,English,,2025-04-09,0.532900000095367,1,trial
,,red,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,deepblue,886824,,flower,English,,2025-04-09,0.7163000001907349,1,trial
,,red,5e92178e8ee4fe54b65b7c39,Memory,2025-04-09_16h44.15.788,,green,886824,2.3004999999999995,flower,English,,2025-04-09,0.6320999999046322,1,trial
,,yellow,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,orange,886824,,flower,English,,2025-04-09,0.7499999999999929,1,trial
,,lightblue,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,orange,886824,,flower,English,,2025-04-09,0.9825000000000017,1,trial
,,green,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,orange,886824,,flower,English,,2025-04-09,0.8160999999046368,1,trial
,,yellow,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,orange,886824,,flower,English,,2025-04-09,0.6329000000953755,1,trial
,,green,5e92178e8ee4fe54b65b7c39,,2025-04-09_16h44.15.788,,deepblue,886824,,flower,English,,2025-04-09,1.3164000000953706,1,trial
