random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,orange,584099,,vase,English,,2025-04-09,2.087800000000044,1,train
,,green,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,deepblue,584099,,vase,English,,2025-04-09,3.2030000000000065,0,train
,,lightblue,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,orange,584099,,vase,English,,2025-04-09,1.951500000000003,1,train
,,red,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,deepblue,584099,,vase,English,,2025-04-09,1.1677000000001883,1,train
,,lightblue,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,purple,584099,,vase,English,,2025-04-09,0.5498000000000474,1,train
,,lightblue,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,green,584099,,vase,English,,2025-04-09,1.7689999999999984,1,train
,,yellow,5f1c9874aace250008639db2,Memory,2025-04-09_12h37.26.704,,green,584099,2.3998000000000417,vase,English,,2025-04-09,1.3090000000000046,1,trial
,,green,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,purple,584099,,vase,English,,2025-04-09,1.2005000000000052,1,trial
,,green,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,orange,584099,,vase,English,,2025-04-09,0.6161000000000882,1,trial
,,red,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,deepblue,584099,,vase,English,,2025-04-09,0.5500000000000114,1,trial
,,red,5f1c9874aace250008639db2,Memory,2025-04-09_12h37.26.704,,purple,584099,6.371300000000048,vase,English,,2025-04-09,0.4826999999999515,1,trial
,,lightblue,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,purple,584099,,vase,English,,2025-04-09,0.5477000000001908,1,trial
,,red,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,purple,584099,,vase,English,,2025-04-09,0.38119999999996423,1,trial
,,green,5f1c9874aace250008639db2,Memory,2025-04-09_12h37.26.704,,orange,584099,3.4356999999999545,vase,English,,2025-04-09,0.9829000000001287,1,trial
,,lightblue,5f1c9874aace250008639db2,,2025-04-09_12h37.26.704,,green,584099,,vase,English,,2025-04-09,0.7841999999997284,1,trial
