vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,2.575000000000003,1,train
purple,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.165800000011913,1,train
orange,,vase,yellow,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.2836999999880874,1,train
orange,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.15029999998211,1,train
deepblue,,vase,yellow,,English,Memory,582337,5f4f43e2d2f0c1191357174c,11.792900000005972,,2025-05-05_11h05.24.884,,2025-05-05,1.0851999999880775,1,trial
purple,,vase,red,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.0812000000178728,1,trial
orange,,vase,yellow,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.0328000000119175,1,trial
purple,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.1497000000179014,1,trial
purple,,vase,lightblue,,English,Memory,582337,5f4f43e2d2f0c1191357174c,9.498800000011926,,2025-05-05_11h05.24.884,,2025-05-05,0.7824999999999989,1,trial
deepblue,,vase,red,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.9328000000119232,1,trial
deepblue,,vase,yellow,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.6473000000119384,1,trial
green,,vase,lightblue,,English,Guess,582337,5f4f43e2d2f0c1191357174c,5.1237000000178625,,2025-05-05_11h05.24.884,,2025-05-05,2.153699999988106,0,trial
purple,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.9836000000238414,1,trial
deepblue,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.0476999999880832,1,trial
purple,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.9491999999880818,1,trial
orange,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.9466999999880557,1,trial
orange,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.786500000000018,1,trial
green,,vase,red,,English,Memory,582337,5f4f43e2d2f0c1191357174c,3.048900000005972,,2025-05-05_11h05.24.884,,2025-05-05,0.7994999999999948,1,trial
orange,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.882000000000005,1,trial
green,,vase,yellow,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.8500999999940575,1,trial
green,,vase,yellow,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.8000999999940461,1,trial
orange,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.7998000000119134,1,trial
green,,vase,red,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.6910999999940373,1,trial
purple,,vase,red,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.8993999999761684,1,trial
deepblue,,vase,red,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.7913000000119155,1,trial
purple,2.133399999976149,vase,red,1,English,Guess,582337,5f4f43e2d2f0c1191357174c,5.631,,2025-05-05_11h05.24.884,,2025-05-05,4.952099999994033,0,trial
green,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.7817999999821268,1,trial
green,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.6666999999880829,1,trial
deepblue,,vase,green,,English,Memory,582337,5f4f43e2d2f0c1191357174c,2.4524000000059516,,2025-05-05_11h05.24.884,,2025-05-05,1.4923999999761577,1,trial
green,,vase,yellow,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.565699999988027,1,trial
orange,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.032400000005964,1,trial
orange,,vase,green,,English,Memory,582337,5f4f43e2d2f0c1191357174c,2.516199999988089,,2025-05-05_11h05.24.884,,2025-05-05,0.7420000000000186,1,trial
orange,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.9189999999999827,1,trial
green,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.9464000000059514,1,trial
deepblue,,vase,red,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.0505999999940627,1,trial
orange,,vase,yellow,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.9480999999940423,1,trial
purple,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.7993999999761741,1,trial
deepblue,,vase,green,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.965900000005945,1,trial
orange,,vase,yellow,,English,Memory,582337,5f4f43e2d2f0c1191357174c,2.1321999999880745,,2025-05-05_11h05.24.884,,2025-05-05,0.7825999999940336,1,trial
orange,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.7820000000000391,1,trial
purple,,vase,lightblue,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,1.2565000000000168,1,trial
purple,,vase,red,,English,,582337,5f4f43e2d2f0c1191357174c,,,2025-05-05_11h05.24.884,,2025-05-05,0.6109000000059837,1,trial
green,,vase,yellow,,English,Memory,582337,5f4f43e2d2f0c1191357174c,1.6486999999880823,,2025-05-05_11h05.24.884,,2025-05-05,0.7504000000059818,1,trial
