random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,orange,88441,,vase,English,,2025-04-09,2.11190000000596,1,train
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.6325000000000003,1,train
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.6157999999821158,1,train
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,orange,88441,,vase,English,,2025-04-09,0.6756999999880833,1,train
,,green,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,deepblue,88441,3.3794000000059583,vase,English,,2025-04-09,0.7967000000178928,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.6989000000059633,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.5822999999821121,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,orange,88441,,vase,English,,2025-04-09,0.6159000000059649,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,green,88441,1.8814999999999884,vase,English,,2025-04-09,0.5822999999821263,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.5156999999880867,1,trial
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.84880000001192,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,orange,88441,1.8474000000059618,vase,English,,2025-04-09,0.7992999999821109,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.5325999999940336,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,orange,88441,,vase,English,,2025-04-09,0.8326999999880798,1,trial
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.5825999999940308,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.4659000000059592,1,trial
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.9488000000119285,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,orange,88441,0.9990999999940442,vase,English,,2025-04-09,0.7322000000178832,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.5491000000238415,1,trial
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.6822999999821207,1,trial
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.4822999999821178,1,trial
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.5162999999821238,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.649699999988087,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,orange,88441,,vase,English,,2025-04-09,0.5654999999999859,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,orange,88441,,vase,English,,2025-04-09,0.7991999999880761,1,trial
1.1945999999940398,1,lightblue,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,orange,88441,2.8566999999880807,vase,English,,2025-04-09,3.2629000000059705,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.8323000000119123,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.5324999999999989,1,trial
,,red,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,deepblue,88441,1.3149999999999977,vase,English,,2025-04-09,0.5661999999881004,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,orange,88441,,vase,English,,2025-04-09,0.7491999999880647,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.566199999988072,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,orange,88441,1.2820000000000107,vase,English,,2025-04-09,0.7659000000059564,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.7485999999940418,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.5826000000238309,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.5990999999940527,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.5159000000059564,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.3827999999821259,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.3826999999880627,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,deepblue,88441,1.065599999994049,vase,English,,2025-04-09,0.31610000002385163,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,orange,88441,,vase,English,,2025-04-09,0.9154999999999802,1,trial
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.6484999999999843,1,trial
,,green,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,deepblue,88441,,vase,English,,2025-04-09,0.3493000000119366,1,trial
,,green,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,,orange,88441,1.1323000000118952,vase,English,,2025-04-09,0.8159000000059393,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.46589999997615905,1,trial
,,lightblue,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,green,88441,,vase,English,,2025-04-09,0.44929999998211656,1,trial
,,red,5f5327adfc189062fa0e0fb1,,2025-04-09_10h45.03.960,,purple,88441,,vase,English,,2025-04-09,0.4995000000000118,1,trial
,,yellow,5f5327adfc189062fa0e0fb1,Guess,2025-04-09_10h45.03.960,1,deepblue,88441,3.679099999994037,flower,English,6.510400000005944,2025-04-09,2.2133000000119125,0,surprise
,,green,5f5327adfc189062fa0e0fb1,Memory,2025-04-09_10h45.03.960,0,deepblue,88441,3.4127999999820986,flower,English,2.8974999999999795,2025-04-09,2.5306000000238384,0,surprise
