random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,orange,581228,,flower,English,,2025-04-09,2.0167000000029773,1,train
,,red,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,green,581228,,flower,English,,2025-04-09,0.7509999999999977,1,train
,,green,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,orange,581228,,flower,English,,2025-04-09,0.8174000000059607,1,train
,,green,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,deepblue,581228,,flower,English,,2025-04-09,0.7329000000059622,1,train
,,lightblue,5f97222fa31f2709bcd63373,Memory,2025-04-09_11h11.06.161,,green,581228,2.918299999997018,flower,English,,2025-04-09,0.7827999999970174,1,trial
,,red,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,green,581228,,flower,English,,2025-04-09,0.8169000000059583,1,trial
,,green,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,purple,581228,,flower,English,,2025-04-09,0.8177000000029793,1,trial
,,lightblue,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,green,581228,,flower,English,,2025-04-09,0.6169999999999973,1,trial
,,green,5f97222fa31f2709bcd63373,Memory,2025-04-09_11h11.06.161,,orange,581228,1.3175999999940444,flower,English,,2025-04-09,0.9341000000089394,1,trial
,,yellow,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,orange,581228,,flower,English,,2025-04-09,0.6504000000059591,1,trial
,,red,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,deepblue,581228,,flower,English,,2025-04-09,0.3831000000089446,1,trial
,,red,5f97222fa31f2709bcd63373,Memory,2025-04-09_11h11.06.161,,purple,581228,1.0337000000029803,flower,English,,2025-04-09,0.3332000000029893,1,trial
,,green,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,orange,581228,,flower,English,,2025-04-09,0.6335999999940469,1,trial
,,lightblue,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,orange,581228,,flower,English,,2025-04-09,0.38329999999702125,1,trial
,,green,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,purple,581228,,flower,English,,2025-04-09,0.683700000002986,1,trial
,,lightblue,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,orange,581228,,flower,English,,2025-04-09,0.3999999999999915,1,trial
,,lightblue,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,purple,581228,,flower,English,,2025-04-09,0.34940000000595717,1,trial
,,yellow,5f97222fa31f2709bcd63373,Memory,2025-04-09_11h11.06.161,,green,581228,1.4007000000029706,flower,English,,2025-04-09,0.5668999999910653,1,trial
,,green,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,purple,581228,,flower,English,,2025-04-09,0.7171999999880825,1,trial
,,red,5f97222fa31f2709bcd63373,,2025-04-09_11h11.06.161,,purple,581228,,flower,English,,2025-04-09,0.4172000000029783,1,trial
