random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,purple,869591,,vase,English,,2025-04-09,4.493199999995539,0,train
,,red,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,purple,869591,,vase,English,,2025-04-09,0.6730000000000018,1,train
,,yellow,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,orange,869591,,vase,English,,2025-04-09,0.9408000000044581,1,train
,,yellow,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,deepblue,869591,,vase,English,,2025-04-09,0.797200000002988,1,train
,,lightblue,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,purple,869591,,vase,English,,2025-04-09,0.49960000000146465,1,train
,,red,5fc3ce366a0a553fcaf30cd9,Memory,2025-04-09_11h06.20.686,,deepblue,869591,3.781000000000006,vase,English,,2025-04-09,0.6885000000000332,1,trial
,,green,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,deepblue,869591,,vase,English,,2025-04-09,0.723100000001466,1,trial
,,yellow,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,orange,869591,,vase,English,,2025-04-09,0.7819999999999823,1,trial
,,red,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,purple,869591,,vase,English,,2025-04-09,0.5791999999955237,1,trial
,,yellow,5fc3ce366a0a553fcaf30cd9,Memory,2025-04-09_11h06.20.686,,orange,869591,2.1239000000059605,vase,English,,2025-04-09,0.672200000002988,1,trial
,,yellow,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,deepblue,869591,,vase,English,,2025-04-09,0.5853000000044517,1,trial
,,red,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,green,869591,,vase,English,,2025-04-09,0.672399999998504,1,trial
,,yellow,5fc3ce366a0a553fcaf30cd9,Memory,2025-04-09_11h06.20.686,,green,869591,1.0622000000030312,vase,English,,2025-04-09,0.5875000000000341,1,trial
,,green,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,orange,869591,,vase,English,,2025-04-09,0.7718999999984817,1,trial
,,lightblue,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,purple,869591,,vase,English,,2025-04-09,0.4831000000014569,1,trial
,,green,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,orange,869591,,vase,English,,2025-04-09,0.5796000000014487,1,trial
,,lightblue,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,green,869591,,vase,English,,2025-04-09,0.5626000000014528,1,trial
,,lightblue,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,purple,869591,,vase,English,,2025-04-09,0.6452000000030012,1,trial
,,red,5fc3ce366a0a553fcaf30cd9,Intuition,2025-04-09_11h06.20.686,,purple,869591,0.23750000000001137,vase,English,,2025-04-09,3.257799999997019,1,trial
,,green,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,purple,869591,,vase,English,,2025-04-09,1.0720000000000027,1,trial
,,red,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,deepblue,869591,,vase,English,,2025-04-09,0.7326999999955319,1,trial
,,green,5fc3ce366a0a553fcaf30cd9,,2025-04-09_11h06.20.686,,deepblue,869591,,vase,English,,2025-04-09,0.8358999999985031,1,trial
