random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,purple,292064,,flower,English,,2025-04-09,1.3874000000953544,1,train
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,green,292064,,flower,English,,2025-04-09,0.8195999999046393,1,train
,,green,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.6807000002860946,1,train
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.784700000286108,1,train
,,red,5fd979cd5bc47d2522d06e18,Memory,2025-04-09_21h52.57.245,,deepblue,292064,2.98590000009537,flower,English,,2025-04-09,0.7976000003814789,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,green,292064,,flower,English,,2025-04-09,0.6944000000953707,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.555499999999995,1,trial
,,green,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.7012999997138962,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,Memory,2025-04-09_21h52.57.245,,purple,292064,1.3264999999999958,flower,English,,2025-04-09,0.6665999999046335,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,green,292064,,flower,English,,2025-04-09,0.4999000000953657,1,trial
,,red,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,deepblue,292064,,flower,English,,2025-04-09,0.6526999998092577,1,trial
,,red,5fd979cd5bc47d2522d06e18,Memory,2025-04-09_21h52.57.245,,purple,292064,1.3888999996185305,flower,English,,2025-04-09,0.4860999999046385,1,trial
,,green,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,purple,292064,,flower,English,,2025-04-09,0.7845999999046427,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.5416000003814787,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.5350000000000108,1,trial
,,red,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,green,292064,,flower,English,,2025-04-09,0.770799999713887,1,trial
,,green,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,purple,292064,,flower,English,,2025-04-09,0.6665000000000134,1,trial
,,red,5fd979cd5bc47d2522d06e18,Memory,2025-04-09_21h52.57.245,,green,292064,1.2430999999046293,flower,English,,2025-04-09,0.75,1,trial
,,green,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.6458000001907465,1,trial
,,red,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,green,292064,,flower,English,,2025-04-09,0.6942999997139054,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.5279000000953715,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.6180999999046151,1,trial
,,green,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.8263000001907415,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,deepblue,292064,,flower,English,,2025-04-09,0.6388000001907415,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.38879999971391044,1,trial
3.497000000000014,1,yellow,5fd979cd5bc47d2522d06e18,Memory,2025-04-09_21h52.57.245,,deepblue,292064,2.104299999713902,flower,English,,2025-04-09,1.930400000095375,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,green,292064,,flower,English,,2025-04-09,0.7084000000953665,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.4720999999046285,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,Memory,2025-04-09_21h52.57.245,,purple,292064,2.2779999999999916,flower,English,,2025-04-09,0.5554000000953465,1,trial
,,red,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,deepblue,292064,,flower,English,,2025-04-09,0.715199999809272,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,green,292064,,flower,English,,2025-04-09,0.5972999997139254,1,trial
,,red,5fd979cd5bc47d2522d06e18,Memory,2025-04-09_21h52.57.245,,green,292064,1.145799999713887,flower,English,,2025-04-09,0.7779000000953715,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,orange,292064,,flower,English,,2025-04-09,0.4166000003814645,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,deepblue,292064,,flower,English,,2025-04-09,0.43729999971390043,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,purple,292064,,flower,English,,2025-04-09,0.45130000019074146,1,trial
,,green,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,deepblue,292064,,flower,English,,2025-04-09,0.5693999996185255,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,green,292064,,flower,English,,2025-04-09,0.4720999999046285,1,trial
,,yellow,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,deepblue,292064,,flower,English,,2025-04-09,0.583200000286098,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,Memory,2025-04-09_21h52.57.245,,green,292064,1.4099000000953765,flower,English,,2025-04-09,0.4303999996185155,1,trial
,,red,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,purple,292064,,flower,English,,2025-04-09,0.652800000190723,1,trial
,,red,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,purple,292064,,flower,English,,2025-04-09,0.5069999999999766,1,trial
,,lightblue,5fd979cd5bc47d2522d06e18,,2025-04-09_21h52.57.245,,purple,292064,,flower,English,,2025-04-09,0.6803000001907265,1,trial
