random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,orange,233154,,flower,English,,2025-04-09,1.3482999999970104,1,train
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,orange,233154,,flower,English,,2025-04-09,1.02170000000298,1,train
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,1.1570000000000107,1,train
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,orange,233154,,flower,English,,2025-04-09,1.1873999999985045,1,train
,,green,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,orange,233154,4.482399999998506,flower,English,,2025-04-09,1.036100000001511,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,0.8967000000029657,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.7282000000029711,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,orange,233154,,flower,English,,2025-04-09,0.5959000000059405,1,trial
,,yellow,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,orange,233154,1.384399999998493,flower,English,,2025-04-09,0.8798999999985426,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,0.9075000000000273,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,orange,233154,,flower,English,,2025-04-09,0.6015000000000441,1,trial
,,red,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,purple,233154,1.0692999999970425,flower,English,,2025-04-09,1.4892000000029384,1,trial
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.8898999999984767,1,trial
,,red,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,0.7517000000029839,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,orange,233154,,flower,English,,2025-04-09,0.9357999999970161,1,trial
,,red,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,1.0567000000029338,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,0.7501000000015097,1,trial
,,yellow,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,orange,233154,1.585700000002987,flower,English,,2025-04-09,0.606399999998473,1,trial
,,red,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.9037000000029707,1,trial
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,orange,233154,,flower,English,,2025-04-09,0.7513999999985117,1,trial
,,red,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.6067000000030021,1,trial
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,0.7496999999955278,1,trial
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,0.5924999999999727,1,trial
,,red,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.6073999999985062,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,1.0697999999970307,1,trial
2.845700000002978,1,lightblue,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,orange,233154,3.1696999999955437,flower,English,,2025-04-09,1.990000000000009,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,1.051499999999976,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.7533999999985213,1,trial
,,yellow,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,deepblue,233154,2.296700000002943,flower,English,,2025-04-09,0.7511999999954924,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,0.901200000002973,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,0.5988999999984799,1,trial
,,red,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,purple,233154,1.9651000000015415,flower,English,,2025-04-09,0.7591000000015242,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.7628000000044608,1,trial
,,red,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,0.7579999999999814,1,trial
,,red,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,0.5994000000059714,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,0.901399999998489,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,1.4768999999984658,1,trial
,,red,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,0.5902999999970575,1,trial
,,yellow,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,green,233154,1.402300000004459,flower,English,,2025-04-09,0.7607999999970616,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.9102000000029307,1,trial
,,green,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,orange,233154,,flower,English,,2025-04-09,0.9138999999985344,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,0.7462000000029434,1,trial
,,yellow,6077827d5fd0204b9079a281,Memory,2025-04-09_12h20.38.820,,orange,233154,1.5866000000015106,flower,English,,2025-04-09,0.7428999999984853,1,trial
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,deepblue,233154,,flower,English,,2025-04-09,0.5936000000015156,1,trial
,,yellow,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,green,233154,,flower,English,,2025-04-09,0.5881999999955383,1,trial
,,lightblue,6077827d5fd0204b9079a281,,2025-04-09_12h20.38.820,,purple,233154,,flower,English,,2025-04-09,0.6007000000030303,1,trial
,,green,6077827d5fd0204b9079a281,Guess,2025-04-09_12h20.38.820,0,deepblue,233154,7.811999999999955,vase,English,6.158399999998494,2025-04-09,2.1008999999984894,1,surprise
,,lightblue,6077827d5fd0204b9079a281,Guess,2025-04-09_12h20.38.820,1,orange,233154,2.1295000000000073,vase,English,2.103599999994003,2025-04-09,3.158999999999992,1,surprise
