vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,3.9246999999992553,1,train
purple,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,2.098800000000743,1,train
orange,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,1.449099999999632,1,train
deepblue,,vase,green,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,1.4316999999992532,1,train
green,,vase,yellow,,English,Memory,640931,6097ec1a8c0b4df21cbb9024,7.060900000000373,,2025-05-05_14h07.11.471,,2025-05-05,0.7759999999999962,1,trial
green,,vase,yellow,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.8987999999988716,1,trial
purple,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.9220999999996309,1,trial
green,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.7428000000007415,1,trial
deepblue,,vase,green,,English,Memory,640931,6097ec1a8c0b4df21cbb9024,3.5811999999992423,,2025-05-05_14h07.11.471,,2025-05-05,0.7164999999999964,1,trial
green,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.5499000000003633,1,trial
purple,,vase,green,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.788200000001126,1,trial
green,,vase,lightblue,,English,Memory,640931,6097ec1a8c0b4df21cbb9024,1.3155999999996197,,2025-05-05_14h07.11.471,,2025-05-05,0.6665000000000134,1,trial
purple,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.8320999999996275,1,trial
deepblue,,vase,green,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.4639000000003648,1,trial
purple,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.6650999999996259,1,trial
deepblue,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.48149999999999693,1,trial
orange,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.8490000000000038,1,trial
orange,,vase,green,,English,Memory,640931,6097ec1a8c0b4df21cbb9024,1.4820999999996332,,2025-05-05_14h07.11.471,,2025-05-05,0.6490999999996347,1,trial
deepblue,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.899299999998874,1,trial
orange,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.8654999999999973,1,trial
orange,,vase,yellow,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.7828000000007478,1,trial
purple,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.716099999999642,1,trial
green,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.6493000000007214,1,trial
purple,,vase,green,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.6493999999985078,1,trial
purple,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.3990000000000009,1,trial
deepblue,7.3235999999996295,vase,red,0,English,Intuition,640931,6097ec1a8c0b4df21cbb9024,3.9642000000011137,,2025-05-05_14h07.11.471,,2025-05-05,7.19459999999961,0,trial
orange,,vase,yellow,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,1.1990999999996177,1,trial
purple,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.6824000000003707,1,trial
orange,,vase,yellow,,English,Memory,640931,6097ec1a8c0b4df21cbb9024,0.9486999999992634,,2025-05-05_14h07.11.471,,2025-05-05,0.7322999999988724,1,trial
deepblue,,vase,green,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.6260999999996102,1,trial
green,,vase,lightblue,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.7492000000011103,1,trial
deepblue,,vase,yellow,,English,Memory,640931,6097ec1a8c0b4df21cbb9024,2.0983000000007337,,2025-05-05_14h07.11.471,,2025-05-05,0.8496999999992454,1,trial
purple,,vase,green,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.5329000000003816,1,trial
orange,,vase,green,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.78449999999998,1,trial
green,,vase,yellow,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.7323999999985062,1,trial
green,,vase,red,,English,,640931,6097ec1a8c0b4df21cbb9024,,,2025-05-05_14h07.11.471,,2025-05-05,0.6491000000014822,1,trial
