vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,1.580399999999905,1,train
orange,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,1.2332000000001884,1,train
orange,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,1.1662000000001882,1,train
green,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.8998999999999029,1,train
green,,flower,yellow,,English,Memory,883174,60d3136e74b1871646e72544,4.682100000000105,,2025-05-05_09h55.00.491,,2025-05-05,1.0629999999999882,1,trial
orange,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,1.3664999999999736,1,trial
green,,flower,yellow,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.7499000000003662,1,trial
orange,,flower,yellow,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.6340000000000146,1,trial
orange,,flower,green,,English,Memory,883174,60d3136e74b1871646e72544,2.033100000000104,,2025-05-05_09h55.00.491,,2025-05-05,0.6482999999998356,1,trial
deepblue,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,1.0653000000002635,1,trial
purple,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.7487000000001842,1,trial
orange,,flower,yellow,,English,Memory,883174,60d3136e74b1871646e72544,1.533100000000104,,2025-05-05_09h55.00.491,,2025-05-05,0.682699999999727,1,trial
deepblue,,flower,yellow,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.633899999999926,1,trial
deepblue,,flower,yellow,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.499899999999883,1,trial
orange,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.666499999999985,1,trial
deepblue,,flower,yellow,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.6162999999997965,1,trial
green,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.5992000000001951,1,trial
green,,flower,yellow,,English,Memory,883174,60d3136e74b1871646e72544,1.0333999999998866,,2025-05-05_09h55.00.491,,2025-05-05,0.6820999999996502,1,trial
green,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.9999000000003946,1,trial
deepblue,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.8327000000001874,1,trial
purple,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.8166000000000793,1,trial
deepblue,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.5654999999999859,1,trial
green,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.5663999999999021,1,trial
orange,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.46699999999998454,1,trial
green,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.5496000000000834,1,trial
purple,2.0120999999996343,flower,green,1,English,Memory,883174,60d3136e74b1871646e72544,1.5827000000001874,,2025-05-05_09h55.00.491,,2025-05-05,1.6786999999997363,1,trial
purple,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.7996999999997456,1,trial
green,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.9998000000003344,1,trial
orange,,flower,lightblue,,English,Memory,883174,60d3136e74b1871646e72544,1.549899999999866,,2025-05-05_09h55.00.491,,2025-05-05,1.2652999999997974,1,trial
deepblue,,flower,yellow,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.43260000000009313,1,trial
green,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.5989999999999895,1,trial
orange,,flower,yellow,,English,Memory,883174,60d3136e74b1871646e72544,1.1664000000003512,,2025-05-05_09h55.00.491,,2025-05-05,0.7999000000003775,1,trial
orange,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.682199999999682,1,trial
purple,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.8486999999997238,1,trial
deepblue,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.549000000000035,1,trial
deepblue,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,1.0165000000000077,1,trial
purple,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.5831000000000586,1,trial
purple,,flower,red,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.6500000000000341,1,trial
purple,,flower,green,,English,Memory,883174,60d3136e74b1871646e72544,1.4166999999997074,,2025-05-05_09h55.00.491,,2025-05-05,0.9492999999998233,1,trial
green,,flower,yellow,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.6159000000004085,1,trial
orange,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.7003999999998882,1,trial
green,,flower,lightblue,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.5658999999998855,1,trial
orange,,flower,yellow,,English,Memory,883174,60d3136e74b1871646e72544,1.1828999999999041,,2025-05-05_09h55.00.491,,2025-05-05,0.6163999999999419,1,trial
deepblue,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.8163999999999305,1,trial
orange,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.4497000000001776,1,trial
deepblue,,flower,green,,English,,883174,60d3136e74b1871646e72544,,,2025-05-05_09h55.00.491,,2025-05-05,0.3998000000003117,1,trial
