random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,orange,36413,,vase,English,,2025-04-09,1.2075000000000031,0,train
,,lightblue,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,green,36413,,vase,English,,2025-04-09,0.5906999999992557,1,train
,,lightblue,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,orange,36413,,vase,English,,2025-04-09,0.736399999998504,1,train
,,yellow,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,green,36413,,vase,English,,2025-04-09,0.4792000000029759,1,train
,,yellow,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,orange,36413,,vase,English,,2025-04-09,0.5835000000000008,1,train
,,lightblue,60f5eba9476ad9bc1d4252e9,Memory,2025-04-09_09h52.53.601,,green,36413,5.154499999999999,vase,English,,2025-04-09,0.7283999999985085,1,trial
,,green,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,deepblue,36413,,vase,English,,2025-04-09,0.6876999999992606,1,trial
,,lightblue,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,green,36413,,vase,English,,2025-04-09,0.5002000000029767,1,trial
,,red,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,deepblue,36413,,vase,English,,2025-04-09,0.875399999998514,1,trial
,,red,60f5eba9476ad9bc1d4252e9,Memory,2025-04-09_09h52.53.601,,purple,36413,1.7088000000007426,vase,English,,2025-04-09,0.8405999999977638,1,trial
,,red,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,green,36413,,vase,English,,2025-04-09,0.4514000000022378,1,trial
,,red,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,deepblue,36413,,vase,English,,2025-04-09,0.632000000000005,1,trial
,,green,60f5eba9476ad9bc1d4252e9,Memory,2025-04-09_09h52.53.601,,orange,36413,1.9103999999985035,vase,English,,2025-04-09,0.5349000000022386,1,trial
,,yellow,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,deepblue,36413,,vase,English,,2025-04-09,0.9378999999985069,1,trial
,,green,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,deepblue,36413,,vase,English,,2025-04-09,0.5071000000014863,1,trial
,,yellow,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,orange,36413,,vase,English,,2025-04-09,0.562599999997758,1,trial
,,green,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,deepblue,36413,,vase,English,,2025-04-09,0.500099999997758,1,trial
,,green,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,purple,36413,,vase,English,,2025-04-09,0.51400000000001,1,trial
,,red,60f5eba9476ad9bc1d4252e9,Memory,2025-04-09_09h52.53.601,,deepblue,36413,1.319800000000754,vase,English,,2025-04-09,0.5626999999992535,1,trial
,,lightblue,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,orange,36413,,vase,English,,2025-04-09,0.7293000000007481,1,trial
,,yellow,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,orange,36413,,vase,English,,2025-04-09,0.5696000000015005,1,trial
,,green,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,purple,36413,,vase,English,,2025-04-09,0.4930999999977672,1,trial
,,lightblue,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,green,36413,,vase,English,,2025-04-09,0.43760000000148125,1,trial
,,green,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,deepblue,36413,,vase,English,,2025-04-09,0.4793000000007339,1,trial
,,yellow,60f5eba9476ad9bc1d4252e9,,2025-04-09_09h52.53.601,,green,36413,,vase,English,,2025-04-09,0.48619999999925767,1,trial
