random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,orange,737838,,flower,English,,2025-04-09,1.381699999999256,1,train
,,yellow,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,deepblue,737838,,flower,English,,2025-04-09,1.0523000000007414,1,train
,,yellow,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,deepblue,737838,,flower,English,,2025-04-09,0.49360000000149284,1,train
,,yellow,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,orange,737838,,flower,English,,2025-04-09,0.519999999999996,1,train
,,lightblue,6110c73b348fae89ebb223f3,Memory,2025-04-09_09h47.52.666,,purple,737838,5.480800000000741,flower,English,,2025-04-09,0.6583999999985082,1,trial
,,yellow,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,deepblue,737838,,flower,English,,2025-04-09,0.6319999999999979,1,trial
,,red,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,green,737838,,flower,English,,2025-04-09,0.7868999999985107,1,trial
,,lightblue,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,green,737838,,flower,English,,2025-04-09,0.6855000000000047,1,trial
,,yellow,6110c73b348fae89ebb223f3,Memory,2025-04-09_09h47.52.666,,green,737838,1.8129000000022373,flower,English,,2025-04-09,0.6528999999985103,1,trial
,,green,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,orange,737838,,flower,English,,2025-04-09,0.7323000000007482,1,trial
,,lightblue,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,green,737838,,flower,English,,2025-04-09,0.5048999999985142,1,trial
,,lightblue,6110c73b348fae89ebb223f3,Memory,2025-04-09_09h47.52.666,,green,737838,2.480300000000753,flower,English,,2025-04-09,0.5996999999992596,1,trial
,,lightblue,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,orange,737838,,flower,English,,2025-04-09,0.6665999999977714,1,trial
,,yellow,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,green,737838,,flower,English,,2025-04-09,0.5730000000000075,1,trial
,,lightblue,6110c73b348fae89ebb223f3,,2025-04-09_09h47.52.666,,purple,737838,,flower,English,,2025-04-09,0.6263999999985117,1,trial
