random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,purple,263488,,flower,English,,2025-04-09,1.7329000000003774,1,train
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,orange,263488,,flower,English,,2025-04-09,0.6670000000000016,1,train
,,yellow,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.6160999999996193,1,train
,,red,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.7167000000011114,1,train
,,lightblue,6115a5048966badceb7f00da,Memory,2025-04-09_21h40.30.965,,orange,263488,7.563599999999624,flower,English,,2025-04-09,0.6905999999996197,1,trial
,,yellow,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.5164000000003739,1,trial
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,orange,263488,,flower,English,,2025-04-09,0.8829000000003759,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,orange,263488,,flower,English,,2025-04-09,0.4430999999996317,1,trial
,,lightblue,6115a5048966badceb7f00da,Memory,2025-04-09_21h40.30.965,,green,263488,6.566099999999636,flower,English,,2025-04-09,0.36599999999999966,1,trial
,,yellow,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,deepblue,263488,,flower,English,,2025-04-09,0.41640000000036537,1,trial
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,deepblue,263488,,flower,English,,2025-04-09,0.8665999999996217,1,trial
,,red,6115a5048966badceb7f00da,Memory,2025-04-09_21h40.30.965,,green,263488,1.9664000000003767,flower,English,,2025-04-09,0.7664999999999935,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.9995999999996315,1,trial
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,purple,263488,,flower,English,,2025-04-09,0.8997000000011184,1,trial
,,yellow,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.4609999999999985,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,1.5498000000007437,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,purple,263488,,flower,English,,2025-04-09,0.3833000000007303,1,trial
,,red,6115a5048966badceb7f00da,Memory,2025-04-09_21h40.30.965,,purple,263488,1.4152000000011355,flower,English,,2025-04-09,0.5512000000011312,1,trial
,,yellow,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.4210999999996261,1,trial
,,red,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.5989999999999895,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,purple,263488,,flower,English,,2025-04-09,0.4105999999996186,1,trial
,,yellow,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,deepblue,263488,,flower,English,,2025-04-09,0.3997000000011326,1,trial
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,deepblue,263488,,flower,English,,2025-04-09,0.6711999999992599,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,orange,263488,,flower,English,,2025-04-09,0.5491999999992743,1,trial
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,deepblue,263488,,flower,English,,2025-04-09,0.654500000000013,1,trial
1.5499000000003775,1,yellow,6115a5048966badceb7f00da,Memory,2025-04-09_21h40.30.965,,orange,263488,1.1829000000003589,flower,English,,2025-04-09,7.31559999999962,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,purple,263488,,flower,English,,2025-04-09,0.516099999999625,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.31690000000037344,1,trial
,,red,6115a5048966badceb7f00da,Memory,2025-04-09_21h40.30.965,,purple,263488,2.048599999999624,flower,English,,2025-04-09,0.5499000000003775,1,trial
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,deepblue,263488,,flower,English,,2025-04-09,0.7830000000000155,1,trial
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,purple,263488,,flower,English,,2025-04-09,0.4000000000000057,1,trial
,,red,6115a5048966badceb7f00da,Memory,2025-04-09_21h40.30.965,,deepblue,263488,2.1333000000007587,flower,English,,2025-04-09,1.0320999999996445,1,trial
,,red,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,purple,263488,,flower,English,,2025-04-09,0.5993000000007385,1,trial
,,red,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,green,263488,,flower,English,,2025-04-09,0.26609999999962497,1,trial
,,green,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,orange,263488,,flower,English,,2025-04-09,0.6328000000007421,1,trial
,,lightblue,6115a5048966badceb7f00da,,2025-04-09_21h40.30.965,,orange,263488,,flower,English,,2025-04-09,0.3332000000011135,1,trial
