vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
green,,flower,lightblue,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.3468000000119211,1,train
purple,,flower,lightblue,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.6003999999761582,1,train
green,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.218800000011921,1,train
deepblue,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.5339000000059606,1,train
green,,flower,lightblue,,English,Intuition,704528,63468b3bd07050877a6beb11,6.679699999988081,,2025-05-05_09h39.32.418,,2025-05-05,0.7971999999880808,1,trial
green,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.2853000000119152,1,trial
green,,flower,lightblue,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.7188999999761592,1,trial
purple,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.9364999999999952,1,trial
deepblue,,flower,yellow,,English,Other,704528,63468b3bd07050877a6beb11,2.313299999982121,,2025-05-05_09h39.32.418,,2025-05-05,0.8015999999940391,1,trial
purple,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.1850000000000023,1,trial
purple,,flower,green,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.2835999999940384,1,trial
deepblue,,flower,green,,English,Other,704528,63468b3bd07050877a6beb11,2.0010000000000048,,2025-05-05_09h39.32.418,,2025-05-05,0.9178000000119226,1,trial
deepblue,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.0521999999880762,1,trial
orange,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,3.6825000000000045,1,trial
orange,,flower,lightblue,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.7829000000059665,1,trial
orange,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.6819000000059674,1,trial
deepblue,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.9012000000178801,1,trial
orange,,flower,lightblue,,English,Other,704528,63468b3bd07050877a6beb11,1.9664999999999964,,2025-05-05_09h39.32.418,,2025-05-05,2.7682000000178846,0,trial
green,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.2686999999880726,1,trial
deepblue,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.5992000000178876,1,trial
purple,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.9355000000000047,1,trial
orange,,flower,green,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.2854000000059642,1,trial
orange,,flower,green,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.8988000000119172,1,trial
deepblue,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.5685000000000002,1,trial
purple,,flower,lightblue,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.7686999999880868,1,trial
purple,0.7309999999999945,flower,lightblue,1,English,Other,704528,63468b3bd07050877a6beb11,2.466799999982129,,2025-05-05_09h39.32.418,,2025-05-05,2.4158000000119273,1,trial
deepblue,,flower,green,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,2.449799999982119,0,trial
green,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.1853999999761697,1,trial
deepblue,,flower,red,,English,Other,704528,63468b3bd07050877a6beb11,2.265899999976142,,2025-05-05_09h39.32.418,,2025-05-05,0.5867999999821336,1,trial
purple,,flower,green,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.0688000000119189,1,trial
orange,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.9347000000178696,1,trial
orange,,flower,lightblue,,English,Other,704528,63468b3bd07050877a6beb11,3.583099999994033,,2025-05-05_09h39.32.418,,2025-05-05,0.7521999999880791,1,trial
green,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.7690000000000055,1,trial
green,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.1186999999880811,1,trial
orange,,flower,green,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.0855000000000246,1,trial
green,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.4021999999880848,1,trial
orange,,flower,green,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.15209999999405,1,trial
green,,flower,lightblue,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.9155999999940434,1,trial
deepblue,,flower,green,,English,Other,704528,63468b3bd07050877a6beb11,5.080700000017856,,2025-05-05_09h39.32.418,,2025-05-05,1.1202000000178884,1,trial
green,,flower,lightblue,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.5126000000238378,1,trial
deepblue,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.1687999999821272,1,trial
purple,,flower,lightblue,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.66519999998809,1,trial
purple,,flower,green,,English,Other,704528,63468b3bd07050877a6beb11,2.1484999999999843,,2025-05-05_09h39.32.418,,2025-05-05,1.0696999999880745,1,trial
orange,,flower,yellow,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.9689999999999941,1,trial
deepblue,,flower,green,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,0.9346000000238348,1,trial
purple,,flower,red,,English,,704528,63468b3bd07050877a6beb11,,,2025-05-05_09h39.32.418,,2025-05-05,1.452099999994033,1,trial
deepblue,,vase,yellow,,English,Other,704528,63468b3bd07050877a6beb11,1.6646999999880734,2.7349000000059505,2025-05-05_09h39.32.418,0,2025-05-05,1.6645000000000039,1,surprise
purple,,vase,red,,English,Memory,704528,63468b3bd07050877a6beb11,3.346299999982108,1.7356999999880998,2025-05-05_09h39.32.418,1,2025-05-05,2.5837000000178705,1,surprise
purple,,vase,lightblue,,English,Memory,704528,63468b3bd07050877a6beb11,2.0320000000000107,1.1523000000119055,2025-05-05_09h39.32.418,1,2025-05-05,1.5495999999940295,0,surprise
purple,,vase,red,,English,Memory,704528,63468b3bd07050877a6beb11,1.1159000000059507,1.235599999994065,2025-05-05_09h39.32.418,1,2025-05-05,1.2663000000119098,1,surprise
