vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
green,,flower,yellow,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.9247999997138976,0,train
purple,,flower,lightblue,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,2.0399000000953578,1,train
deepblue,,flower,yellow,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.6348000001907366,1,train
deepblue,,flower,red,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.7225999999046451,1,train
deepblue,,flower,green,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.7819999999999965,1,train
deepblue,,flower,green,,English,Memory,552808,63d79fcd741f9cfb2f87152f,3.6860999999046413,,2025-05-05_08h37.00.570,,2025-05-05,0.7341000003814742,1,trial
orange,,flower,lightblue,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.7378000001907452,1,trial
purple,,flower,red,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,1.2054000000953664,1,trial
orange,,flower,green,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.9868000001907404,1,trial
green,,flower,yellow,,English,Memory,552808,63d79fcd741f9cfb2f87152f,3.9085000000000036,,2025-05-05_08h37.00.570,,2025-05-05,0.4624000000953572,1,trial
orange,,flower,green,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.8330999999046327,1,trial
orange,,flower,green,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.870900000095375,1,trial
orange,,flower,lightblue,,English,Memory,552808,63d79fcd741f9cfb2f87152f,1.2423000001907383,,2025-05-05_08h37.00.570,,2025-05-05,0.9165999999046335,1,trial
deepblue,,flower,green,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.5633000001907362,1,trial
purple,,flower,green,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.5198000001907133,1,trial
purple,,flower,red,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.585099999904628,1,trial
orange,,flower,lightblue,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.4375999999046485,1,trial
deepblue,,flower,yellow,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,1.2366999998092467,1,trial
green,,flower,yellow,,English,Memory,552808,63d79fcd741f9cfb2f87152f,0.6229000000953704,,2025-05-05_08h37.00.570,,2025-05-05,0.5398000001907235,1,trial
deepblue,,flower,yellow,,English,,552808,63d79fcd741f9cfb2f87152f,,,2025-05-05_08h37.00.570,,2025-05-05,0.9900000000000091,1,trial
