random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,1.0315000000000012,1,train
,,green,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,0.9162000000029877,1,train
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,orange,938031,,vase,English,,2025-04-09,0.9997999999970233,1,train
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,0.716099999997752,1,train
,,yellow,63d7a4d2ac703039f14c66dd,Memory,2025-04-09_23h07.27.028,,deepblue,938031,6.361099999997762,vase,English,,2025-04-09,0.7110999999977565,1,trial
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,green,938031,,vase,English,,2025-04-09,0.633499999999998,1,trial
,,green,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,purple,938031,,vase,English,,2025-04-09,0.7496999999992511,1,trial
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,0.6491000000014822,1,trial
,,lightblue,63d7a4d2ac703039f14c66dd,Memory,2025-04-09_23h07.27.028,,purple,938031,2.9979000000022467,vase,English,,2025-04-09,0.5493999999984993,1,trial
,,green,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,orange,938031,,vase,English,,2025-04-09,0.8993000000007498,1,trial
,,red,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,0.6658000000007434,1,trial
,,green,63d7a4d2ac703039f14c66dd,Memory,2025-04-09_23h07.27.028,,deepblue,938031,1.115699999999265,vase,English,,2025-04-09,0.4151999999992597,1,trial
,,lightblue,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,purple,938031,,vase,English,,2025-04-09,0.565899999998507,1,trial
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,green,938031,,vase,English,,2025-04-09,0.5156999999992564,1,trial
,,lightblue,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,purple,938031,,vase,English,,2025-04-09,0.8321999999992613,1,trial
,,green,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,orange,938031,,vase,English,,2025-04-09,0.7496000000014789,1,trial
,,red,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,0.7653999999985075,1,trial
,,lightblue,63d7a4d2ac703039f14c66dd,Memory,2025-04-09_23h07.27.028,,orange,938031,1.0823000000007426,vase,English,,2025-04-09,0.7316999999992646,1,trial
,,green,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,0.43229999999701363,1,trial
,,red,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,0.39919999999924016,1,trial
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,green,938031,,vase,English,,2025-04-09,0.732299999997025,1,trial
,,green,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,orange,938031,,vase,English,,2025-04-09,0.4162999999970225,1,trial
,,green,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,purple,938031,,vase,English,,2025-04-09,0.5827999999970075,1,trial
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,green,938031,,vase,English,,2025-04-09,0.7483999999985258,1,trial
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,deepblue,938031,,vase,English,,2025-04-09,0.3329000000022404,1,trial
1.0188999999985242,1,yellow,63d7a4d2ac703039f14c66dd,Guess,2025-04-09_23h07.27.028,,deepblue,938031,2.1488999999985197,vase,English,,2025-04-09,7.078699999999259,0,trial
,,yellow,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,orange,938031,,vase,English,,2025-04-09,0.9656999999992593,1,trial
,,green,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,purple,938031,,vase,English,,2025-04-09,0.4327999999970302,1,trial
,,lightblue,63d7a4d2ac703039f14c66dd,Memory,2025-04-09_23h07.27.028,,green,938031,0.9986000000014883,vase,English,,2025-04-09,0.9826999999992552,1,trial
,,red,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,green,938031,,vase,English,,2025-04-09,0.5989000000022315,1,trial
,,lightblue,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,orange,938031,,vase,English,,2025-04-09,0.4660000000000082,1,trial
,,red,63d7a4d2ac703039f14c66dd,Memory,2025-04-09_23h07.27.028,,green,938031,1.9823000000007482,vase,English,,2025-04-09,1.1484999999999843,1,trial
,,lightblue,63d7a4d2ac703039f14c66dd,,2025-04-09_23h07.27.028,,green,938031,,vase,English,,2025-04-09,0.48230000000074824,1,trial
