vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,vase,lightblue,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,1.0251999998092636,1,train
green,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.7596999998092642,1,train
green,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5335000000000001,1,train
purple,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.6000999999046321,1,train
green,,vase,lightblue,,English,Memory,208401,64011ddd299336698fa0c488,4.827800000190734,,2025-05-05_08h22.19.074,,2025-05-05,0.5989000000953695,1,trial
purple,,vase,lightblue,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.9862000002861038,1,trial
green,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.9468000001907342,1,trial
purple,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5867000002861005,1,trial
purple,,vase,red,,English,Memory,208401,64011ddd299336698fa0c488,1.2267999997138972,,2025-05-05_08h22.19.074,,2025-05-05,0.6398999996185282,1,trial
purple,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.6400000000000006,1,trial
purple,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.46649999999999636,1,trial
deepblue,,vase,red,,English,Memory,208401,64011ddd299336698fa0c488,1.1703000001907355,,2025-05-05_08h22.19.074,,2025-05-05,0.6965999999046346,1,trial
green,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.6402000002861072,1,trial
green,,vase,lightblue,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5464999999999947,1,trial
deepblue,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5470000000000113,1,trial
purple,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.359400000095377,1,trial
deepblue,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.6663000001907307,1,trial
purple,,vase,green,,English,Memory,208401,64011ddd299336698fa0c488,1.400100000381471,,2025-05-05_08h22.19.074,,2025-05-05,0.5734000000953614,1,trial
orange,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.626800000190741,1,trial
orange,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.400100000381471,1,trial
orange,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5870000000000033,1,trial
green,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5999999999999943,1,trial
green,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5600999999046365,1,trial
orange,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5068000001907365,1,trial
deepblue,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.653499999999994,1,trial
purple,1.7029000000953687,vase,lightblue,1,English,Memory,208401,64011ddd299336698fa0c488,2.853999999999999,,2025-05-05_08h22.19.074,,2025-05-05,4.027400000095355,1,trial
orange,,vase,lightblue,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.9994999999999976,1,trial
deepblue,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.6269000000953611,1,trial
green,,vase,lightblue,,English,Memory,208401,64011ddd299336698fa0c488,1.3734999999999928,,2025-05-05_08h22.19.074,,2025-05-05,0.440099999904632,1,trial
purple,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.7063000001907369,1,trial
deepblue,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.679700000286104,1,trial
purple,,vase,lightblue,,English,Memory,208401,64011ddd299336698fa0c488,0.9869000000953605,,2025-05-05_08h22.19.074,,2025-05-05,0.6269000000953611,1,trial
deepblue,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.37350000000000705,1,trial
green,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5733000001907271,1,trial
purple,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.5598000001907337,1,trial
green,,vase,lightblue,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.4398999996185182,1,trial
deepblue,,vase,yellow,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.48940000009537243,1,trial
deepblue,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.38700000000000045,1,trial
green,,vase,red,,English,Memory,208401,64011ddd299336698fa0c488,0.8534999999999968,,2025-05-05_08h22.19.074,,2025-05-05,0.7334000000953438,1,trial
green,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.3199999999999932,1,trial
orange,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.48940000009537243,1,trial
green,,vase,red,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.45349999999999113,1,trial
deepblue,,vase,red,,English,Memory,208401,64011ddd299336698fa0c488,0.920099999904636,,2025-05-05_08h22.19.074,,2025-05-05,0.5731999998092476,1,trial
deepblue,,vase,green,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.4895000000000209,1,trial
purple,,vase,lightblue,,English,,208401,64011ddd299336698fa0c488,,,2025-05-05_08h22.19.074,,2025-05-05,0.3200000000000216,1,trial
