random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,green,371928,,flower,English,,2025-04-09,5.40779999995231,0,train
,,yellow,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,orange,371928,,flower,English,,2025-04-09,0.7817999999523124,1,train
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,deepblue,371928,,flower,English,,2025-04-09,0.9321000001430519,1,train
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,purple,371928,,flower,English,,2025-04-09,0.6666000001430632,1,train
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,purple,371928,,flower,English,,2025-04-09,0.5660000000000025,1,train
,,yellow,646bd812bf93129feeb5a3dc,Memory,2025-04-09_10h38.03.559,,deepblue,371928,6.307200000047686,flower,English,,2025-04-09,0.6467999999523073,1,trial
,,yellow,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,green,371928,,flower,English,,2025-04-09,0.6159000000953796,1,trial
,,red,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,purple,371928,,flower,English,,2025-04-09,0.9482999999523258,1,trial
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,deepblue,371928,,flower,English,,2025-04-09,1.0651000001430475,1,trial
,,green,646bd812bf93129feeb5a3dc,Memory,2025-04-09_10h38.03.559,,purple,371928,9.189699999809264,flower,English,,2025-04-09,0.4488999998569483,1,trial
,,lightblue,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,green,371928,,flower,English,,2025-04-09,0.6152999999523274,1,trial
,,yellow,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,orange,371928,,flower,English,,2025-04-09,0.3963999998569534,1,trial
,,green,646bd812bf93129feeb5a3dc,Memory,2025-04-09_10h38.03.559,,purple,371928,1.2484000000953586,flower,English,,2025-04-09,0.6325000000000216,1,trial
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,deepblue,371928,,flower,English,,2025-04-09,0.44940000009535197,1,trial
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,orange,371928,,flower,English,,2025-04-09,0.38140000009536834,1,trial
,,yellow,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,deepblue,371928,,flower,English,,2025-04-09,0.4330999999046128,1,trial
,,red,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,deepblue,371928,,flower,English,,2025-04-09,0.6984000000953756,1,trial
,,red,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,green,371928,,flower,English,,2025-04-09,0.3491000001430393,1,trial
,,green,646bd812bf93129feeb5a3dc,Memory,2025-04-09_10h38.03.559,,orange,371928,3.827799999952333,flower,English,,2025-04-09,0.5985000000000014,1,trial
,,yellow,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,deepblue,371928,,flower,English,,2025-04-09,0.5497000000476646,1,trial
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,deepblue,371928,,flower,English,,2025-04-09,0.3147999999523279,1,trial
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,purple,371928,,flower,English,,2025-04-09,0.3154999999999859,1,trial
,,green,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,deepblue,371928,,flower,English,,2025-04-09,0.3824000000953447,1,trial
,,red,646bd812bf93129feeb5a3dc,,2025-04-09_10h38.03.559,,green,371928,,flower,English,,2025-04-09,2.113799999952306,1,trial
