random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,green,911568,,flower,English,,2025-04-09,2.8633000000715256,1,train
,,red,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,deepblue,911568,,flower,English,,2025-04-09,1.0667000000476818,1,train
,,lightblue,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,orange,911568,,flower,English,,2025-04-09,0.866700000047679,1,train
,,red,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,green,911568,,flower,English,,2025-04-09,0.66630000007153,1,train
,,yellow,6516d39e9eea4ed892cbb5b7,Memory,2025-04-09_18h31.20.696,,deepblue,911568,3.5661999999284717,flower,English,,2025-04-09,0.6980999999046347,1,trial
,,lightblue,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,purple,911568,,flower,English,,2025-04-09,0.8988999999761589,1,trial
,,red,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,deepblue,911568,,flower,English,,2025-04-09,0.6662999999523151,1,trial
,,yellow,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,green,911568,,flower,English,,2025-04-09,0.43329999995232527,1,trial
,,lightblue,6516d39e9eea4ed892cbb5b7,Memory,2025-04-09_18h31.20.696,,purple,911568,1.1996000000238354,flower,English,,2025-04-09,0.733100000023839,1,trial
,,green,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,orange,911568,,flower,English,,2025-04-09,0.9998999999761651,1,trial
,,yellow,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,deepblue,911568,,flower,English,,2025-04-09,0.6671000000238365,1,trial
,,green,6516d39e9eea4ed892cbb5b7,Memory,2025-04-09_18h31.20.696,,deepblue,911568,1.16639999997615,flower,English,,2025-04-09,0.6328999999761606,1,trial
,,yellow,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,orange,911568,,flower,English,,2025-04-09,0.7667000000476776,1,trial
,,green,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,orange,911568,,flower,English,,2025-04-09,0.8996999999284725,1,trial
,,lightblue,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,orange,911568,,flower,English,,2025-04-09,0.599700000047676,1,trial
,,red,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,green,911568,,flower,English,,2025-04-09,0.4666000000238455,1,trial
,,red,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,deepblue,911568,,flower,English,,2025-04-09,0.6664999999999992,1,trial
,,red,6516d39e9eea4ed892cbb5b7,Memory,2025-04-09_18h31.20.696,,purple,911568,1.0664999999999907,flower,English,,2025-04-09,0.666100000023846,1,trial
,,lightblue,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,green,911568,,flower,English,,2025-04-09,0.700400000095371,1,trial
,,red,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,deepblue,911568,,flower,English,,2025-04-09,0.3658999999761505,1,trial
,,yellow,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,deepblue,911568,,flower,English,,2025-04-09,0.5998999999761594,1,trial
,,green,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,deepblue,911568,,flower,English,,2025-04-09,0.5330000000000013,1,trial
,,green,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,orange,911568,,flower,English,,2025-04-09,0.36710000002383936,1,trial
,,red,6516d39e9eea4ed892cbb5b7,,2025-04-09_18h31.20.696,,purple,911568,,flower,English,,2025-04-09,0.43219999992847136,1,trial
