random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,1.3774000000953706,1,train
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.8149999999999977,1,train
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.6475000000000009,1,train
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.5144999999999982,1,train
,,green,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,,deepblue,365466,3.817400000095361,flower,English,,2025-04-09,0.8285000000000053,1,trial
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,orange,365466,,flower,English,,2025-04-09,0.6978999999761584,1,trial
,,lightblue,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.6488000000715317,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.7969000000953628,1,trial
,,red,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,,green,365466,1.908899999976157,flower,English,,2025-04-09,0.6335999999046322,1,trial
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,deepblue,365466,,flower,English,,2025-04-09,0.6144999999999925,1,trial
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,deepblue,365466,,flower,English,,2025-04-09,0.3674999999999926,1,trial
,,yellow,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,,orange,365466,1.7691999999284747,flower,English,,2025-04-09,0.41469999992847306,1,trial
,,lightblue,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.5979000000953789,1,trial
,,lightblue,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,orange,365466,,flower,English,,2025-04-09,0.34900000000000375,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,deepblue,365466,,flower,English,,2025-04-09,0.7807999999523219,1,trial
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,orange,365466,,flower,English,,2025-04-09,0.4906000000238322,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.7484000000953728,1,trial
,,yellow,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,,green,365466,1.6296000000238422,flower,English,,2025-04-09,0.5319999999999965,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,orange,365466,,flower,English,,2025-04-09,0.6806999999284642,1,trial
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.6483000000715293,1,trial
,,lightblue,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.6988999999761489,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,orange,365466,,flower,English,,2025-04-09,0.880800000071531,1,trial
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.7828999999761663,1,trial
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.5339000000953718,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.6303000000715286,1,trial
2.318299999952302,1,lightblue,652e8fc1fea850eece58168b,Guess,2025-04-09_12h16.44.745,,orange,365466,2.4915000000000163,flower,English,,2025-04-09,2.115400000095349,1,trial
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.6977000000476892,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,1.1697000000476692,1,trial
,,lightblue,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,,orange,365466,2.9911000000238346,flower,English,,2025-04-09,0.5206000000238475,1,trial
,,lightblue,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.6653999999761595,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,deepblue,365466,,flower,English,,2025-04-09,0.7478000000715213,1,trial
,,green,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,,deepblue,365466,1.4954999999999927,flower,English,,2025-04-09,0.8041000000238512,1,trial
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.8146000000238587,1,trial
,,green,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,orange,365466,,flower,English,,2025-04-09,0.8473999999761475,1,trial
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,deepblue,365466,,flower,English,,2025-04-09,0.5215000000000032,1,trial
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.3987000000476826,1,trial
,,lightblue,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,orange,365466,,flower,English,,2025-04-09,0.7502000000476983,1,trial
,,yellow,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,green,365466,,flower,English,,2025-04-09,0.6196000000238655,1,trial
,,lightblue,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,,green,365466,2.0846000000238405,flower,English,,2025-04-09,0.7630000000000052,1,trial
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.847899999976164,1,trial
,,lightblue,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.8476000000238173,1,trial
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,deepblue,365466,,flower,English,,2025-04-09,0.7880000000000109,1,trial
,,green,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,,orange,365466,2.0509999999999877,flower,English,,2025-04-09,0.7809999999999775,1,trial
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,deepblue,365466,,flower,English,,2025-04-09,0.9983999999761579,1,trial
,,lightblue,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,purple,365466,,flower,English,,2025-04-09,0.665799999952327,1,trial
,,red,652e8fc1fea850eece58168b,,2025-04-09_12h16.44.745,,deepblue,365466,,flower,English,,2025-04-09,0.5649000000953777,1,trial
,,green,652e8fc1fea850eece58168b,Guess,2025-04-09_12h16.44.745,0,deepblue,365466,3.3627999999523297,vase,English,4.162499999999994,2025-04-09,1.4369999999999834,1,surprise
,,red,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,1,deepblue,365466,1.5789999999999793,vase,English,1.1675999999046383,2025-04-09,1.894899999976161,1,surprise
,,lightblue,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,1,green,365466,1.8954999999999984,vase,English,0.979800000071549,2025-04-09,0.9801999999284874,1,surprise
,,red,652e8fc1fea850eece58168b,Memory,2025-04-09_12h16.44.745,1,green,365466,1.6327000000476914,vase,English,0.8653999999761481,2025-04-09,0.8260000000000218,1,surprise
