random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,1.2590000000000003,1,train
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,green,493743,,vase,English,,2025-04-10,0.8488999996185242,1,train
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,1.1329000005722065,1,train
,,green,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,orange,493743,,vase,English,,2025-04-10,1.116500000000002,1,train
,,green,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,,purple,493743,5.2135999994277995,vase,English,,2025-04-10,0.8931000003814518,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,orange,493743,,vase,English,,2025-04-10,1.249699999809252,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,1.0836999998092551,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,green,493743,,vase,English,,2025-04-10,0.9662000007629388,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,,green,493743,4.082099999427783,vase,English,,2025-04-10,0.9318999996185369,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,1.132000000000005,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,green,493743,,vase,English,,2025-04-10,1.2163000001907278,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,,green,493743,2.400299999237035,vase,English,,2025-04-10,0.5322999992370399,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,1.4989999999999952,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,0.5823999996185307,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,0.6825000000000045,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,0.616199999809254,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,0.7314000005721937,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,,green,493743,4.082000000000022,vase,English,,2025-04-10,0.8336000003814661,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,1.182400000572187,1,trial
,,green,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,orange,493743,,vase,English,,2025-04-10,0.8990000000000009,1,trial
,,green,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,orange,493743,,vase,English,,2025-04-10,0.8329000005722094,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,1.0829000005722094,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,green,493743,,vase,English,,2025-04-10,0.9485000000000241,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,green,493743,,vase,English,,2025-04-10,0.55039999961852,1,trial
,,green,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,1.682399999618525,1,trial
2.5909000005721907,1,green,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,,orange,493743,3.6820000000000164,vase,English,,2025-04-10,2.011899999618521,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,1.2156999998092601,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,orange,493743,,vase,English,,2025-04-10,1.6159000005721964,1,trial
,,green,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,,deepblue,493743,2.299999999999983,vase,English,,2025-04-10,1.4823000001907474,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,1.1852000007629613,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,0.9829999999999472,1,trial
,,green,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,,purple,493743,1.5828000001907299,vase,English,,2025-04-10,0.6163999996185225,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,orange,493743,,vase,English,,2025-04-10,1.0991999998092865,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,orange,493743,,vase,English,,2025-04-10,0.8488000001907494,1,trial
,,green,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,0.9663000001907562,1,trial
,,green,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,0.9325999994277936,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,deepblue,493743,,vase,English,,2025-04-10,0.6990000000000123,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,1.017099999427785,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,,orange,493743,2.5326999998092674,vase,English,,2025-04-10,1.1654000005721628,1,trial
,,red,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,green,493743,,vase,English,,2025-04-10,1.1995000000000005,1,trial
,,green,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,0.5830999994278159,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,purple,493743,,vase,English,,2025-04-10,0.4493000001907035,1,trial
,,red,654ac80d62e7d6625de6b9fb,Guess,2025-04-10_00h14.54.256,,green,493743,3.799099999427824,vase,English,,2025-04-10,1.433299999237022,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,green,493743,,vase,English,,2025-04-10,0.9988000001907267,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,orange,493743,,vase,English,,2025-04-10,1.1998000001906917,1,trial
,,yellow,654ac80d62e7d6625de6b9fb,,2025-04-10_00h14.54.256,,green,493743,,vase,English,,2025-04-10,0.6658000001907567,1,trial
,,lightblue,654ac80d62e7d6625de6b9fb,Guess,2025-04-10_00h14.54.256,0,purple,493743,6.446000000000026,flower,English,3.898800000190761,2025-04-10,1.9296000003814697,1,surprise
,,red,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,1,green,493743,2.315899999618523,flower,English,1.31609999942782,2025-04-10,1.499600000381463,1,surprise
,,red,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,1,deepblue,493743,2.2656999998092715,flower,English,1.2334000005722032,2025-04-10,2.965599999427752,1,surprise
,,red,654ac80d62e7d6625de6b9fb,Memory,2025-04-10_00h14.54.256,1,green,493743,1.5821999998092338,flower,English,1.083400000572226,2025-04-10,1.96550000000002,1,surprise
