random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,deepblue,421527,,vase,English,,2025-04-09,3.8659999999999997,0,train
,,yellow,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,orange,421527,,vase,English,,2025-04-09,2.6029999999999873,1,train
,,lightblue,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,orange,421527,,vase,English,,2025-04-09,1.3730000000000047,1,train
,,yellow,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,green,421527,,vase,English,,2025-04-09,0.9339999999999975,1,train
,,green,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,deepblue,421527,,vase,English,,2025-04-09,1.7680000000000007,1,train
,,green,655a97bf4d75ee9bf7ab0794,Other,2025-04-09_15h25.02.693,,orange,421527,6.397999999999996,vase,English,,2025-04-09,1.125,1,trial
,,yellow,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,orange,421527,,vase,English,,2025-04-09,2.6059999999999945,1,trial
,,green,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,deepblue,421527,,vase,English,,2025-04-09,1.081000000000003,1,trial
,,yellow,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,deepblue,421527,,vase,English,,2025-04-09,1.1779999999999973,1,trial
,,green,655a97bf4d75ee9bf7ab0794,Memory,2025-04-09_15h25.02.693,,purple,421527,5.381999999999991,vase,English,,2025-04-09,0.835000000000008,1,trial
,,red,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,purple,421527,,vase,English,,2025-04-09,0.8389999999999986,1,trial
,,yellow,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,green,421527,,vase,English,,2025-04-09,0.9309999999999974,1,trial
,,red,655a97bf4d75ee9bf7ab0794,Memory,2025-04-09_15h25.02.693,,deepblue,421527,1.382000000000005,vase,English,,2025-04-09,0.9819999999999993,1,trial
,,yellow,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,green,421527,,vase,English,,2025-04-09,0.6869999999999976,1,trial
,,red,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,green,421527,,vase,English,,2025-04-09,0.6409999999999911,1,trial
,,lightblue,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,orange,421527,,vase,English,,2025-04-09,0.7410000000000139,1,trial
,,lightblue,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,green,421527,,vase,English,,2025-04-09,0.6359999999999957,1,trial
,,lightblue,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,purple,421527,,vase,English,,2025-04-09,0.646000000000015,1,trial
,,yellow,655a97bf4d75ee9bf7ab0794,Memory,2025-04-09_15h25.02.693,,orange,421527,0.921999999999997,vase,English,,2025-04-09,0.6370000000000005,1,trial
,,green,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,orange,421527,,vase,English,,2025-04-09,0.7330000000000041,1,trial
,,red,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,purple,421527,,vase,English,,2025-04-09,0.5869999999999891,1,trial
,,yellow,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,green,421527,,vase,English,,2025-04-09,0.8319999999999936,1,trial
,,green,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,deepblue,421527,,vase,English,,2025-04-09,0.7800000000000011,1,trial
,,lightblue,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,purple,421527,,vase,English,,2025-04-09,0.6379999999999768,1,trial
,,green,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,orange,421527,,vase,English,,2025-04-09,0.6409999999999911,1,trial
,,yellow,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,deepblue,421527,,vase,English,,2025-04-09,1.0370000000000061,1,trial
5.042000000000002,1,green,655a97bf4d75ee9bf7ab0794,Guess,2025-04-09_15h25.02.693,,purple,421527,1.695999999999998,vase,English,,2025-04-09,2.2130000000000223,1,trial
,,red,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,purple,421527,,vase,English,,2025-04-09,0.8839999999999861,1,trial
,,lightblue,655a97bf4d75ee9bf7ab0794,,2025-04-09_15h25.02.693,,green,421527,,vase,English,,2025-04-09,0.7280000000000086,1,trial
,,lightblue,655a97bf4d75ee9bf7ab0794,Memory,2025-04-09_15h25.02.693,,orange,421527,1.4840000000000089,vase,English,,2025-04-09,0.9320000000000164,1,trial
