random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,green,773357,,vase,English,,2025-04-09,4.666699999999963,0,train
,,yellow,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,orange,773357,,vase,English,,2025-04-09,0.9671000000000873,1,train
,,lightblue,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,orange,773357,,vase,English,,2025-04-09,1.1371999999999503,1,train
,,green,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,deepblue,773357,,vase,English,,2025-04-09,1.100300000000047,1,train
,,green,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,purple,773357,,vase,English,,2025-04-09,1.150799999999819,1,train
,,red,659583e0d5fab84895bfac7c,Memory,2025-04-09_14h18.09.686,,deepblue,773357,5.142800000000037,vase,English,,2025-04-09,0.9978999999999019,1,trial
,,lightblue,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,green,773357,,vase,English,,2025-04-09,0.7836000000000922,1,trial
,,lightblue,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,purple,773357,,vase,English,,2025-04-09,0.716800000000049,1,trial
,,yellow,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,deepblue,773357,,vase,English,,2025-04-09,0.7169000000001517,1,trial
,,green,659583e0d5fab84895bfac7c,Memory,2025-04-09_14h18.09.686,,orange,773357,1.4676000000000897,vase,English,,2025-04-09,1.000600000000091,1,trial
,,yellow,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,green,773357,,vase,English,,2025-04-09,0.8008000000000521,1,trial
,,lightblue,659583e0d5fab84895bfac7c,,2025-04-09_14h18.09.686,,orange,773357,,vase,English,,2025-04-09,0.9201999999999515,1,trial
