random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,orange,248917,,vase,English,,2025-04-10,2.215099999999609,0,train
,,green,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,1.4173999999985085,1,train
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,green,248917,,vase,English,,2025-04-10,0.7159999999999513,1,train
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,orange,248917,,vase,English,,2025-04-10,0.29990000000037753,1,train
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,0.45009999999962247,1,train
,,yellow,66043dadf1618b32183e67cc,Memory,2025-04-10_00h04.36.235,,green,248917,2.9161000000015065,vase,English,,2025-04-10,0.4810999999996284,1,trial
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,green,248917,,vase,English,,2025-04-10,0.43309999999962656,1,trial
,,green,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,0.6680000000000064,1,trial
,,red,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,0.39990000000040027,1,trial
,,green,66043dadf1618b32183e67cc,Memory,2025-04-10_00h04.36.235,,purple,248917,1.2164999999999964,vase,English,,2025-04-10,0.48319999999927177,1,trial
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,orange,248917,,vase,English,,2025-04-10,0.5332000000011021,1,trial
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,0.38320000000112486,1,trial
,,green,66043dadf1618b32183e67cc,Memory,2025-04-10_00h04.36.235,,deepblue,248917,0.8830999999996152,vase,English,,2025-04-10,0.31649999999996226,1,trial
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,orange,248917,,vase,English,,2025-04-10,0.299699999999234,1,trial
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,green,248917,,vase,English,,2025-04-10,0.46649999999999636,1,trial
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,0.5331999999992263,1,trial
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,orange,248917,,vase,English,,2025-04-10,0.24959999999958882,1,trial
,,red,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,purple,248917,,vase,English,,2025-04-10,0.3829000000003475,1,trial
,,red,66043dadf1618b32183e67cc,Memory,2025-04-10_00h04.36.235,,purple,248917,0.7332000000010908,vase,English,,2025-04-10,0.21649999999999636,1,trial
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,green,248917,,vase,English,,2025-04-10,1.0497000000011099,0,trial
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,purple,248917,,vase,English,,2025-04-10,0.19980000000072096,1,trial
,,green,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,0.19970000000114396,1,trial
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,orange,248917,,vase,English,,2025-04-10,0.249900000000423,1,trial
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,0.3665999999996643,1,trial
,,lightblue,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,purple,248917,,vase,English,,2025-04-10,0.6995999999996343,1,trial
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,orange,248917,,vase,English,,2025-04-10,0.2664000000003739,1,trial
2.161699999999257,1,red,66043dadf1618b32183e67cc,Memory,2025-04-10_00h04.36.235,,green,248917,0.8832999999988829,vase,English,,2025-04-10,0.9994000000003211,0,trial
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,green,248917,,vase,English,,2025-04-10,0.7997999999988679,1,trial
,,red,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,green,248917,,vase,English,,2025-04-10,0.34989999999851307,1,trial
,,red,66043dadf1618b32183e67cc,Memory,2025-04-10_00h04.36.235,,green,248917,0.7330999999996379,vase,English,,2025-04-10,0.19969999999926813,1,trial
,,yellow,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,green,248917,,vase,English,,2025-04-10,0.24980000000073233,1,trial
,,red,66043dadf1618b32183e67cc,,2025-04-10_00h04.36.235,,deepblue,248917,,vase,English,,2025-04-10,0.2998000000007437,1,trial
,,yellow,66043dadf1618b32183e67cc,Memory,2025-04-10_00h04.36.235,,deepblue,248917,0.8998999999985244,vase,English,,2025-04-10,0.23209999999966158,1,trial
