random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,deepblue,96158,,flower,English,,2025-04-09,2.9602999999970265,0,train
,,yellow,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,deepblue,96158,,flower,English,,2025-04-09,0.8153999999985118,1,train
,,green,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,deepblue,96158,,flower,English,,2025-04-09,0.6990000000000052,1,train
,,lightblue,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,purple,96158,,flower,English,,2025-04-09,0.5021999999955256,1,train
,,lightblue,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,purple,96158,,flower,English,,2025-04-09,0.4827000000029784,1,train
,,lightblue,6605cd2fc352ad987368723a,Memory,2025-04-09_11h45.33.076,,orange,96158,4.092899999998508,flower,English,,2025-04-09,0.5042000000029816,1,trial
,,yellow,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,green,96158,,flower,English,,2025-04-09,0.8002000000029739,1,trial
,,yellow,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,orange,96158,,flower,English,,2025-04-09,0.7319999999999993,1,trial
,,yellow,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,orange,96158,,flower,English,,2025-04-09,0.3813000000044582,1,trial
,,lightblue,6605cd2fc352ad987368723a,Memory,2025-04-09_11h45.33.076,,green,96158,1.6968000000044725,flower,English,,2025-04-09,0.34880000000447353,1,trial
,,green,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,deepblue,96158,,flower,English,,2025-04-09,0.6830000000000069,1,trial
,,lightblue,6605cd2fc352ad987368723a,,2025-04-09_11h45.33.076,,green,96158,,flower,English,,2025-04-09,0.4943999999985067,1,trial
,,yellow,6605cd2fc352ad987368723a,Memory,2025-04-09_11h45.33.076,,green,96158,1.6476000000014892,flower,English,,2025-04-09,0.598900000005969,1,trial
