random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,12.74459999990463,0,train
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,1.2720000000000056,1,train
,,green,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,1.8865999999046323,1,train
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.8508000001907305,1,train
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,0.7743000001907347,1,train
,,red,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,green,794845,6.195299999713896,vase,English,,2025-04-09,0.686000000000007,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,0.8094999999999999,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,0.6071999998092679,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,0.6181999998092635,1,trial
,,yellow,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,green,794845,2.8062999997139,vase,English,,2025-04-09,0.5840000000000032,1,trial
,,green,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,0.6357000002861071,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.6004000000953766,1,trial
,,lightblue,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,orange,794845,1.4899999999999949,vase,English,,2025-04-09,1.4425999999046297,1,trial
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,0.7863000001907352,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,0.4702999997139017,1,trial
,,green,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,0.593900000095374,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,1.8092999997139003,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.5374999999999943,1,trial
,,green,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,deepblue,794845,1.251499999999993,vase,English,,2025-04-09,0.7568000001907365,1,trial
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,0.6706999998092726,1,trial
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.6459000000953665,1,trial
,,green,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,1.3114000000953752,1,trial
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.5939000000953456,1,trial
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,0.6174999999999784,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.6933000001907317,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,0.5927000002861291,1,trial
1.1126999998092515,1,yellow,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,orange,794845,1.724100000381469,vase,English,,2025-04-09,4.439299999713882,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,0.9055999999046378,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,0.671999999999997,1,trial
,,green,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,deepblue,794845,1.3969999999999914,vase,English,,2025-04-09,0.4564000000953854,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,0.6440000000000055,1,trial
,,green,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,0.6175999999046269,1,trial
,,red,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,deepblue,794845,1.2201999998092674,vase,English,,2025-04-09,0.4579999999999984,1,trial
,,green,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,0.6788000001907335,1,trial
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,0.6066999998092797,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,0.5280999999046401,1,trial
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,0.458200000286098,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,1.1011999998092676,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.5874000000953572,1,trial
,,yellow,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,deepblue,794845,1.0810999999046373,vase,English,,2025-04-09,0.8306999998092692,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,green,794845,,vase,English,,2025-04-09,0.7376999998092799,1,trial
,,lightblue,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,orange,794845,,vase,English,,2025-04-09,0.7339000000953604,1,trial
,,yellow,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,0.5454000000953556,1,trial
,,green,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,,purple,794845,1.0815000000000055,vase,English,,2025-04-09,0.5420000000000016,1,trial
,,green,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.682099999904608,1,trial
,,red,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,purple,794845,,vase,English,,2025-04-09,0.5288999996185169,1,trial
,,green,66060c07a457bb529bbbfd14,,2025-04-09_09h23.54.326,,deepblue,794845,,vase,English,,2025-04-09,0.6889000000953445,1,trial
,,green,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,0,deepblue,794845,1.3968000001907512,flower,English,3.2069999999999936,2025-04-09,1.6172999997139073,1,surprise
,,green,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,1,orange,794845,1.2450000000000045,flower,English,2.5944999999999823,2025-04-09,1.8860999999046442,0,surprise
,,green,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,1,orange,794845,0.8594000000953486,flower,English,1.9294999999999902,2025-04-09,1.048900000095358,1,surprise
,,green,66060c07a457bb529bbbfd14,Memory,2025-04-09_09h23.54.326,1,deepblue,794845,0.9464999999999861,flower,English,1.4960999999046294,2025-04-09,0.8507000002861105,1,surprise
