random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,purple,631062,,flower,English,,2025-04-09,2.90139999999991,0,train
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.6168999999999301,1,train
,,green,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.9497999999998115,1,train
,,green,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,orange,631062,,flower,English,,2025-04-09,0.4919999999999618,1,train
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.5591000000001145,1,train
,,green,6609688e8e4fe9698ab13a66,Memory,2025-04-09_06h36.27.028,,orange,631062,3.546300000000258,flower,English,,2025-04-09,0.9586999999996806,1,trial
,,red,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.6703999999999155,1,trial
,,lightblue,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.8584999999999923,1,trial
,,red,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,purple,631062,,flower,English,,2025-04-09,0.666499999999985,1,trial
,,red,6609688e8e4fe9698ab13a66,Memory,2025-04-09_06h36.27.028,,purple,631062,0.9490000000000123,flower,English,,2025-04-09,0.46630000000027394,1,trial
,,green,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,orange,631062,,flower,English,,2025-04-09,0.6830999999996266,1,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.44239999999990687,1,trial
,,green,6609688e8e4fe9698ab13a66,Memory,2025-04-09_06h36.27.028,,deepblue,631062,0.7324999999999591,flower,English,,2025-04-09,0.6236000000000672,1,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.5680999999996175,1,trial
,,lightblue,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,purple,631062,,flower,English,,2025-04-09,0.6004999999999541,1,trial
,,green,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,purple,631062,,flower,English,,2025-04-09,0.8821000000000936,1,trial
,,lightblue,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.5165999999996416,1,trial
,,lightblue,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.4491999999997347,1,trial
,,yellow,6609688e8e4fe9698ab13a66,Memory,2025-04-09_06h36.27.028,,green,631062,0.7309999999999945,flower,English,,2025-04-09,0.39960000000007767,1,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,orange,631062,,flower,English,,2025-04-09,0.42279999999982465,1,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,orange,631062,,flower,English,,2025-04-09,0.4168999999998846,1,trial
,,green,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,purple,631062,,flower,English,,2025-04-09,0.85289999999992,1,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.5828000000003044,1,trial
,,green,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.8165999999996529,1,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.5230999999996016,1,trial
,,red,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.700199999999711,1,trial
1.7732999999998356,1,green,6609688e8e4fe9698ab13a66,Memory,2025-04-09_06h36.27.028,,deepblue,631062,2.5895999999996775,flower,English,,2025-04-09,3.790999999999997,0,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,orange,631062,,flower,English,,2025-04-09,0.5854999999999677,1,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.4176000000005615,1,trial
,,green,6609688e8e4fe9698ab13a66,Memory,2025-04-09_06h36.27.028,,purple,631062,1.5893999999993866,flower,English,,2025-04-09,0.7710999999996488,1,trial
,,yellow,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.4634999999999536,1,trial
,,red,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.8600000000000136,1,trial
,,yellow,6609688e8e4fe9698ab13a66,Memory,2025-04-09_06h36.27.028,,deepblue,631062,0.9695999999996161,flower,English,,2025-04-09,0.6829999999999927,1,trial
,,red,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.7011999999992895,1,trial
,,green,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,purple,631062,,flower,English,,2025-04-09,0.7734000000003789,1,trial
,,green,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,deepblue,631062,,flower,English,,2025-04-09,0.5433999999993944,1,trial
,,lightblue,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,purple,631062,,flower,English,,2025-04-09,0.5222000000001685,1,trial
,,lightblue,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,orange,631062,,flower,English,,2025-04-09,0.2998000000007437,1,trial
,,red,6609688e8e4fe9698ab13a66,,2025-04-09_06h36.27.028,,green,631062,,flower,English,,2025-04-09,0.6700000000000159,1,trial
