random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,purple,685398,,flower,English,,2025-04-09,2.4890000000000043,1,train
,,red,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,deepblue,685398,,flower,English,,2025-04-09,1.0390000000000015,1,train
,,lightblue,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,purple,685398,,flower,English,,2025-04-09,2.3489999999999966,0,train
,,red,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,purple,685398,,flower,English,,2025-04-09,0.8549999999999969,1,train
,,green,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,purple,685398,,flower,English,,2025-04-09,0.9879999999999995,1,train
,,red,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,purple,685398,,flower,English,,2025-04-09,0.777000000000001,1,train
,,yellow,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,deepblue,685398,,flower,English,,2025-04-09,0.6129999999999995,1,train
,,red,663259adf676257069e1a6e1,Memory,2025-04-09_12h41.22.864,,deepblue,685398,4.154999999999987,flower,English,,2025-04-09,0.8489999999999895,1,trial
,,green,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,purple,685398,,flower,English,,2025-04-09,0.9109999999999872,1,trial
,,red,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,purple,685398,,flower,English,,2025-04-09,0.6829999999999927,1,trial
,,yellow,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,green,685398,,flower,English,,2025-04-09,0.9059999999999917,1,trial
,,lightblue,663259adf676257069e1a6e1,Memory,2025-04-09_12h41.22.864,,green,685398,2.807000000000002,flower,English,,2025-04-09,0.6559999999999917,1,trial
,,green,663259adf676257069e1a6e1,,2025-04-09_12h41.22.864,,orange,685398,,flower,English,,2025-04-09,0.8230000000000075,1,trial
