vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
deepblue,,flower,red,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,41.36980000001192,0,train
orange,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.199199999988082,1,train
deepblue,,flower,red,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.882599999964242,0,train
orange,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.7328000000119204,1,train
deepblue,,flower,yellow,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.33270000004768,1,train
deepblue,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.1660999999642314,1,train
purple,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.4656999999880895,1,train
purple,,flower,green,,English,Other,279242,66350578901ab921d6a60af9,0.6470999999642402,,2025-05-05_08h12.28.608,,2025-05-05,2.3094000000357653,1,trial
orange,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.116500000000002,1,trial
orange,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.5497999999523131,1,trial
green,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.6663000000119439,1,trial
green,,flower,red,,English,Memory,279242,66350578901ab921d6a60af9,7.1815,,2025-05-05_08h12.28.608,,2025-05-05,1.233199999988102,1,trial
deepblue,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.7160000000000082,1,trial
deepblue,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.999400000035763,1,trial
purple,,flower,red,,English,Memory,279242,66350578901ab921d6a60af9,7.815399999976165,,2025-05-05_08h12.28.608,,2025-05-05,1.7658999999761704,1,trial
purple,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,3.9656000000238407,1,trial
orange,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.9495000000000005,1,trial
green,,flower,red,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.0828000000119005,1,trial
green,,flower,red,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.6800999999642272,1,trial
orange,,flower,yellow,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.10290000003576,1,trial
orange,,flower,green,,English,Memory,279242,66350578901ab921d6a60af9,3.282499999999999,,2025-05-05_08h12.28.608,,2025-05-05,1.0159999999999911,1,trial
purple,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.2160000000000082,1,trial
green,,flower,yellow,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.2163000000118984,1,trial
green,,flower,yellow,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.9995000000000118,1,trial
purple,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.1826999999881025,1,trial
deepblue,,flower,red,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.0828000000119005,1,trial
green,,flower,yellow,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,3.3158999999761534,1,trial
green,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.0493000000118968,1,trial
deepblue,1.7958000000119227,flower,yellow,1,English,Guess,279242,66350578901ab921d6a60af9,2.4826999999880854,,2025-05-05_08h12.28.608,,2025-05-05,6.381699999988086,1,trial
orange,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.131800000011907,1,trial
green,,flower,yellow,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.7662000000476894,1,trial
deepblue,,flower,yellow,,English,Memory,279242,66350578901ab921d6a60af9,2.6993999999761513,,2025-05-05_08h12.28.608,,2025-05-05,0.6661999999880663,1,trial
green,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.0162999999523095,1,trial
orange,,flower,yellow,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.315699999988084,1,trial
deepblue,,flower,green,,English,Memory,279242,66350578901ab921d6a60af9,2.479199999988083,,2025-05-05_08h12.28.608,,2025-05-05,1.0195999999642424,1,trial
orange,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.6326000000238423,1,trial
deepblue,,flower,yellow,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.9991999999880647,1,trial
deepblue,,flower,red,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.083500000000015,1,trial
deepblue,,flower,red,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,2.145899999976166,1,trial
purple,,flower,green,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,1.1000000000000227,1,trial
orange,,flower,lightblue,,English,,279242,66350578901ab921d6a60af9,,,2025-05-05_08h12.28.608,,2025-05-05,0.8162000000477292,1,trial
