random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,orange,384113,,vase,English,,2025-04-09,1.7116999999992402,1,train
,,red,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,deepblue,384113,,vase,English,,2025-04-09,0.7163999999985151,1,train
,,green,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,orange,384113,,vase,English,,2025-04-09,0.8021000000014737,1,train
,,lightblue,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,orange,384113,,vase,English,,2025-04-09,0.41530000000074097,1,train
,,red,66688dd4487c6da936ccd3c7,Memory,2025-04-09_15h13.21.857,,green,384113,2.7146999999992545,vase,English,,2025-04-09,0.9604999999999961,1,trial
,,red,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,deepblue,384113,,vase,English,,2025-04-09,0.7005999999977632,1,trial
,,yellow,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,deepblue,384113,,vase,English,,2025-04-09,0.3833000000007587,1,trial
,,green,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,deepblue,384113,,vase,English,,2025-04-09,0.3833000000007303,1,trial
,,yellow,66688dd4487c6da936ccd3c7,Memory,2025-04-09_15h13.21.857,,orange,384113,1.3499000000022363,vase,English,,2025-04-09,0.515199999999254,1,trial
,,green,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,purple,384113,,vase,English,,2025-04-09,0.7332999999970014,1,trial
,,lightblue,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,green,384113,,vase,English,,2025-04-09,0.5346000000014897,1,trial
,,red,66688dd4487c6da936ccd3c7,Memory,2025-04-09_15h13.21.857,,deepblue,384113,1.582799999997036,vase,English,,2025-04-09,0.5663999999985094,1,trial
,,green,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,purple,384113,,vase,English,,2025-04-09,0.4153999999985274,1,trial
,,lightblue,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,orange,384113,,vase,English,,2025-04-09,0.8816999999992561,1,trial
,,lightblue,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,green,384113,,vase,English,,2025-04-09,0.6333000000007303,1,trial
,,lightblue,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,purple,384113,,vase,English,,2025-04-09,0.7828999999985058,1,trial
,,lightblue,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,purple,384113,,vase,English,,2025-04-09,0.3499000000022363,1,trial
,,yellow,66688dd4487c6da936ccd3c7,Memory,2025-04-09_15h13.21.857,,deepblue,384113,1.416400000002227,vase,English,,2025-04-09,0.6330000000000098,1,trial
,,yellow,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,orange,384113,,vase,English,,2025-04-09,0.41499999999999204,1,trial
,,red,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,green,384113,,vase,English,,2025-04-09,0.6990000000000123,1,trial
,,yellow,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,green,384113,,vase,English,,2025-04-09,0.33199999999999363,1,trial
,,red,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,green,384113,,vase,English,,2025-04-09,0.36640000000224404,1,trial
,,green,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,purple,384113,,vase,English,,2025-04-09,0.4825000000000159,1,trial
,,lightblue,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,orange,384113,,vase,English,,2025-04-09,0.3327999999970359,1,trial
,,green,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,purple,384113,,vase,English,,2025-04-09,0.4326999999992722,1,trial
1.3670999999977482,1,green,66688dd4487c6da936ccd3c7,Guess,2025-04-09_15h13.21.857,,deepblue,384113,5.198400000002209,vase,English,,2025-04-09,1.3500999999977523,0,trial
,,yellow,66688dd4487c6da936ccd3c7,,2025-04-09_15h13.21.857,,green,384113,,vase,English,,2025-04-09,0.8163000000007514,1,trial
