vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.6066000000238603,1,train
orange,,flower,yellow,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.5323999999761497,1,train
deepblue,,flower,yellow,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.0188000000715078,1,train
purple,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.031099999904626,1,train
orange,,flower,yellow,,English,Memory,477232,666d97ca3efe7fbd33436995,7.263499999999993,,2025-05-05_12h05.50.004,,2025-05-05,0.8234999999999957,1,trial
purple,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.0655999999046344,1,trial
orange,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.7680000000000007,1,trial
green,,flower,yellow,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.7261999999284683,1,trial
orange,,flower,lightblue,,English,Memory,477232,666d97ca3efe7fbd33436995,1.3656000000238464,,2025-05-05_12h05.50.004,,2025-05-05,0.8666999999284712,1,trial
deepblue,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.699199999928453,1,trial
purple,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.9314999999999998,1,trial
green,,flower,lightblue,,English,Memory,477232,666d97ca3efe7fbd33436995,1.2333999999761716,,2025-05-05_12h05.50.004,,2025-05-05,0.731700000047681,1,trial
green,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.9646999999284844,1,trial
deepblue,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.0999999999999943,1,trial
green,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.7997999999523131,1,trial
deepblue,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.0328999999761663,1,trial
orange,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.3658999999761363,1,trial
deepblue,,flower,red,,English,Memory,477232,666d97ca3efe7fbd33436995,1.500300000071519,,2025-05-05_12h05.50.004,,2025-05-05,1.3662000000476837,1,trial
purple,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.3668999999761695,1,trial
deepblue,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.0989000000953695,1,trial
green,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.9989000000953752,1,trial
deepblue,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.9660999999046282,1,trial
deepblue,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,2.7660000000000196,1,trial
orange,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.0660000000000025,1,trial
green,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.9306999999284642,1,trial
deepblue,1.477499999999992,flower,yellow,1,English,Guess,477232,666d97ca3efe7fbd33436995,2.7998999999761622,,2025-05-05_12h05.50.004,,2025-05-05,4.4650999999046235,1,trial
green,,flower,yellow,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.7652999999523047,1,trial
purple,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.9997000000476817,1,trial
deepblue,,flower,yellow,,English,Memory,477232,666d97ca3efe7fbd33436995,1.6316999999284576,,2025-05-05_12h05.50.004,,2025-05-05,0.8675999999046553,1,trial
purple,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.9662999999523549,1,trial
purple,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.8657000000476387,1,trial
orange,,flower,green,,English,Memory,477232,666d97ca3efe7fbd33436995,1.2335999999046408,,2025-05-05_12h05.50.004,,2025-05-05,0.8663000000715328,1,trial
deepblue,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.2667999999522976,1,trial
purple,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.799699999928464,1,trial
orange,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.5663000000715215,1,trial
green,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.6993999999761513,1,trial
green,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.5768999999762059,1,trial
orange,,flower,yellow,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.6322000000476464,1,trial
deepblue,,flower,yellow,,English,Memory,477232,666d97ca3efe7fbd33436995,0.9995000000000118,,2025-05-05_12h05.50.004,,2025-05-05,0.5317000000476355,1,trial
orange,,flower,yellow,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.6967000000477128,1,trial
purple,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.1655000000000086,1,trial
orange,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.7637000000477201,1,trial
green,,flower,lightblue,,English,Memory,477232,666d97ca3efe7fbd33436995,0.9991000000238159,,2025-05-05_12h05.50.004,,2025-05-05,0.5321000000238314,1,trial
purple,,flower,lightblue,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.6966000000238637,1,trial
purple,,flower,red,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,0.8000000000000114,1,trial
purple,,flower,green,,English,,477232,666d97ca3efe7fbd33436995,,,2025-05-05_12h05.50.004,,2025-05-05,1.0670000000000073,1,trial
orange,,vase,green,,English,Guess,477232,666d97ca3efe7fbd33436995,8.131700000047715,1.9982000000476887,2025-05-05_12h05.50.004,0,2025-05-05,3.160799999952303,1,surprise
orange,,vase,lightblue,,English,Guess,477232,666d97ca3efe7fbd33436995,3.2318999999761786,4.633999999999958,2025-05-05_12h05.50.004,1,2025-05-05,4.531399999976145,0,surprise
green,,vase,lightblue,,English,Memory,477232,666d97ca3efe7fbd33436995,4.998299999952337,2.0655999999046344,2025-05-05_12h05.50.004,1,2025-05-05,5.86679999995232,0,surprise
green,,vase,lightblue,,English,Memory,477232,666d97ca3efe7fbd33436995,1.0994999999999777,2.2327999999523627,2025-05-05_12h05.50.004,1,2025-05-05,1.3991000000237932,1,surprise
