vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,2.2652999997138963,1,train
orange,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.416400000095365,1,train
deepblue,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,2.6655999999046287,0,train
purple,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.068400000095366,1,train
orange,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,0.5207999997138941,1,train
orange,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.1607000002860985,1,train
orange,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.166000000000004,1,train
orange,,flower,green,,English,Memory,666046,66704327b46c7665de1190bc,5.7953000001907355,,2025-05-05_10h01.32.513,,2025-05-05,1.7261999998092534,1,trial
orange,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,0.8990000000000009,1,trial
orange,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.3318000001907393,1,trial
green,,flower,red,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,2.066599999904639,1,trial
purple,,flower,green,,English,Memory,666046,66704327b46c7665de1190bc,6.6995000000000005,,2025-05-05_10h01.32.513,,2025-05-05,1.7321999998092679,1,trial
deepblue,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.231199999809263,1,trial
deepblue,,flower,red,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.3665999999046363,1,trial
deepblue,,flower,green,,English,Memory,666046,66704327b46c7665de1190bc,3.598800000190735,,2025-05-05_10h01.32.513,,2025-05-05,1.1333000001907294,1,trial
purple,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.2652000002861001,1,trial
deepblue,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,0.9658000001907254,1,trial
purple,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.0346000003814595,1,trial
green,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,0.9991000003814747,1,trial
green,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.1332000002861093,1,trial
green,,flower,red,,English,Memory,666046,66704327b46c7665de1190bc,2.732799999713876,,2025-05-05_10h01.32.513,,2025-05-05,1.3321999998092622,1,trial
purple,,flower,red,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.7665000000000077,1,trial
orange,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.5335999999046237,1,trial
green,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.4626999998092742,1,trial
deepblue,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.1655999999046287,1,trial
green,,flower,red,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.565900000095354,1,trial
purple,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.0337000002861032,1,trial
deepblue,,flower,red,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.13319999980925,1,trial
orange,4.477800000190712,flower,yellow,0,English,Memory,666046,66704327b46c7665de1190bc,2.5998999996185432,,2025-05-05_10h01.32.513,,2025-05-05,8.198599999904616,0,trial
purple,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.566099999904651,1,trial
purple,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.1325999999046417,1,trial
deepblue,,flower,red,,English,Memory,666046,66704327b46c7665de1190bc,3.499300000190715,,2025-05-05_10h01.32.513,,2025-05-05,1.8658000001907453,1,trial
orange,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.265400000095383,1,trial
purple,,flower,red,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.3985000000000127,1,trial
deepblue,,flower,yellow,,English,Memory,666046,66704327b46c7665de1190bc,2.4659000000953597,,2025-05-05_10h01.32.513,,2025-05-05,1.2665000000000077,1,trial
orange,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.2323999996185364,1,trial
green,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,0.9660000000000082,1,trial
green,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,0.7651999998092549,1,trial
orange,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.0991999998092865,1,trial
green,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.2009000000953733,1,trial
orange,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.1654999999999802,1,trial
purple,,flower,red,,English,Memory,666046,66704327b46c7665de1190bc,2.3984999999999843,,2025-05-05_10h01.32.513,,2025-05-05,1.5675999999046155,1,trial
deepblue,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.4332999997138813,1,trial
green,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.7664000000953592,1,trial
orange,,flower,yellow,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,0.9321000003814675,1,trial
purple,,flower,red,,English,Memory,666046,66704327b46c7665de1190bc,5.333599999904635,,2025-05-05_10h01.32.513,,2025-05-05,1.3320999999046421,1,trial
orange,,flower,lightblue,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.2994000000953747,1,trial
purple,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,1.2001000003814966,1,trial
orange,,flower,green,,English,,666046,66704327b46c7665de1190bc,,,2025-05-05_10h01.32.513,,2025-05-05,0.7331000003814552,1,trial
green,,vase,lightblue,,English,Guess,666046,66704327b46c7665de1190bc,3.162699999809263,9.498300000190739,2025-05-05_10h01.32.513,0,2025-05-05,2.7297000002860727,1,surprise
green,,vase,red,,English,Memory,666046,66704327b46c7665de1190bc,3.0991000003814975,3.732199999809268,2025-05-05_10h01.32.513,1,2025-05-05,2.1667999997138736,1,surprise
purple,,vase,green,,English,Memory,666046,66704327b46c7665de1190bc,4.932599999904653,2.0989999999999895,2025-05-05_10h01.32.513,1,2025-05-05,2.1334999999999695,1,surprise
green,,vase,lightblue,,English,Memory,666046,66704327b46c7665de1190bc,1.9990999999046153,2.365900000095337,2025-05-05_10h01.32.513,1,2025-05-05,1.8336999998092551,1,surprise
