random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,1.1150999999996287,1,train
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.616500000000002,0,train
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.600100000000559,1,train
,,red,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.4662999999998121,1,train
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.4332000000001841,1,train
,,red,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.6832999999998179,1,train
,,red,6671edc981275d15833aa93e,Other,2025-04-09_09h57.36.054,,deepblue,254268,4.049300000000748,flower,English,,2025-04-09,0.4654999999999987,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.6498999999994481,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.46649999999999636,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.6330999999996294,1,trial
,,red,6671edc981275d15833aa93e,Other,2025-04-09_09h57.36.054,,green,254268,2.2165000000000106,flower,English,,2025-04-09,0.2666000000005653,1,trial
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.4498999999994311,1,trial
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.2831999999992547,1,trial
,,red,6671edc981275d15833aa93e,Other,2025-04-09_09h57.36.054,,purple,254268,5.183000000000007,flower,English,,2025-04-09,0.4164999999999992,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.5164000000003739,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.21650000000001057,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.44970000000019184,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.4666000000005681,1,trial
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,green,254268,,flower,English,,2025-04-09,0.5831000000005702,1,trial
,,green,6671edc981275d15833aa93e,Other,2025-04-09_09h57.36.054,,deepblue,254268,0.9832000000001955,flower,English,,2025-04-09,0.36630000000073437,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.2830999999996351,1,trial
,,red,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,green,254268,,flower,English,,2025-04-09,0.33310000000055595,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.3997999999998143,1,trial
,,red,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.23319999999925756,1,trial
,,red,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.19979999999981146,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.2998000000007437,1,trial
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.46649999999999636,1,trial
1.4790000000000134,1,red,6671edc981275d15833aa93e,Guess,2025-04-09_09h57.36.054,,green,254268,2.6997999999998115,flower,English,,2025-04-09,5.532699999999281,0,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.5498999999994396,1,trial
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.3997999999998285,1,trial
,,yellow,6671edc981275d15833aa93e,Other,2025-04-09_09h57.36.054,,deepblue,254268,1.4165999999996188,flower,English,,2025-04-09,0.26659999999961315,1,trial
,,red,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.23320000000018126,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.2497999999997944,1,trial
,,red,6671edc981275d15833aa93e,Other,2025-04-09_09h57.36.054,,purple,254268,1.4997999999998228,flower,English,,2025-04-09,0.34980000000075506,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.5995999999996116,1,trial
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,green,254268,,flower,English,,2025-04-09,0.31660000000056243,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.8332000000001756,1,trial
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,purple,254268,,flower,English,,2025-04-09,0.4165000000000134,1,trial
,,red,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.4499000000003548,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,green,254268,,flower,English,,2025-04-09,0.49979999999982283,1,trial
,,yellow,6671edc981275d15833aa93e,Other,2025-04-09_09h57.36.054,,deepblue,254268,1.4665999999996302,flower,English,,2025-04-09,0.19979999999981146,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,green,254268,,flower,English,,2025-04-09,0.6497999999998285,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.5498999999994396,1,trial
,,green,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.41659999999964725,1,trial
,,yellow,6671edc981275d15833aa93e,Memory,2025-04-09_09h57.36.054,,green,254268,0.5664999999999907,flower,English,,2025-04-09,0.28300000000001546,1,trial
,,yellow,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,green,254268,,flower,English,,2025-04-09,0.21649999999999636,1,trial
,,lightblue,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,orange,254268,,flower,English,,2025-04-09,0.43329999999980373,1,trial
,,red,6671edc981275d15833aa93e,,2025-04-09_09h57.36.054,,deepblue,254268,,flower,English,,2025-04-09,0.13320000000018695,1,trial
