random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,1.066299999997021,1,train
,,red,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,0.9170999999940399,1,train
,,yellow,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,0.8168999999985118,1,train
,,red,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,deepblue,261930,,flower,English,,2025-04-09,0.8171000000014885,1,train
,,green,6674bf04d593c88a632cb180,Other,2025-04-09_18h11.35.104,,purple,261930,2.634699999995533,flower,English,,2025-04-09,0.7822999999970222,1,trial
,,lightblue,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,0.7169999999999987,1,trial
,,green,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,deepblue,261930,,flower,English,,2025-04-09,1.9181000000014876,1,trial
,,red,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,0.750399999998514,1,trial
,,yellow,6674bf04d593c88a632cb180,Memory,2025-04-09_18h11.35.104,,deepblue,261930,1.0507000000029763,flower,English,,2025-04-09,1.1003999999985155,1,trial
,,lightblue,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,orange,261930,,flower,English,,2025-04-09,0.7166000000014918,1,trial
,,yellow,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,0.7837000000029803,1,trial
,,red,6674bf04d593c88a632cb180,Memory,2025-04-09_18h11.35.104,,green,261930,1.4676000000014824,flower,English,,2025-04-09,0.8174000000059678,1,trial
,,red,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,deepblue,261930,,flower,English,,2025-04-09,0.8003000000044693,1,trial
,,yellow,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,0.5501000000014926,1,trial
,,lightblue,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,0.6172000000029811,1,trial
,,green,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,deepblue,261930,,flower,English,,2025-04-09,0.6670000000000016,1,trial
,,green,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,purple,261930,,flower,English,,2025-04-09,0.6336000000014934,1,trial
,,green,6674bf04d593c88a632cb180,Memory,2025-04-09_18h11.35.104,,deepblue,261930,1.2674999999999983,flower,English,,2025-04-09,0.4666000000014918,1,trial
,,yellow,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,orange,261930,,flower,English,,2025-04-09,0.6335999999940327,1,trial
,,red,6674bf04d593c88a632cb180,,2025-04-09_18h11.35.104,,green,261930,,flower,English,,2025-04-09,0.7172999999970102,1,trial
