random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,deepblue,641581,,vase,English,,2025-04-09,1.1305999999996175,1,train
,,green,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,orange,641581,,vase,English,,2025-04-09,1.9862999999988347,1,train
,,red,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,green,641581,,vase,English,,2025-04-09,1.4099000000003343,1,train
,,lightblue,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,green,641581,,vase,English,,2025-04-09,0.9794000000003393,1,train
,,green,667973c17619c2294d71d1ff,Memory,2025-04-09_11h14.53.322,,deepblue,641581,3.9306000000015047,vase,English,,2025-04-09,0.630800000000761,1,trial
,,green,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,purple,641581,,vase,English,,2025-04-09,0.5069000000003712,1,trial
,,lightblue,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,orange,641581,,vase,English,,2025-04-09,0.6874000000003662,1,trial
,,green,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,orange,641581,,vase,English,,2025-04-09,1.8198000000007255,1,trial
,,red,667973c17619c2294d71d1ff,Memory,2025-04-09_11h14.53.322,,green,641581,4.903699999999276,vase,English,,2025-04-09,0.4790999999996757,1,trial
,,yellow,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,deepblue,641581,,vase,English,,2025-04-09,0.6248999999984903,1,trial
,,green,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,purple,641581,,vase,English,,2025-04-09,0.5901999999992427,1,trial
,,green,667973c17619c2294d71d1ff,Memory,2025-04-09_11h14.53.322,,deepblue,641581,2.681099999999617,vase,English,,2025-04-09,0.6318000000007373,1,trial
,,green,667973c17619c2294d71d1ff,,2025-04-09_11h14.53.322,,purple,641581,,vase,English,,2025-04-09,0.5485999999996238,1,trial
