random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,deepblue,8443,,vase,English,,2025-04-09,0.7660000000000053,1,train
,,lightblue,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,green,8443,,vase,English,,2025-04-09,1.0,1,train
,,green,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,orange,8443,,vase,English,,2025-04-09,0.6000000000000085,1,train
,,green,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,purple,8443,,vase,English,,2025-04-09,0.4819999999999993,1,train
,,yellow,667c3807e41cac1451ecf0e9,Memory,2025-04-09_21h59.49.707,,green,8443,2.864999999999995,vase,English,,2025-04-09,1.0279999999999916,1,trial
,,green,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,purple,8443,,vase,English,,2025-04-09,0.6159999999999997,1,trial
,,green,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,deepblue,8443,,vase,English,,2025-04-09,1.0499999999999972,1,trial
,,yellow,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,deepblue,8443,,vase,English,,2025-04-09,0.5160000000000053,1,trial
,,green,667c3807e41cac1451ecf0e9,Memory,2025-04-09_21h59.49.707,,orange,8443,1.5830000000000126,vase,English,,2025-04-09,0.6989999999999981,1,trial
,,red,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,purple,8443,,vase,English,,2025-04-09,0.5169999999999959,1,trial
,,green,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,orange,8443,,vase,English,,2025-04-09,0.4830000000000041,1,trial
,,lightblue,667c3807e41cac1451ecf0e9,Memory,2025-04-09_21h59.49.707,,orange,8443,1.1329999999999956,vase,English,,2025-04-09,0.3509999999999991,1,trial
,,red,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,purple,8443,,vase,English,,2025-04-09,0.4819999999999993,1,trial
,,yellow,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,green,8443,,vase,English,,2025-04-09,0.45000000000000284,1,trial
,,green,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,purple,8443,,vase,English,,2025-04-09,0.4509999999999934,1,trial
,,lightblue,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,purple,8443,,vase,English,,2025-04-09,0.2820000000000107,1,trial
,,lightblue,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,purple,8443,,vase,English,,2025-04-09,0.2819999999999965,1,trial
,,red,667c3807e41cac1451ecf0e9,Memory,2025-04-09_21h59.49.707,,deepblue,8443,0.9330000000000069,vase,English,,2025-04-09,0.8659999999999997,1,trial
,,yellow,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,orange,8443,,vase,English,,2025-04-09,0.9830000000000041,1,trial
,,red,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,deepblue,8443,,vase,English,,2025-04-09,0.7660000000000053,1,trial
,,lightblue,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,orange,8443,,vase,English,,2025-04-09,0.5249999999999915,1,trial
,,yellow,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,orange,8443,,vase,English,,2025-04-09,0.382000000000005,1,trial
,,yellow,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,green,8443,,vase,English,,2025-04-09,0.6159999999999997,1,trial
,,red,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,deepblue,8443,,vase,English,,2025-04-09,0.6340000000000003,1,trial
,,green,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,orange,8443,,vase,English,,2025-04-09,0.8160000000000025,1,trial
1.0730000000000075,1,lightblue,667c3807e41cac1451ecf0e9,Guess,2025-04-09_21h59.49.707,,orange,8443,1.681999999999988,vase,English,,2025-04-09,1.9159999999999968,1,trial
,,red,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,green,8443,,vase,English,,2025-04-09,0.7830000000000155,1,trial
,,lightblue,667c3807e41cac1451ecf0e9,,2025-04-09_21h59.49.707,,purple,8443,,vase,English,,2025-04-09,0.664999999999992,1,trial
,,green,667c3807e41cac1451ecf0e9,Memory,2025-04-09_21h59.49.707,,deepblue,8443,1.0170000000000243,vase,English,,2025-04-09,0.3819999999999766,1,trial
