random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,purple,704216,,flower,English,,2025-04-09,1.9965999999940394,1,train
,,yellow,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,orange,704216,,flower,English,,2025-04-09,0.48309999999403885,1,train
,,red,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,deepblue,704216,,flower,English,,2025-04-09,0.5494999999999948,1,train
,,green,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,orange,704216,,flower,English,,2025-04-09,0.7176999999880778,1,train
,,yellow,6694154a46060b3c49b2d6fd,Memory,2025-04-09_08h46.27.255,,deepblue,704216,2.76609999999404,flower,English,,2025-04-09,0.4981999999880742,1,trial
,,yellow,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,green,704216,,flower,English,,2025-04-09,0.41540000000595967,1,trial
,,yellow,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,orange,704216,,flower,English,,2025-04-09,0.5655000000000001,1,trial
,,green,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,orange,704216,,flower,English,,2025-04-09,0.6658000000119273,1,trial
,,green,6694154a46060b3c49b2d6fd,Memory,2025-04-09_08h46.27.255,,orange,704216,1.8497999999821104,flower,English,,2025-04-09,0.5325999999940336,1,trial
,,lightblue,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,green,704216,,flower,English,,2025-04-09,0.38280000001192604,1,trial
,,red,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,deepblue,704216,,flower,English,,2025-04-09,1.1324000000059584,1,trial
,,yellow,6694154a46060b3c49b2d6fd,Memory,2025-04-09_08h46.27.255,,deepblue,704216,1.7665999999940425,flower,English,,2025-04-09,0.43369999998807884,1,trial
,,lightblue,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,purple,704216,,flower,English,,2025-04-09,0.4825000000000017,1,trial
,,green,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,orange,704216,,flower,English,,2025-04-09,0.9664000000059616,1,trial
,,red,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,deepblue,704216,,flower,English,,2025-04-09,0.7824000000059641,1,trial
,,red,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,green,704216,,flower,English,,2025-04-09,0.3827999999821259,1,trial
,,green,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,purple,704216,,flower,English,,2025-04-09,0.4661000000238431,1,trial
,,lightblue,6694154a46060b3c49b2d6fd,Memory,2025-04-09_08h46.27.255,,orange,704216,1.7165999999940453,flower,English,,2025-04-09,0.4325999999940393,1,trial
,,yellow,6694154a46060b3c49b2d6fd,,2025-04-09_08h46.27.255,,green,704216,,flower,English,,2025-04-09,0.4333000000119114,1,trial
