vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.5252000000476897,1,train
purple,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.058000000000007,1,train
purple,,vase,red,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.2890000000000015,1,train
orange,,vase,yellow,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.4834999999999923,1,train
purple,,vase,lightblue,,English,Memory,42319,669c1e1fdb95a995eb1d3077,7.528699999928463,,2025-05-05_10h45.01.321,,2025-05-05,0.9083999999761545,1,trial
orange,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.2477000000477005,1,trial
green,,vase,yellow,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.8894000000954065,1,trial
orange,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.5162999999523095,1,trial
purple,,vase,red,,English,Memory,42319,669c1e1fdb95a995eb1d3077,2.8767999999523113,,2025-05-05_10h45.01.321,,2025-05-05,1.121499999999969,1,trial
green,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.7337000000476905,1,trial
deepblue,,vase,green,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.066500000000019,1,trial
deepblue,,vase,yellow,,English,Memory,42319,669c1e1fdb95a995eb1d3077,1.7816000000238432,,2025-05-05_10h45.01.321,,2025-05-05,0.8171999999285049,1,trial
purple,,vase,green,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.7673000000715433,1,trial
purple,,vase,red,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.6165000000000305,1,trial
green,,vase,red,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.8821000000238541,1,trial
green,,vase,red,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.7344999999999686,1,trial
purple,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.8647999999523108,1,trial
green,,vase,lightblue,,English,Memory,42319,669c1e1fdb95a995eb1d3077,4.475200000047664,,2025-05-05_10h45.01.321,,2025-05-05,0.8662000000476837,1,trial
orange,,vase,green,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.3153999999761368,1,trial
green,,vase,red,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.0096000000238519,1,trial
deepblue,,vase,green,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.8671000000238678,1,trial
orange,,vase,yellow,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.8165000000000191,1,trial
green,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.9988999999761177,1,trial
orange,,vase,yellow,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.065899999976125,1,trial
purple,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.6327999999522831,1,trial
purple,2.9601000000238287,vase,red,1,English,Memory,42319,669c1e1fdb95a995eb1d3077,1.4323999999761554,,2025-05-05_10h45.01.321,,2025-05-05,3.5916000000238455,1,trial
green,,vase,yellow,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.7008999999761159,1,trial
orange,,vase,yellow,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,1.5994999999999777,1,trial
deepblue,,vase,yellow,,English,Memory,42319,669c1e1fdb95a995eb1d3077,1.8664999999999736,,2025-05-05_10h45.01.321,,2025-05-05,0.9495000000000005,1,trial
purple,,vase,lightblue,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.5826999999284794,1,trial
deepblue,,vase,green,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.8658000000715447,1,trial
purple,,vase,green,,English,Memory,42319,669c1e1fdb95a995eb1d3077,1.749600000023861,,2025-05-05_10h45.01.321,,2025-05-05,0.6430000000000291,1,trial
green,,vase,red,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.8248000000715479,1,trial
green,,vase,yellow,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.3996000000238382,1,trial
orange,,vase,yellow,,English,,42319,669c1e1fdb95a995eb1d3077,,,2025-05-05_10h45.01.321,,2025-05-05,0.9834999999999923,1,trial
