random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,1.1794000000953702,0,train
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,purple,730484,,flower,English,,2025-04-09,0.5826000001430884,1,train
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,0.7184000000953574,1,train
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,0.54950000000008,1,train
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.5834000000953665,1,train
,,lightblue,66a0fe06e4fd5321960d672c,Memory,2025-04-09_10h31.45.215,,purple,730484,3.2462999999523845,flower,English,,2025-04-09,0.4772000000476737,1,trial
,,red,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,0.8645000000000209,1,trial
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,0.6179000000954602,1,trial
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.3664999999999736,1,trial
,,red,66a0fe06e4fd5321960d672c,Memory,2025-04-09_10h31.45.215,,deepblue,730484,1.0620000000000118,flower,English,,2025-04-09,0.6701000001430657,1,trial
,,red,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,0.7875999999047281,1,trial
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.5156999998092715,1,trial
,,green,66a0fe06e4fd5321960d672c,Memory,2025-04-09_10h31.45.215,,orange,730484,1.1485999999046044,flower,English,,2025-04-09,0.8832000000477365,1,trial
,,red,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.932200000047601,1,trial
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,orange,730484,,flower,English,,2025-04-09,0.5990999999045243,1,trial
,,green,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,orange,730484,,flower,English,,2025-04-09,0.6162999999522754,1,trial
,,green,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,purple,730484,,flower,English,,2025-04-09,0.31520000004775284,1,trial
,,green,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,0.38260000014304296,1,trial
,,green,66a0fe06e4fd5321960d672c,Memory,2025-04-09_10h31.45.215,,orange,730484,1.5494000000953747,flower,English,,2025-04-09,0.40020000004767553,1,trial
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.6004000000954193,1,trial
,,red,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,purple,730484,,flower,English,,2025-04-09,2.8650999999046007,1,trial
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,2.7988999998569852,0,trial
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.3984000000953074,1,trial
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,orange,730484,,flower,English,,2025-04-09,0.3494999999999209,1,trial
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,0.7669999999999391,1,trial
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.6321000001430548,1,trial
2.08270000004768,1,green,66a0fe06e4fd5321960d672c,Memory,2025-04-09_10h31.45.215,,purple,730484,1.131300000190663,flower,English,,2025-04-09,1.765899999856856,0,trial
,,yellow,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,deepblue,730484,,flower,English,,2025-04-09,0.5512000000476291,1,trial
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,purple,730484,,flower,English,,2025-04-09,0.40000000000009095,1,trial
,,green,66a0fe06e4fd5321960d672c,Memory,2025-04-09_10h31.45.215,,deepblue,730484,1.2941000001430893,flower,English,,2025-04-09,0.4985999999046271,1,trial
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,purple,730484,,flower,English,,2025-04-09,0.7329000000953556,1,trial
,,lightblue,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.34629999995229355,1,trial
,,red,66a0fe06e4fd5321960d672c,Memory,2025-04-09_10h31.45.215,,green,730484,1.1329000000953329,flower,English,,2025-04-09,0.7336000001431557,1,trial
,,red,66a0fe06e4fd5321960d672c,,2025-04-09_10h31.45.215,,green,730484,,flower,English,,2025-04-09,0.4821000001430775,1,trial
