vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
green,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.8989999999999991,1,train
orange,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,1.3490000000000002,1,train
deepblue,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.40000000000000036,1,train
orange,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,1.115999999999996,1,train
green,,vase,lightblue,,English,Memory,681125,66adf5884ffe50b710e7ba89,2.0829999999999984,,2025-05-05_11h57.14.289,,2025-05-05,0.7259999999999991,1,trial
orange,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.583000000000002,1,trial
green,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.8490000000000002,1,trial
orange,,vase,lightblue,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.4660000000000011,1,trial
purple,,vase,lightblue,,English,Memory,681125,66adf5884ffe50b710e7ba89,1.149000000000001,,2025-05-05_11h57.14.289,,2025-05-05,0.5330000000000013,1,trial
deepblue,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.46699999999999875,1,trial
deepblue,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.2839999999999989,1,trial
purple,,vase,red,,English,Memory,681125,66adf5884ffe50b710e7ba89,0.882000000000005,,2025-05-05_11h57.14.289,,2025-05-05,0.5159999999999982,1,trial
orange,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.4159999999999968,1,trial
deepblue,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.2680000000000007,1,trial
deepblue,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.2980000000000018,1,trial
purple,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.3330000000000055,1,trial
purple,,vase,lightblue,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.26599999999999824,1,trial
deepblue,,vase,green,,English,Memory,681125,66adf5884ffe50b710e7ba89,1.9170000000000016,,2025-05-05_11h57.14.289,,2025-05-05,0.26599999999999824,1,trial
purple,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.49900000000000233,1,trial
orange,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.44899999999999807,1,trial
purple,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.2989999999999924,1,trial
purple,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.21600000000000819,1,trial
orange,,vase,lightblue,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.5339999999999918,1,trial
green,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.4660000000000082,1,trial
deepblue,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.532999999999987,1,trial
green,1.5319999999999965,vase,lightblue,1,English,Intuition,681125,66adf5884ffe50b710e7ba89,0.9019999999999868,,2025-05-05_11h57.14.289,,2025-05-05,2.7820000000000107,1,trial
green,,vase,lightblue,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.664999999999992,1,trial
orange,,vase,lightblue,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.43300000000000693,1,trial
orange,,vase,green,,English,Memory,681125,66adf5884ffe50b710e7ba89,1.1329999999999956,,2025-05-05_11h57.14.289,,2025-05-05,0.29999999999999716,1,trial
green,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.34899999999998954,1,trial
green,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.34900000000000375,1,trial
orange,,vase,lightblue,,English,Memory,681125,66adf5884ffe50b710e7ba89,1.032999999999987,,2025-05-05_11h57.14.289,,2025-05-05,0.36700000000000443,1,trial
green,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.3500000000000085,1,trial
green,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.2819999999999965,1,trial
purple,,vase,red,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.6310000000000002,1,trial
deepblue,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.4829999999999899,1,trial
orange,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.9989999999999952,1,trial
green,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.4660000000000082,1,trial
deepblue,,vase,yellow,,English,Memory,681125,66adf5884ffe50b710e7ba89,1.0690000000000026,,2025-05-05_11h57.14.289,,2025-05-05,0.2989999999999924,1,trial
orange,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.34899999999998954,1,trial
purple,,vase,lightblue,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.26600000000000534,1,trial
purple,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.24899999999999523,1,trial
purple,,vase,green,,English,Memory,681125,66adf5884ffe50b710e7ba89,0.9519999999999982,,2025-05-05_11h57.14.289,,2025-05-05,0.18299999999999272,1,trial
orange,,vase,green,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.5359999999999729,1,trial
orange,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.5,1,trial
green,,vase,yellow,,English,,681125,66adf5884ffe50b710e7ba89,,,2025-05-05_11h57.14.289,,2025-05-05,0.5829999999999984,1,trial
orange,,flower,lightblue,,English,Guess,681125,66adf5884ffe50b710e7ba89,3.712999999999994,0.3160000000000025,2025-05-05_11h57.14.289,0,2025-05-05,0.1629999999999825,1,surprise
purple,,flower,lightblue,,English,Memory,681125,66adf5884ffe50b710e7ba89,1.399000000000001,2.001999999999981,2025-05-05_11h57.14.289,1,2025-05-05,1.9800000000000182,0,surprise
purple,,flower,green,,English,Memory,681125,66adf5884ffe50b710e7ba89,1.4660000000000082,2.1170000000000186,2025-05-05_11h57.14.289,1,2025-05-05,1.964999999999975,0,surprise
orange,,flower,lightblue,,English,Memory,681125,66adf5884ffe50b710e7ba89,0.7160000000000082,0.9000000000000057,2025-05-05_11h57.14.289,1,2025-05-05,0.7660000000000196,1,surprise
