random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,deepblue,534526,,flower,English,,2025-04-09,1.3294999999999995,1,train
,,lightblue,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.7171000000238408,1,train
,,green,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,purple,534526,,flower,English,,2025-04-09,0.6661999999880805,1,train
,,yellow,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,deepblue,534526,,flower,English,,2025-04-09,0.8327999999821216,1,train
,,red,66af819442fc10bb088169f4,Memory,2025-04-09_10h09.03.766,,deepblue,534526,4.499199999988079,flower,English,,2025-04-09,0.6310000000000002,1,trial
,,red,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,purple,534526,,flower,English,,2025-04-09,0.7674000000059635,1,trial
,,red,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.6154000000059554,1,trial
,,green,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,purple,534526,,flower,English,,2025-04-09,0.565599999994042,1,trial
,,lightblue,66af819442fc10bb088169f4,Memory,2025-04-09_10h09.03.766,,purple,534526,1.2507000000178792,flower,English,,2025-04-09,0.6164000000059602,1,trial
,,yellow,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,deepblue,534526,,flower,English,,2025-04-09,0.4491999999880747,1,trial
,,yellow,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.4174000000059763,1,trial
,,yellow,66af819442fc10bb088169f4,Memory,2025-04-09_10h09.03.766,,deepblue,534526,2.1830999999940417,flower,English,,2025-04-09,0.6332999999821141,1,trial
,,lightblue,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.75,1,trial
,,yellow,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.44969999998807,1,trial
,,lightblue,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.41640000000596444,1,trial
,,lightblue,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,orange,534526,,flower,English,,2025-04-09,0.3997999999821218,1,trial
,,green,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,purple,534526,,flower,English,,2025-04-09,0.7335999999940412,1,trial
,,red,66af819442fc10bb088169f4,Memory,2025-04-09_10h09.03.766,,green,534526,2.349599999994041,flower,English,,2025-04-09,0.5496000000238439,1,trial
,,yellow,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,orange,534526,,flower,English,,2025-04-09,0.4503999999761703,1,trial
,,lightblue,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.5003999999761675,1,trial
,,red,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.7330999999940389,1,trial
,,lightblue,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,orange,534526,,flower,English,,2025-04-09,0.5330999999940502,1,trial
,,red,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,purple,534526,,flower,English,,2025-04-09,0.7987999999821085,1,trial
,,red,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,green,534526,,flower,English,,2025-04-09,0.4822999999821178,1,trial
,,yellow,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,orange,534526,,flower,English,,2025-04-09,0.6501999999880752,1,trial
1.0911999999880777,1,lightblue,66af819442fc10bb088169f4,Memory,2025-04-09_10h09.03.766,,purple,534526,1.9161999999880805,flower,English,,2025-04-09,2.649599999994038,0,trial
,,lightblue,66af819442fc10bb088169f4,,2025-04-09_10h09.03.766,,orange,534526,,flower,English,,2025-04-09,1.0832000000178823,1,trial
