random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,39.076200000047685,0,train
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,11.713099999904642,1,train
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,4.360099999904634,1,train
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,2.0315999999046426,1,train
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,1.980899999856959,1,train
,,green,66c741cbf31907506de5275b,Memory,2025-04-09_08h26.54.280,,orange,699526,7.892200000047666,flower,English,,2025-04-09,10.718299999952293,1,trial
,,lightblue,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,1.9590999999046232,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,4.865400000095377,1,trial
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,1.8751000001430498,1,trial
,,lightblue,66c741cbf31907506de5275b,Memory,2025-04-09_08h26.54.280,,green,699526,4.371000000000009,flower,English,,2025-04-09,3.8542999999523033,1,trial
,,lightblue,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,1.8223000001907508,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,purple,699526,,flower,English,,2025-04-09,4.57670000004768,1,trial
,,red,66c741cbf31907506de5275b,Memory,2025-04-09_08h26.54.280,,green,699526,3.1777999999523274,flower,English,,2025-04-09,1.65300000000002,1,trial
,,green,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,1.9862000000476883,1,trial
,,lightblue,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,4.677200000047691,1,trial
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,1.8295000000000243,1,trial
,,green,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,2.084000000000003,1,trial
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,2.320999999999998,1,trial
,,yellow,66c741cbf31907506de5275b,Memory,2025-04-09_08h26.54.280,,orange,699526,0.4966000001430473,flower,English,,2025-04-09,1.326099999904642,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,2.1495999999046376,1,trial
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,1.5744000000953804,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,purple,699526,,flower,English,,2025-04-09,3.7910999999046453,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,3.0570999999046364,1,trial
,,lightblue,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,1.8278999998569248,1,trial
,,green,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,4.954800000190744,1,trial
,,green,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,purple,699526,,flower,English,,2025-04-09,3.6622999999523245,1,trial
8.873100000143069,1,lightblue,66c741cbf31907506de5275b,Intuition,2025-04-09_08h26.54.280,,purple,699526,6.602599999904669,flower,English,,2025-04-09,7.4607999999523145,1,trial
,,lightblue,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,purple,699526,,flower,English,,2025-04-09,3.4681000001430675,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,4.898599999904604,1,trial
,,green,66c741cbf31907506de5275b,Intuition,2025-04-09_08h26.54.280,,purple,699526,3.5318999998569325,flower,English,,2025-04-09,2.501600000143071,1,trial
,,green,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,5.016200000047718,1,trial
,,lightblue,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,2.511000000000024,1,trial
,,red,66c741cbf31907506de5275b,Memory,2025-04-09_08h26.54.280,,green,699526,5.301099999904636,flower,English,,2025-04-09,1.820799999952328,1,trial
,,green,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,2.0799000000953924,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,purple,699526,,flower,English,,2025-04-09,2.171299999952339,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,purple,699526,,flower,English,,2025-04-09,2.3655999999046458,1,trial
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,5.703400000095371,1,trial
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,3.197700000047689,1,trial
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,1.3955999999046185,1,trial
,,green,66c741cbf31907506de5275b,Other,2025-04-09_08h26.54.280,,orange,699526,0.4051999998092697,flower,English,,2025-04-09,4.56279999995229,1,trial
,,green,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,3.019599999904642,1,trial
,,lightblue,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,orange,699526,,flower,English,,2025-04-09,1.7271999998092724,1,trial
,,lightblue,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,purple,699526,,flower,English,,2025-04-09,1.3139999999999645,1,trial
,,green,66c741cbf31907506de5275b,Memory,2025-04-09_08h26.54.280,,purple,699526,5.8047999999523086,flower,English,,2025-04-09,2.2167000000476946,1,trial
,,green,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,purple,699526,,flower,English,,2025-04-09,4.036599999904638,1,trial
,,yellow,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,deepblue,699526,,flower,English,,2025-04-09,2.8890999999046585,1,trial
,,red,66c741cbf31907506de5275b,,2025-04-09_08h26.54.280,,green,699526,,flower,English,,2025-04-09,3.239399999856971,1,trial
,,red,66c741cbf31907506de5275b,Guess,2025-04-09_08h26.54.280,1,green,699526,4.107500000000016,vase,English,7.669700000047669,2025-04-09,3.2722000000476896,0,surprise
,,green,66c741cbf31907506de5275b,Guess,2025-04-09_08h26.54.280,1,orange,699526,5.475700000047652,vase,English,4.651200000047709,2025-04-09,2.2927000000477165,0,surprise
,,yellow,66c741cbf31907506de5275b,Memory,2025-04-09_08h26.54.280,1,deepblue,699526,0.6792000000476719,vase,English,3.5289999999999964,2025-04-09,4.528900000095405,1,surprise
,,red,66c741cbf31907506de5275b,Intuition,2025-04-09_08h26.54.280,0,purple,699526,0.4037000000476496,vase,English,2.7200000000000273,2025-04-09,3.7805000000000177,0,surprise
