random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,purple,41974,,flower,English,,2025-04-09,1.2187999999523136,1,train
,,green,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,deepblue,41974,,flower,English,,2025-04-09,1.0656999999284729,1,train
,,lightblue,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,green,41974,,flower,English,,2025-04-09,0.44950000000000045,1,train
,,red,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,deepblue,41974,,flower,English,,2025-04-09,0.6172000000476885,1,train
,,red,66d5da797f03447741360d11,Memory,2025-04-09_13h08.41.543,,deepblue,41974,6.3146000000238445,flower,English,,2025-04-09,0.9791999999284755,1,trial
,,green,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,deepblue,41974,,flower,English,,2025-04-09,1.1165999999046292,1,trial
,,lightblue,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,orange,41974,,flower,English,,2025-04-09,0.9489999999999981,1,trial
,,lightblue,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,orange,41974,,flower,English,,2025-04-09,0.5485000000000042,1,trial
,,red,66d5da797f03447741360d11,Memory,2025-04-09_13h08.41.543,,deepblue,41974,2.2331999999284733,flower,English,,2025-04-09,1.432100000023837,1,trial
,,red,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,green,41974,,flower,English,,2025-04-09,0.8993999999761542,1,trial
,,green,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,orange,41974,,flower,English,,2025-04-09,0.8494999999999919,1,trial
,,yellow,66d5da797f03447741360d11,Memory,2025-04-09_13h08.41.543,,green,41974,2.057000000000002,flower,English,,2025-04-09,0.5997999999523245,1,trial
,,lightblue,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,orange,41974,,flower,English,,2025-04-09,0.8826999999284624,1,trial
,,lightblue,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,purple,41974,,flower,English,,2025-04-09,0.44889999997614893,1,trial
,,lightblue,66d5da797f03447741360d11,,2025-04-09_13h08.41.543,,purple,41974,,flower,English,,2025-04-09,0.36599999999999966,1,trial
