random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,1.0971000000000934,0,train
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.6662999999998149,1,train
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,orange,403001,,vase,English,,2025-04-09,1.2831999999997166,1,train
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.6666000000000949,1,train
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,0.882899999999907,1,train
,,green,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,deepblue,403001,4.5317000000001855,vase,English,,2025-04-09,0.6809000000003778,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.8999999999999915,1,trial
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.6496999999997257,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,orange,403001,,vase,English,,2025-04-09,0.7668000000002735,1,trial
,,lightblue,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,orange,403001,4.882499999999993,vase,English,,2025-04-09,0.7830000000000013,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,0.8329999999999984,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,orange,403001,,vase,English,,2025-04-09,1.232700000000193,1,trial
,,red,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,deepblue,403001,1.6663000000002768,vase,English,,2025-04-09,1.6495000000000033,1,trial
,,lightblue,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.7160999999996278,1,trial
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,0.6496999999997257,1,trial
,,lightblue,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.4166999999997216,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.5832999999998236,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.4497000000001776,1,trial
,,red,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,purple,403001,1.2830000000000013,vase,English,,2025-04-09,0.3662999999998249,1,trial
,,lightblue,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,orange,403001,,vase,English,,2025-04-09,0.6663000000002768,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.5997999999998029,1,trial
,,lightblue,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,0.8652000000001863,1,trial
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.4332000000001841,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.44960000000008904,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.4994999999999834,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.3994999999999891,1,trial
2.5875000000000057,1,lightblue,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,orange,403001,1.9993999999998948,vase,English,,2025-04-09,2.1652000000001976,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,0.8160000000000025,1,trial
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,0.5326000000000874,1,trial
,,yellow,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,orange,403001,2.1498000000002833,vase,English,,2025-04-09,1.0163000000002569,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,orange,403001,,vase,English,,2025-04-09,0.7498000000002776,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,1.3328000000003044,1,trial
,,red,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,deepblue,403001,1.3659999999999854,vase,English,,2025-04-09,0.9662000000002138,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.48330000000026985,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,orange,403001,,vase,English,,2025-04-09,0.7998000000002605,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,orange,403001,,vase,English,,2025-04-09,0.4165000000000134,1,trial
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.9659000000003743,1,trial
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.39980000000028326,1,trial
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.9663999999999078,1,trial
,,lightblue,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,green,403001,1.1828999999999041,vase,English,,2025-04-09,0.7827999999998383,1,trial
,,red,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,1.116500000000002,1,trial
,,yellow,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,0.4164000000003796,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,purple,403001,,vase,English,,2025-04-09,0.5165999999996416,1,trial
,,lightblue,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,,purple,403001,1.3164999999999907,vase,English,,2025-04-09,0.36610000000007403,1,trial
,,green,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,deepblue,403001,,vase,English,,2025-04-09,0.5664000000003853,1,trial
,,lightblue,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,green,403001,,vase,English,,2025-04-09,0.5831999999997208,1,trial
,,lightblue,66e0569e76fa6e4be6919693,,2025-04-09_10h59.30.999,,orange,403001,,vase,English,,2025-04-09,1.4995999999996172,1,trial
,,yellow,66e0569e76fa6e4be6919693,Intuition,2025-04-09_10h59.30.999,1,deepblue,403001,3.4490000000000123,flower,English,3.749600000000072,2025-04-09,1.9148000000002696,1,surprise
,,red,66e0569e76fa6e4be6919693,Guess,2025-04-09_10h59.30.999,1,deepblue,403001,1.8489999999999895,flower,English,4.498800000000273,2025-04-09,2.782499999999999,1,surprise
,,green,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,1,purple,403001,1.1154999999999973,flower,English,2.1001000000001113,2025-04-09,1.7152000000001806,1,surprise
,,red,66e0569e76fa6e4be6919693,Memory,2025-04-09_10h59.30.999,1,deepblue,403001,1.4331999999997151,flower,English,1.416899999999913,2025-04-09,1.1325000000000216,1,surprise
