random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,yellow,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,green,968804,,flower,English,,2025-04-09,1.5981999999992595,1,train
,,yellow,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,deepblue,968804,,flower,English,,2025-04-09,1.699099999999632,1,train
,,lightblue,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,green,968804,,flower,English,,2025-04-09,0.7314000000003702,1,train
,,green,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,purple,968804,,flower,English,,2025-04-09,0.8161999999992489,1,train
,,lightblue,66e30d3c042395bc021a8081,Memory,2025-04-09_12h14.52.469,,purple,968804,5.179799999998885,flower,English,,2025-04-09,0.7644999999999982,1,trial
,,lightblue,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,green,968804,,flower,English,,2025-04-09,0.8822999999988781,1,trial
,,yellow,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,orange,968804,,flower,English,,2025-04-09,0.7329000000003703,1,trial
,,lightblue,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,green,968804,,flower,English,,2025-04-09,0.7661999999992588,1,trial
,,red,66e30d3c042395bc021a8081,Memory,2025-04-09_12h14.52.469,,green,968804,2.049099999999626,flower,English,,2025-04-09,0.9988000000007418,1,trial
,,green,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,deepblue,968804,,flower,English,,2025-04-09,1.649000000000001,1,trial
,,red,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,purple,968804,,flower,English,,2025-04-09,0.9662000000011091,1,trial
,,green,66e30d3c042395bc021a8081,Memory,2025-04-09_12h14.52.469,,deepblue,968804,1.8320000000000078,flower,English,,2025-04-09,0.9329000000003731,1,trial
,,green,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,purple,968804,,flower,English,,2025-04-09,1.0930999999996232,1,trial
,,yellow,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,green,968804,,flower,English,,2025-04-09,0.9996999999992511,1,trial
,,lightblue,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,orange,968804,,flower,English,,2025-04-09,0.926200000001117,1,trial
,,green,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,orange,968804,,flower,English,,2025-04-09,0.8495000000000061,1,trial
,,green,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,orange,968804,,flower,English,,2025-04-09,0.7327000000011168,1,trial
,,yellow,66e30d3c042395bc021a8081,Memory,2025-04-09_12h14.52.469,,deepblue,968804,1.216300000000743,flower,English,,2025-04-09,0.7454000000003731,1,trial
,,yellow,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,green,968804,,flower,English,,2025-04-09,1.4160999999996307,1,trial
,,red,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,deepblue,968804,,flower,English,,2025-04-09,0.9656999999992593,1,trial
,,yellow,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,green,968804,,flower,English,,2025-04-09,1.365599999999631,1,trial
,,green,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,orange,968804,,flower,English,,2025-04-09,1.2493999999985022,1,trial
,,red,66e30d3c042395bc021a8081,,2025-04-09_12h14.52.469,,green,968804,,flower,English,,2025-04-09,1.1135999999996216,1,trial
