vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,2.6623999999761594,0,train
orange,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.9652000000476804,1,train
purple,,flower,red,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,1.299600000023844,1,train
orange,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.9663000000715201,1,train
deepblue,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.950199999928472,1,train
orange,,flower,green,,English,Memory,57318,671e39c25e5e3f340a6f21d4,4.012500000000003,,2025-05-05_07h23.54.095,,2025-05-05,0.8976999999284772,1,trial
orange,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.983100000023839,1,trial
purple,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,1.0834000000953665,1,trial
green,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.8832000000476796,1,trial
deepblue,,flower,yellow,,English,Memory,57318,671e39c25e5e3f340a6f21d4,2.2321000000238342,,2025-05-05_07h23.54.095,,2025-05-05,0.7666000000238427,1,trial
orange,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.9493999999761513,1,trial
purple,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.9656000000238407,1,trial
deepblue,,flower,red,,English,Memory,57318,671e39c25e5e3f340a6f21d4,1.3326999999284794,,2025-05-05_07h23.54.095,,2025-05-05,0.9663999999761614,1,trial
green,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.8818999999761559,1,trial
green,,flower,red,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.8498999999761594,1,trial
purple,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.6829999999999927,1,trial
orange,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.6496999999284725,1,trial
green,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.7164000000953763,1,trial
green,,flower,red,,English,Memory,57318,671e39c25e5e3f340a6f21d4,1.1999000000953686,,2025-05-05_07h23.54.095,,2025-05-05,0.8829999999999956,1,trial
deepblue,,flower,red,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.8492999999523363,1,trial
purple,,flower,red,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.5021000000238303,1,trial
orange,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.749600000023861,1,trial
purple,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,1.3162000000476723,1,trial
green,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.6998000000715194,1,trial
purple,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.549999999999983,1,trial
purple,,flower,red,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.666100000023846,1,trial
green,3.6464999999999748,flower,red,1,English,Guess,57318,671e39c25e5e3f340a6f21d4,4.298100000023851,,2025-05-05_07h23.54.095,,2025-05-05,4.499300000071514,0,trial
purple,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.8658999999761647,1,trial
orange,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.9672000000476828,1,trial
orange,,flower,lightblue,,English,Memory,57318,671e39c25e5e3f340a6f21d4,1.8822999999523233,,2025-05-05_07h23.54.095,,2025-05-05,0.8001000000238321,1,trial
orange,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.7666000000238284,1,trial
deepblue,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.832300000071541,1,trial
deepblue,,flower,red,,English,Memory,57318,671e39c25e5e3f340a6f21d4,1.4997999999523302,,2025-05-05_07h23.54.095,,2025-05-05,0.9162000000476951,1,trial
green,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.6663000000715158,1,trial
green,,flower,red,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.7653999999761538,1,trial
green,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,1.2166999999284656,1,trial
deepblue,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.8505000000000109,1,trial
orange,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.6166000000238512,1,trial
deepblue,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.8496000000238553,1,trial
orange,,flower,green,,English,Memory,57318,671e39c25e5e3f340a6f21d4,1.6330000000000098,,2025-05-05_07h23.54.095,,2025-05-05,0.5829999999999984,1,trial
purple,,flower,red,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.9333000000715117,1,trial
orange,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.7489999999999952,1,trial
deepblue,,flower,yellow,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.616500000000002,1,trial
green,,flower,yellow,,English,Memory,57318,671e39c25e5e3f340a6f21d4,1.18360000002383,,2025-05-05_07h23.54.095,,2025-05-05,0.5157000000477012,1,trial
purple,,flower,green,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,1.0837000000476849,1,trial
deepblue,,flower,red,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.5158000000715219,1,trial
purple,,flower,lightblue,,English,,57318,671e39c25e5e3f340a6f21d4,,,2025-05-05_07h23.54.095,,2025-05-05,0.849799999952296,1,trial
deepblue,,vase,yellow,,English,Intuition,57318,671e39c25e5e3f340a6f21d4,1.9638000000715294,3.449799999952319,2025-05-05_07h23.54.095,0,2025-05-05,2.8305000000000007,1,surprise
purple,,vase,lightblue,,English,Memory,57318,671e39c25e5e3f340a6f21d4,2.298999999999978,2.1999999999999886,2025-05-05_07h23.54.095,0,2025-05-05,1.4484999999999957,1,surprise
green,,vase,red,,English,Guess,57318,671e39c25e5e3f340a6f21d4,1.3494999999999777,1.7331000000238532,2025-05-05_07h23.54.095,1,2025-05-05,2.582499999999982,1,surprise
purple,,vase,green,,English,Guess,57318,671e39c25e5e3f340a6f21d4,1.46579999995231,1.5163000000715385,2025-05-05_07h23.54.095,1,2025-05-05,2.616199999928483,0,surprise
