random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,orange,391888,,flower,English,,2025-04-09,2.5464999999999947,1,train
,,yellow,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,orange,391888,,flower,English,,2025-04-09,4.201600000001491,1,train
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,orange,391888,,flower,English,,2025-04-09,1.4510000000000076,1,train
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,1.2168000000044685,1,train
,,lightblue,672875d3c0609ee7cc7afae6,Memory,2025-04-09_09h17.07.065,,orange,391888,6.866100000001481,flower,English,,2025-04-09,1.0781000000014984,1,trial
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,orange,391888,,flower,English,,2025-04-09,0.5671000000014885,1,trial
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,2.782899999998506,1,trial
,,red,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,deepblue,391888,,flower,English,,2025-04-09,1.1998999999985074,1,trial
,,green,672875d3c0609ee7cc7afae6,Memory,2025-04-09_09h17.07.065,,orange,391888,4.049999999999983,flower,English,,2025-04-09,0.9812999999970202,1,trial
,,red,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,2.3835000000000264,1,trial
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,0.6822000000029789,1,trial
,,yellow,672875d3c0609ee7cc7afae6,Memory,2025-04-09_09h17.07.065,,deepblue,391888,2.649100000001482,flower,English,,2025-04-09,0.8005999999940343,1,trial
,,green,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,orange,391888,,flower,English,,2025-04-09,1.25,1,trial
,,red,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,purple,391888,,flower,English,,2025-04-09,1.0497000000029857,1,trial
,,green,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,purple,391888,,flower,English,,2025-04-09,0.6502999999970314,1,trial
,,green,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,purple,391888,,flower,English,,2025-04-09,0.41569999999552465,1,trial
,,yellow,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,orange,391888,,flower,English,,2025-04-09,0.6647000000029664,1,trial
,,yellow,672875d3c0609ee7cc7afae6,Memory,2025-04-09_09h17.07.065,,orange,391888,2.2497000000029743,flower,English,,2025-04-09,0.6826000000014858,1,trial
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,0.5491000000014878,1,trial
,,yellow,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,0.43250000000000455,1,trial
,,green,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,deepblue,391888,,flower,English,,2025-04-09,0.515699999995519,1,trial
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,0.48360000000150194,1,trial
,,yellow,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,0.5487999999970441,1,trial
,,lightblue,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,purple,391888,,flower,English,,2025-04-09,0.6330000000000098,1,trial
,,red,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,purple,391888,,flower,English,,2025-04-09,0.43270000000296704,1,trial
2.517700000002975,1,red,672875d3c0609ee7cc7afae6,Memory,2025-04-09_09h17.07.065,,deepblue,391888,1.683399999998528,flower,English,,2025-04-09,7.082299999997019,1,trial
,,yellow,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,0.6997000000029914,1,trial
,,red,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,0.8004999999999995,1,trial
,,green,672875d3c0609ee7cc7afae6,Memory,2025-04-09_09h17.07.065,,orange,391888,1.600500000000011,flower,English,,2025-04-09,0.8478000000044688,1,trial
,,green,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,orange,391888,,flower,English,,2025-04-09,0.41620000000298774,1,trial
,,green,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,deepblue,391888,,flower,English,,2025-04-09,0.5324999999999989,1,trial
,,lightblue,672875d3c0609ee7cc7afae6,Memory,2025-04-09_09h17.07.065,,orange,391888,1.2831999999955315,flower,English,,2025-04-09,0.5161999999955356,1,trial
,,yellow,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,green,391888,,flower,English,,2025-04-09,1.2647999999970239,1,trial
,,yellow,672875d3c0609ee7cc7afae6,,2025-04-09_09h17.07.065,,deepblue,391888,,flower,English,,2025-04-09,0.36669999999551806,1,trial
