vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.8152000000476853,1,train
green,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.7162999999523159,1,train
deepblue,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.5827000000476872,1,train
orange,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.3837999999523163,1,train
deepblue,,flower,red,,English,Memory,127822,672f246d1d67d71960402ef8,7.866099999904634,,2025-05-05_10h41.47.160,,2025-05-05,0.9784999999999968,1,trial
purple,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.866299999952318,1,trial
orange,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.4000000000000057,1,trial
green,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.5986999998092628,1,trial
deepblue,,flower,red,,English,Memory,127822,672f246d1d67d71960402ef8,1.2331999998092655,,2025-05-05_10h41.47.160,,2025-05-05,1.3332000000476825,1,trial
orange,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,1.0333999998569467,1,trial
deepblue,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.6664000000953649,1,trial
purple,,flower,lightblue,,English,Memory,127822,672f246d1d67d71960402ef8,2.4652999999523075,,2025-05-05_10h41.47.160,,2025-05-05,1.167500000000004,1,trial
green,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.6505000000000081,1,trial
orange,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.5147999999523165,1,trial
orange,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.4168999998569518,1,trial
purple,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.3995000000000033,1,trial
deepblue,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.5500000000000114,1,trial
purple,,flower,green,,English,Memory,127822,672f246d1d67d71960402ef8,1.433299999952311,,2025-05-05_10h41.47.160,,2025-05-05,0.33320000004768247,1,trial
deepblue,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.5499000000953629,1,trial
purple,,flower,red,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.8160000000000025,1,trial
green,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.4500999999046371,1,trial
deepblue,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.9492000000476821,1,trial
purple,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.9994000000953775,1,trial
orange,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.6334000000953637,1,trial
orange,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,1.2167000000476804,1,trial
orange,1.9469000000953685,flower,lightblue,1,English,Guess,127822,672f246d1d67d71960402ef8,4.316499999999991,,2025-05-05_10h41.47.160,,2025-05-05,5.266500000000008,0,trial
purple,,flower,red,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.732599999904636,1,trial
orange,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.8842000000476844,1,trial
orange,,flower,yellow,,English,Memory,127822,672f246d1d67d71960402ef8,1.483000000000004,,2025-05-05_10h41.47.160,,2025-05-05,0.46660000014304615,1,trial
green,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,1.4163999998569636,1,trial
deepblue,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,1.782299999952329,1,trial
orange,,flower,green,,English,Memory,127822,672f246d1d67d71960402ef8,2.4989999999999952,,2025-05-05_10h41.47.160,,2025-05-05,0.5343000001907399,1,trial
purple,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.46660000014304615,1,trial
purple,,flower,red,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.8997999999523358,1,trial
green,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,2.2335000000000207,1,trial
purple,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.6495999999046376,1,trial
green,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.8654000000953772,1,trial
deepblue,,flower,red,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.8332999999523167,1,trial
green,,flower,red,,English,Memory,127822,672f246d1d67d71960402ef8,1.0997999999523245,,2025-05-05_10h41.47.160,,2025-05-05,0.8332000000476967,1,trial
green,,flower,red,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.6512000000477087,1,trial
deepblue,,flower,red,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.8990000000000009,1,trial
orange,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.5165000000000077,1,trial
deepblue,,flower,green,,English,Memory,127822,672f246d1d67d71960402ef8,1.0832999999523167,,2025-05-05_10h41.47.160,,2025-05-05,1.4497999999523188,0,trial
orange,,flower,lightblue,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.4822000000476976,1,trial
green,,flower,yellow,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.4998999998569502,1,trial
deepblue,,flower,green,,English,,127822,672f246d1d67d71960402ef8,,,2025-05-05_10h41.47.160,,2025-05-05,0.4665000000000248,1,trial
purple,,vase,red,,English,Guess,127822,672f246d1d67d71960402ef8,1.2656000001430527,3.2662999999523095,2025-05-05_10h41.47.160,0,2025-05-05,4.1663000001907164,0,surprise
purple,,vase,lightblue,,English,Memory,127822,672f246d1d67d71960402ef8,0.6341999998092547,1.3164000000953706,2025-05-05_10h41.47.160,1,2025-05-05,0.6820999999046364,1,surprise
