random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,2.878200000047684,0,train
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,2.36489999997616,1,train
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,1.7079000000953783,1,train
,,red,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.6814999999999998,1,train
,,lightblue,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.7691000000238404,1,train
,,red,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,deepblue,523029,7.1875,vase,English,,2025-04-10,1.076600000023845,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.8816000000238375,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.9008999999761613,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,0.9364999999999952,1,trial
,,yellow,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,green,523029,1.7999999999999972,vase,English,,2025-04-10,0.4988999999761603,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.8882999999523236,1,trial
,,red,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.6942999999523067,1,trial
,,lightblue,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,green,523029,1.2133999999761613,vase,English,,2025-04-10,0.5342999999523386,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.5660000000000025,1,trial
,,red,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.448799999952314,1,trial
,,red,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.43889999997617224,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.4066000000238432,1,trial
,,lightblue,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.37300000000001887,1,trial
,,lightblue,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,purple,523029,1.0149999999999864,vase,English,,2025-04-10,0.4819999999999993,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.5152000000476846,1,trial
,,red,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.4496000000238496,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,0.5670000000000073,1,trial
,,lightblue,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,0.44920000004771055,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.8236999999284933,1,trial
,,lightblue,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.46630000007152717,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.4154999999999802,1,trial
0.8151999999284669,1,lightblue,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,green,523029,1.0260000000000105,vase,English,,2025-04-10,1.7502000000476983,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.550800000071547,1,trial
,,lightblue,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,0.6149000000953606,1,trial
,,red,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,deepblue,523029,1.1627000000476926,vase,English,,2025-04-10,0.657999999999987,1,trial
,,lightblue,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.46559999990464007,1,trial
,,lightblue,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.39920000004767076,1,trial
,,red,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,purple,523029,0.9997000000476817,vase,English,,2025-04-10,0.4503000000715076,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,0.5688000000715476,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.6166000000238228,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,0.8821000000238541,1,trial
,,red,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.5250999999046257,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,orange,523029,,vase,English,,2025-04-10,0.6182999999523133,1,trial
,,red,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.5162999999523095,1,trial
,,red,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,green,523029,0.9498000000715194,vase,English,,2025-04-10,0.5147999999523165,1,trial
,,green,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.6991999999284815,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.43209999990463643,1,trial
,,red,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.647899999976147,1,trial
,,lightblue,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,,orange,523029,1.8327999999523286,vase,English,,2025-04-10,0.5501999999284806,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,deepblue,523029,,vase,English,,2025-04-10,0.6568999999761616,1,trial
,,yellow,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,green,523029,,vase,English,,2025-04-10,0.4158999999761477,1,trial
,,lightblue,67317986282a2d8cc131538c,,2025-04-10_00h57.42.742,,purple,523029,,vase,English,,2025-04-10,0.43269999992847374,1,trial
,,yellow,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,0,orange,523029,0.8931000000238498,flower,English,2.368499999999983,2025-04-10,1.5482000000476717,0,surprise
,,yellow,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,0,deepblue,523029,0.8826000000238423,flower,English,3.299799999952313,2025-04-10,2.532899999976138,1,surprise
,,lightblue,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,1,orange,523029,0.9415000000000191,flower,English,1.9229000000953533,2025-04-10,0.6416000000238569,0,surprise
,,lightblue,67317986282a2d8cc131538c,Memory,2025-04-10_00h57.42.742,1,orange,523029,0.8321000000238428,flower,English,1.5511999999284853,2025-04-10,0.6634000000953506,0,surprise
