vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,vase,lightblue,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,2.064800000011921,1,train
deepblue,,vase,green,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.9331999999880782,1,train
purple,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.0095000000000027,1,train
deepblue,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.9663999999761579,1,train
green,,vase,lightblue,,English,Memory,257349,67320610635afc65498583cb,3.1148000000119183,,2025-05-05_11h25.47.329,,2025-05-05,1.0240999999642355,1,trial
green,,vase,lightblue,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.8158000000119188,1,trial
orange,,vase,lightblue,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.4324000000357628,0,trial
deepblue,,vase,green,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.2661000000238403,1,trial
green,,vase,red,,English,Memory,257349,67320610635afc65498583cb,2.399599999964238,,2025-05-05_11h25.47.329,,2025-05-05,0.9493999999761584,1,trial
orange,,vase,green,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.3158999999761605,1,trial
green,,vase,lightblue,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.699599999964235,1,trial
orange,,vase,lightblue,,English,Memory,257349,67320610635afc65498583cb,1.5498000000119205,,2025-05-05_11h25.47.329,,2025-05-05,0.9328999999761578,1,trial
deepblue,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.0158000000119216,1,trial
deepblue,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.7438000000119231,1,trial
purple,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.7664000000357589,1,trial
orange,,vase,green,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.2326999999880712,1,trial
purple,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.2164999999999964,1,trial
orange,,vase,green,,English,Memory,257349,67320610635afc65498583cb,1.3500999999642431,,2025-05-05_11h25.47.329,,2025-05-05,0.7993999999761456,1,trial
deepblue,,vase,green,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.7998000000119134,1,trial
orange,,vase,yellow,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.0328000000119175,1,trial
purple,,vase,lightblue,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.116399999976153,1,trial
deepblue,,vase,green,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.7663999999761586,1,trial
deepblue,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.8109000000357582,1,trial
green,,vase,yellow,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.0835000000000008,1,trial
purple,,vase,green,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.7333000000119227,1,trial
orange,3.921899999976162,vase,lightblue,1,English,Memory,257349,67320610635afc65498583cb,1.366399999976153,,2025-05-05_11h25.47.329,,2025-05-05,3.349399999976157,0,trial
green,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,1.1500999999642403,1,trial
purple,,vase,red,,English,,257349,67320610635afc65498583cb,,,2025-05-05_11h25.47.329,,2025-05-05,0.8830000000000098,1,trial
