vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
green,,flower,lightblue,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,2.08870000001788,0,train
deepblue,,flower,green,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,1.8995000000000033,0,train
green,,flower,yellow,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.7284000000059621,1,train
purple,,flower,red,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,1.1002000000178924,1,train
purple,,flower,green,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,1.2002000000178725,1,train
deepblue,,flower,green,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.6994000000059515,1,train
purple,,flower,red,,English,Memory,868702,6738c218706186b3fe8e8f56,13.664500000000004,,2025-05-05_12h41.36.211,,2025-05-05,0.8909000000059564,1,trial
purple,,flower,red,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.7161999999880777,1,trial
orange,,flower,yellow,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.7395000000000067,1,trial
purple,,flower,lightblue,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.6832999999821112,1,trial
deepblue,,flower,green,,English,Memory,868702,6738c218706186b3fe8e8f56,4.482899999976169,,2025-05-05_12h41.36.211,,2025-05-05,0.9493999999761513,1,trial
deepblue,,flower,yellow,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.5310000000000059,1,trial
deepblue,,flower,green,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.7652000000178845,1,trial
orange,,flower,green,,English,Memory,868702,6738c218706186b3fe8e8f56,1.8819000000059702,,2025-05-05_12h41.36.211,,2025-05-05,0.6486999999880823,1,trial
purple,,flower,red,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.8608000000119205,1,trial
green,,flower,red,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.7181999999880873,1,trial
green,,flower,yellow,,English,,868702,6738c218706186b3fe8e8f56,,,2025-05-05_12h41.36.211,,2025-05-05,0.5993000000119224,1,trial
