random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,3.398799999997017,0,train
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,1.0165000000000006,1,train
,,red,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,0.6303999999910559,1,train
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.9664000000059545,1,train
,,red,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.6872000000029814,1,train
,,red,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,green,489841,2.449599999994035,vase,English,,2025-04-09,0.7489000000059605,1,trial
,,green,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,orange,489841,,vase,English,,2025-04-09,0.8997999999970148,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.9169000000059668,1,trial
,,red,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.6663999999910573,1,trial
,,red,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,purple,489841,3.283099999994036,vase,English,,2025-04-09,0.8317999999970169,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,0.6663999999910573,1,trial
,,green,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.6666000000089412,1,trial
,,red,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,deepblue,489841,1.3815999999940374,vase,English,,2025-04-09,0.5347999999970199,1,trial
,,green,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,0.5997999999970176,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.5325999999940336,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,orange,489841,,vase,English,,2025-04-09,1.3999000000059567,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,0.899799999997029,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.5665000000000049,1,trial
,,green,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,orange,489841,1.0332000000029922,vase,English,,2025-04-09,0.5831000000089404,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,orange,489841,,vase,English,,2025-04-09,0.6869000000059629,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.6162999999970253,1,trial
,,red,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.6525000000000034,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,0.5810000000000031,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,orange,489841,,vase,English,,2025-04-09,0.6182000000029859,1,trial
,,red,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,0.5167000000029702,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,orange,489841,,vase,English,,2025-04-09,0.6824000000059414,1,trial
1.7282000000029996,1,yellow,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,green,489841,1.8000999999940177,vase,English,,2025-04-09,2.6829999999999927,1,trial
,,green,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.9337999999970066,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.9477000000029818,1,trial
,,green,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,deepblue,489841,0.8998999999910495,vase,English,,2025-04-09,0.7667000000029702,1,trial
,,red,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.6833000000119398,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,orange,489841,,vase,English,,2025-04-09,0.7156000000089477,1,trial
,,red,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,deepblue,489841,0.930499999999995,vase,English,,2025-04-09,0.6166000000089298,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,0.5667999999970164,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.8023999999910529,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.4162999999970225,1,trial
,,green,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,purple,489841,,vase,English,,2025-04-09,0.5806999999880986,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.4684999999999775,1,trial
,,red,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.6975999999940541,1,trial
,,red,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,purple,489841,0.9470999999940375,vase,English,,2025-04-09,0.6359000000059325,1,trial
,,red,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.5995999999940409,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.4165999999940482,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,deepblue,489841,,vase,English,,2025-04-09,0.5829000000059636,1,trial
,,green,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,,purple,489841,0.8825000000000216,vase,English,,2025-04-09,0.73599999999999,1,trial
,,lightblue,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,orange,489841,,vase,English,,2025-04-09,0.5335000000000036,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,green,489841,,vase,English,,2025-04-09,0.4997999999970091,1,trial
,,yellow,673b7ef45c9291ade287d5d7,,2025-04-09_10h31.01.623,,orange,489841,,vase,English,,2025-04-09,0.5832999999970241,1,trial
,,red,673b7ef45c9291ade287d5d7,Guess,2025-04-09_10h31.01.623,0,green,489841,2.166200000003016,flower,English,124.66399999999996,2025-04-09,2.582600000008938,0,surprise
,,lightblue,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,1,orange,489841,1.299900000006005,flower,English,1.433100000008892,2025-04-09,1.9666000000089525,1,surprise
,,red,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,1,deepblue,489841,1.099699999988104,flower,English,1.4534000000059564,2025-04-09,0.9297000000029811,1,surprise
,,red,673b7ef45c9291ade287d5d7,Memory,2025-04-09_10h31.01.623,1,purple,489841,1.0832999999969957,flower,English,1.4358999999910225,2025-04-09,0.8804999999999836,1,surprise
